geo_point_2d;geo_shape;objid;text;wahlkreis
47.560983311670014, 7.571900801710842;"{""coordinates"": [[[7.587639447886664, 47.562101990931204], [7.586584853755331, 47.56172258509446], [7.586465108008626, 47.561631109007116], [7.586324258662744, 47.561615116821265], [7.586146785750199, 47.56157362865188], [7.585816792032663, 47.56132592703255], [7.585300308533706, 47.560809133286526], [7.584715884388208, 47.559956596721904], [7.584476441474694, 47.55937234044382], [7.584349116000761, 47.558573856810895], [7.584267566466031, 47.557478378651446], [7.584124055397712, 47.55707592647951], [7.58391969467175, 47.556706988619624], [7.584421415722796, 47.55649303993201], [7.584421449894301, 47.556486087733134], [7.584493607167529, 47.5560193665564], [7.58436684905692, 47.55585947256575], [7.584332672235764, 47.55561868101893], [7.58471769964204, 47.55552376494298], [7.58565686309801, 47.554020638758814], [7.586214781079393, 47.553063440115345], [7.585727446281142, 47.55241322366893], [7.585564209791102, 47.552150839097], [7.586515530796141, 47.55185450618986], [7.586644309486985, 47.55177623202196], [7.586715229126979, 47.5516823281428], [7.586912699651521, 47.55133976596953], [7.586067296738931, 47.55109715269094], [7.584504453560995, 47.55041109689634], [7.584244629858154, 47.55024790631358], [7.583249470700057, 47.549566681052184], [7.582421798324691, 47.549004758684625], [7.582606241981189, 47.548894033732445], [7.582734339666862, 47.54877065197878], [7.582708244685188, 47.54862587572913], [7.582540645464279, 47.5484945849998], [7.582020686109335, 47.548188367633465], [7.579568543064899, 47.54672670570731], [7.578912484667012, 47.54633771616396], [7.578654475361466, 47.54615826792268], [7.578447599429174, 47.54592450739159], [7.578380955619098, 47.54578682077414], [7.577882756671811, 47.54381017251945], [7.576759958778116, 47.54388617439979], [7.575561613971177, 47.543981266960515], [7.575304385127995, 47.544025440360016], [7.574233032281489, 47.54420959744807], [7.572400519738794, 47.54452127941418], [7.571122087053185, 47.544741314282504], [7.568572587309771, 47.54511521120671], [7.564791656576384, 47.54569133763967], [7.564622304172196, 47.5456839838547], [7.564236613154517, 47.54558860709284], [7.563518323373503, 47.54541854151531], [7.563021188065552, 47.545310715631466], [7.562272468056022, 47.54520691383519], [7.561932771354273, 47.54516936452707], [7.561713433948078, 47.54513776712953], [7.56149715887832, 47.545097631008645], [7.561284451143519, 47.545049018606946], [7.561073633774277, 47.54499044773177], [7.560857872865666, 47.54494232341204], [7.560099839816321, 47.54480438597286], [7.559422405293202, 47.544692891796494], [7.558567684639557, 47.54456319269742], [7.557545167079969, 47.54440468941903], [7.55704862148743, 47.54436748331861], [7.556545981182196, 47.544336963614434], [7.555888311901332, 47.54434071090155], [7.556274560673083, 47.54541991594737], [7.557402290085025, 47.54857373073899], [7.558758899413844, 47.55235856666646], [7.561249761211173, 47.55172817744714], [7.563059008026404, 47.55493468931411], [7.564584610749806, 47.557041507231105], [7.564567832534818, 47.557222955806765], [7.561590878410386, 47.559185547552204], [7.559876312435873, 47.56053772067022], [7.558726723996988, 47.5619646102545], [7.557933974633999, 47.56262588500574], [7.556296981785759, 47.56349032126836], [7.554673566264458, 47.564353461465714], [7.557299529784103, 47.56503107939001], [7.558264804895188, 47.56724749057588], [7.559335150730215, 47.5693896754824], [7.557129526971774, 47.57092435920262], [7.556464087586616, 47.571387343607654], [7.556895464254549, 47.572466166998616], [7.559529756494276, 47.57361600917935], [7.560949447426362, 47.574237288588506], [7.563821824993505, 47.57550309809092], [7.565437485995971, 47.576220209207335], [7.566490177117389, 47.577669505093326], [7.567687928133393, 47.577551647191854], [7.569079107604979, 47.57741474614003], [7.571614677395927, 47.57711248556884], [7.575253709870832, 47.57614017652903], [7.576403078550785, 47.57645408003076], [7.578858378411717, 47.57666872949187], [7.580764104683234, 47.57629624370987], [7.582772602216306, 47.575896645505935], [7.584659791303228, 47.57552123141077], [7.585169482537382, 47.573338519549836], [7.585279343999189, 47.572372280265505], [7.584907753756879, 47.570221619224164], [7.584841329631951, 47.56907951275264], [7.585060064316177, 47.566790099638084], [7.585456999963685, 47.56537614115629], [7.586479031513313, 47.56371866730503], [7.587639447886664, 47.562101990931204]]], ""type"": ""Polygon""}";2;W;Grossbasel-West
47.5794489017914, 7.651171979841169;"{""coordinates"": [[[7.624552730394944, 47.57942129632014], [7.625013743425815, 47.579619769223704], [7.626443426189301, 47.5804061721039], [7.628028304724877, 47.58137041540736], [7.629614733538594, 47.58251383292087], [7.63110752034811, 47.5836546041143], [7.632621941375403, 47.58478311528044], [7.634110154358063, 47.58586317451634], [7.634870997065871, 47.58677245681616], [7.635633812246322, 47.5875861100937], [7.636444531319177, 47.58837706676495], [7.638038986166615, 47.589372236772014], [7.639637816952451, 47.590369688389266], [7.641152641555181, 47.590778450550125], [7.643247656129176, 47.591346369396014], [7.642485481438325, 47.59220790226879], [7.641864756198966, 47.59291267590024], [7.641791093487272, 47.59419738213433], [7.643053537868917, 47.595050439377204], [7.644412672480021, 47.59574562670149], [7.644881352492678, 47.59619605236658], [7.64567728201884, 47.5969609680481], [7.647091780856025, 47.59665238254387], [7.648485166857878, 47.596348260614235], [7.649022539581364, 47.59623097636825], [7.649768317749535, 47.59604512225507], [7.651064603970406, 47.5957220697585], [7.653058654682101, 47.5955623569234], [7.655072803597749, 47.595401070449654], [7.656234818798404, 47.59510322079477], [7.657243990337376, 47.59484480481766], [7.658620478591035, 47.59449233256232], [7.660144205215783, 47.59410381409751], [7.661697912841711, 47.59370791522032], [7.663052733049193, 47.59322818965061], [7.664628617223529, 47.59267115945537], [7.666019246208243, 47.592301627367846], [7.667338173189704, 47.59195144783537], [7.668759519205074, 47.59193661247708], [7.669662380460889, 47.591931711833425], [7.672200028010742, 47.591904189186465], [7.673690459825214, 47.591948386793504], [7.67517958291506, 47.59198770233696], [7.675507043616919, 47.59305031840139], [7.676132029677036, 47.593671817980976], [7.676791606085906, 47.594318758232426], [7.677422992575218, 47.5948368916755], [7.678072660869428, 47.595361180601536], [7.678870811938394, 47.59584895100429], [7.67972591728464, 47.59636449610408], [7.680666782062269, 47.59719796109639], [7.68155988073021, 47.597338981813884], [7.682280468508244, 47.597913687882475], [7.683017581206838, 47.59849888621019], [7.684827988234113, 47.59877268507689], [7.685902267339051, 47.598739621981004], [7.68703112615531, 47.59870338358276], [7.687992748869898, 47.598612478706166], [7.689322807896857, 47.5988474210722], [7.690478864888028, 47.59921724257851], [7.691646153560023, 47.59959118316857], [7.692476784649586, 47.600244730183675], [7.693334670694379, 47.60091812334467], [7.693801754321301, 47.600775522356166], [7.693426502779088, 47.60013798650988], [7.693045341998789, 47.599491855340716], [7.691983400211599, 47.598680339457964], [7.691080348294147, 47.59813069624296], [7.690162675185936, 47.59757527663933], [7.687667781543681, 47.59714893121557], [7.686499956653021, 47.59695062411826], [7.684725141742582, 47.596641925705704], [7.683654120070527, 47.596027420720205], [7.682834010022799, 47.59515107837891], [7.681987844688812, 47.59426673519754], [7.681412370773536, 47.593784394405546], [7.680692285035315, 47.59317702524307], [7.679589703803882, 47.592252357066336], [7.67846208981731, 47.591797602751015], [7.677388914513196, 47.59136744027535], [7.676452316976998, 47.59066886117175], [7.675521274094112, 47.589970164130406], [7.674546688959744, 47.589241086269126], [7.673088703444204, 47.58817010101674], [7.672258747850352, 47.587615251943355], [7.671750142835505, 47.587275727186785], [7.671925613961429, 47.58618485840031], [7.672016635104174, 47.585620809260035], [7.672077319116533, 47.585244752403376], [7.673530061505846, 47.58473392041853], [7.674944085145162, 47.58423918442628], [7.67692110444746, 47.5837452848896], [7.67893549596742, 47.58326976525993], [7.680860553113965, 47.58268932339314], [7.681115514611718, 47.581844879564024], [7.681364962797205, 47.5809999427539], [7.680819654156106, 47.581131910392365], [7.679422295072081, 47.58039294935477], [7.67867657114305, 47.58014755096747], [7.678683683779324, 47.57977039516447], [7.678508069452522, 47.57936257903149], [7.678165221085496, 47.57891604746452], [7.677955317528638, 47.57858722958549], [7.677732967691825, 47.578126337569934], [7.677685622592516, 47.57764340176848], [7.67759353740259, 47.57730500546812], [7.677455080419151, 47.57701103417936], [7.677357980956973, 47.576499276470614], [7.677321110646408, 47.57596518059005], [7.677368492204991, 47.57568633272276], [7.67744842534433, 47.57543483976719], [7.677478704688715, 47.57523395730885], [7.677626434046674, 47.57455928828259], [7.677347956198099, 47.57434846316317], [7.676975676196328, 47.57437217848632], [7.676908988758947, 47.57436124386289], [7.676844393401582, 47.57434558322362], [7.676782621792898, 47.57432534796688], [7.676724392790406, 47.574300797443115], [7.676663002792757, 47.574267790285234], [7.676614478800111, 47.57423495463444], [7.676571389198227, 47.574198816152226], [7.676530642512235, 47.57415458752403], [7.676529430442569, 47.574153996418595], [7.676466934889689, 47.5740697722836], [7.676425289788499, 47.574029673562904], [7.676393257015881, 47.574005204221876], [7.676351967540875, 47.57397925184107], [7.676134729613497, 47.573912224834544], [7.675780248228754, 47.57380165997942], [7.674862740272941, 47.57398848235048], [7.673377538233299, 47.5740366193257], [7.672743846690985, 47.57406874474292], [7.671690914640328, 47.57371352122792], [7.67017619980229, 47.57359042723355], [7.669258632165119, 47.57392063685731], [7.668133974866911, 47.57416762444622], [7.666809560974489, 47.57447590733172], [7.666852146095773, 47.57464709078134], [7.666783598446453, 47.57477861413986], [7.666396573960094, 47.575011175970815], [7.665865466887071, 47.57513592275543], [7.665859550206751, 47.57513537670181], [7.665236132900064, 47.57507799864441], [7.664923360858926, 47.57557485244853], [7.662904609981141, 47.57513911345617], [7.662376508782633, 47.57472858770151], [7.661939489237431, 47.57409145041994], [7.661540700216726, 47.57389523513559], [7.662418407625729, 47.57280950370691], [7.661452645466404, 47.57241596710961], [7.661874604706804, 47.57197868483903], [7.661205424408255, 47.571604506703665], [7.660904257847049, 47.57142769059181], [7.660629044828046, 47.57118629433108], [7.660223540091502, 47.57139804167929], [7.659999573595119, 47.57108904855012], [7.659703546928562, 47.570682349354], [7.659469027367687, 47.570240124391894], [7.658966989379896, 47.5696416903975], [7.658644911840511, 47.56925588506758], [7.658537013144605, 47.56885244223494], [7.657399518995048, 47.56768694156142], [7.656752203015355, 47.56640647103869], [7.656485497135586, 47.56575483597623], [7.655559518396547, 47.56480593848841], [7.654528408965369, 47.563833134265494], [7.653702065454229, 47.56299685382761], [7.653158054492274, 47.562560537973326], [7.652961210741156, 47.56246741090621], [7.652370937893211, 47.5621155736981], [7.652650203674082, 47.561782391117944], [7.651759382130146, 47.56144025880943], [7.650356690960444, 47.56090237717985], [7.649311575278, 47.56041356697386], [7.648904432445437, 47.5602241308784], [7.648283810697334, 47.5599363539219], [7.647282972518941, 47.56025752058192], [7.646877948645206, 47.56038728829727], [7.646512126952801, 47.56050193803664], [7.646072692901143, 47.56072228633921], [7.645081655424248, 47.56100133468051], [7.644057571574327, 47.56128968738869], [7.641266984119939, 47.56126957740959], [7.640101124890833, 47.56200424885949], [7.638338181575791, 47.56323154044753], [7.636126747727849, 47.56392268614029], [7.635285643101852, 47.562875091253375], [7.634664861856971, 47.562102066334596], [7.634086092558134, 47.56138150873663], [7.633963623787125, 47.56122901876761], [7.632602025681861, 47.56151185512999], [7.632996813362927, 47.56254274118711], [7.633726880419135, 47.564449043570114], [7.634148451440482, 47.565549787951326], [7.6313486443163, 47.5679517036263], [7.630957992249658, 47.56774553931588], [7.630432167783619, 47.56747595696135], [7.629938307985732, 47.56722861508938], [7.629347795665606, 47.56694531072362], [7.628252138990827, 47.56643397315403], [7.627985396773356, 47.56669150152427], [7.625701586940637, 47.56889627719462], [7.625503240297985, 47.56908773885568], [7.625734297913988, 47.569197378779585], [7.624974566844859, 47.56993075627952], [7.624003181817955, 47.568994110771634], [7.623934925672004, 47.568943458951644], [7.623855386312539, 47.5689078535164], [7.623771419829964, 47.56888699574425], [7.623682715082476, 47.56887932121591], [7.623587881056531, 47.56888610024205], [7.623514343703178, 47.56890272945909], [7.623435477348195, 47.568934692356024], [7.623355259316753, 47.56899080543418], [7.622691547948818, 47.56963016635287], [7.621970416702205, 47.570712148578586], [7.621420110558926, 47.571984308286446], [7.620801553432097, 47.57341422187576], [7.62338931565955, 47.575365606252966], [7.627023127453312, 47.57735100309546], [7.626117514274742, 47.57810996583035], [7.625211875214379, 47.578868930269934], [7.624552730394944, 47.57942129632014]]], ""type"": ""Polygon""}";4;R;Riehen
47.5705800196585, 7.604069913447254;"{""coordinates"": [[[7.61762447268096, 47.558653723431604], [7.615042051989799, 47.558340868928525], [7.613038449094093, 47.55780229305244], [7.609699364342282, 47.556949926530386], [7.606315619938301, 47.55627293283927], [7.602784095618491, 47.55596879413435], [7.599350872645742, 47.55602180540858], [7.597242614151943, 47.556136513596165], [7.594214348555587, 47.55732238198577], [7.59160114256165, 47.558704957895586], [7.590010807800353, 47.5598756699794], [7.588718529473176, 47.56108544970933], [7.587639447886664, 47.562101990931204], [7.586479031513313, 47.56371866730503], [7.585456999963685, 47.56537614115629], [7.585060064316177, 47.566790099638084], [7.584841329631951, 47.56907951275264], [7.584907753756879, 47.570221619224164], [7.585279343999189, 47.572372280265505], [7.585169482537382, 47.573338519549836], [7.584659791303228, 47.57552123141077], [7.584396947558698, 47.57858178125947], [7.584739314489168, 47.58085677534432], [7.585725402557203, 47.58409021874881], [7.586970327348091, 47.58655141549606], [7.588254324126032, 47.58852099988007], [7.589045020353, 47.58990178179019], [7.593171122067471, 47.588979558802784], [7.595249579639324, 47.58845484032427], [7.598468522008637, 47.58764368902811], [7.602464167627639, 47.58593781376331], [7.603231171879204, 47.58561167596723], [7.604822448170358, 47.584934669748414], [7.604753781559266, 47.5843174437489], [7.604696604965459, 47.58380381703377], [7.604586321811514, 47.58281476247329], [7.604060782993019, 47.5813388594352], [7.604469275417035, 47.581299201448], [7.604700721436589, 47.5811760994594], [7.604768662441757, 47.58040925721529], [7.605339213481334, 47.57988806021457], [7.604888792721844, 47.57787892523775], [7.607858863228645, 47.578101362267226], [7.609417510310296, 47.57818594901628], [7.611324965186078, 47.578182930610005], [7.611845544150979, 47.578176995465604], [7.613211132977526, 47.578161403728785], [7.614980890040504, 47.57799821921286], [7.616714873015692, 47.577684868010316], [7.619141873989402, 47.57687508325912], [7.620602273476116, 47.57756478418686], [7.622394953681469, 47.578361489137144], [7.62395781940841, 47.57916516944339], [7.624552730394944, 47.57942129632014], [7.625211875214379, 47.578868930269934], [7.626117514274742, 47.57810996583035], [7.627023127453312, 47.57735100309546], [7.62338931565955, 47.575365606252966], [7.620801553432097, 47.57341422187576], [7.621420110558926, 47.571984308286446], [7.621970416702205, 47.570712148578586], [7.622691547948818, 47.56963016635287], [7.623355259316753, 47.56899080543418], [7.623368451314736, 47.56897811237984], [7.623432531327613, 47.56893589319382], [7.623435477348195, 47.568934692356024], [7.623514343703178, 47.56890272945909], [7.6235937252311, 47.56888522756393], [7.623676748188519, 47.56887929472329], [7.623771419829964, 47.56888699574425], [7.623860708356951, 47.5689096977536], [7.623943927620785, 47.56894878688568], [7.624003181817955, 47.568994110771634], [7.624974566844859, 47.56993075627952], [7.625734297913988, 47.569197378779585], [7.625503240297985, 47.56908773885568], [7.625701586940637, 47.56889627719462], [7.627985396773356, 47.56669150152427], [7.628252138990827, 47.56643397315403], [7.629347795665606, 47.56694531072362], [7.629938307985732, 47.56722861508938], [7.630432167783619, 47.56747595696135], [7.630957992249658, 47.56774553931588], [7.6313486443163, 47.5679517036263], [7.634148451440482, 47.565549787951326], [7.633726880419135, 47.564449043570114], [7.632996813362927, 47.56254274118711], [7.632602025681861, 47.56151185512999], [7.6315242916068, 47.56165367839294], [7.630213018040122, 47.561711586976685], [7.62878317693324, 47.56168693214575], [7.627368772051468, 47.561521932490955], [7.625899454602924, 47.561151029544206], [7.622616540394288, 47.560210051409946], [7.619273667140075, 47.55911797840499], [7.61762447268096, 47.558653723431604]]], ""type"": ""Polygon""}";3;K;Kleinbasel
47.57037649159158, 7.672205253033705;"{""coordinates"": [[[7.681364962797205, 47.5809999427539], [7.681481977292651, 47.58026035488771], [7.681618439230602, 47.5793703336532], [7.681819064894341, 47.578299143851375], [7.681932928671727, 47.577713389474496], [7.681908596616314, 47.577461194273035], [7.682557629750687, 47.57723641370216], [7.683023839200481, 47.57703226753978], [7.683861924074522, 47.57666222976825], [7.68382660428539, 47.57563329927939], [7.683757541514295, 47.57477482521207], [7.683679163493447, 47.573910371664915], [7.684314441369572, 47.57380039650376], [7.685512525867743, 47.57309201538239], [7.686835844653492, 47.57283878692388], [7.68813324266864, 47.57258146180509], [7.68892229089761, 47.57242976019817], [7.689325655273819, 47.571867746646376], [7.689662289000409, 47.5714027919028], [7.68929379634349, 47.57086465629336], [7.68889925932761, 47.57029163487751], [7.688550836224565, 47.56994052290726], [7.687886214346708, 47.56922639091575], [7.68710797259623, 47.56838905892544], [7.686835088971119, 47.567697340662555], [7.686542353865612, 47.56700161674317], [7.686241992620646, 47.56630741011668], [7.685928372535917, 47.565614993522765], [7.685195409495679, 47.56656090071337], [7.684748454858963, 47.56709701933413], [7.684117561007047, 47.56790711365822], [7.683763247730234, 47.56835645000485], [7.683584122698579, 47.5683991968601], [7.683429350341826, 47.56842622511339], [7.683536902891793, 47.56921341699831], [7.68358459545629, 47.569620363320986], [7.683722916796104, 47.57054016519747], [7.683508856954712, 47.57125880021992], [7.682105197168894, 47.57079357935097], [7.68103122565072, 47.5704374500754], [7.68009007626238, 47.569986007549325], [7.67911021667026, 47.56950484119276], [7.678449853493183, 47.56896627578087], [7.678104401369432, 47.56844280656849], [7.677690722592468, 47.56781085930462], [7.676752455510321, 47.56698850923508], [7.675704796280752, 47.56594122542315], [7.675153080322391, 47.56542734079442], [7.676207652166724, 47.565186641697494], [7.677288250102807, 47.564937974064414], [7.677324398456881, 47.56374967470756], [7.676333458841976, 47.56364551525187], [7.675623231881491, 47.56348559007781], [7.674461943898542, 47.563460699641546], [7.673487353172397, 47.563590283848264], [7.672456928003196, 47.56373025194052], [7.672375699672736, 47.564433005658], [7.672318022867043, 47.5650070834926], [7.672368351332577, 47.56544469818893], [7.670707862885248, 47.56581956303288], [7.670227378217429, 47.56583683532797], [7.669472327436226, 47.56566658302212], [7.667495156361312, 47.5653098774735], [7.66612189285117, 47.56514037732312], [7.66555794120289, 47.56506512209481], [7.664234984743213, 47.56540384487805], [7.663269336529941, 47.565238691094216], [7.662281484113528, 47.56506900313846], [7.660745844428377, 47.56479939033783], [7.659735206555107, 47.564639428403694], [7.658760065914665, 47.56448240339315], [7.657900065300883, 47.56386851465116], [7.656764416343339, 47.56313408095564], [7.656438301792838, 47.562673493369296], [7.656163490494403, 47.56228325680211], [7.655462531224768, 47.562320917992345], [7.654543922502596, 47.56237177713769], [7.653669083210662, 47.56210698499173], [7.652793662399921, 47.561837483576305], [7.652650203674082, 47.561782391117944], [7.652370937893211, 47.5621155736981], [7.652961210741156, 47.56246741090621], [7.653158054492274, 47.562560537973326], [7.653702065454229, 47.56299685382761], [7.654528408965369, 47.563833134265494], [7.655559518396547, 47.56480593848841], [7.656485497135586, 47.56575483597623], [7.656752203015355, 47.56640647103869], [7.657399518995048, 47.56768694156142], [7.658537013144605, 47.56885244223494], [7.658644911840511, 47.56925588506758], [7.658966989379896, 47.5696416903975], [7.659469027367687, 47.570240124391894], [7.659703546928562, 47.570682349354], [7.659999573595119, 47.57108904855012], [7.660223540091502, 47.57139804167929], [7.660629044828046, 47.57118629433108], [7.660904257847049, 47.57142769059181], [7.661205424408255, 47.571604506703665], [7.661874604706804, 47.57197868483903], [7.661452645466404, 47.57241596710961], [7.662418407625729, 47.57280950370691], [7.661540700216726, 47.57389523513559], [7.661939489237431, 47.57409145041994], [7.662376508782633, 47.57472858770151], [7.662904609981141, 47.57513911345617], [7.664923360858926, 47.57557485244853], [7.665236132900064, 47.57507799864441], [7.665859550206751, 47.57513537670181], [7.666396573960094, 47.575011175970815], [7.666783598446453, 47.57477861413986], [7.666852146095773, 47.57464709078134], [7.666809560974489, 47.57447590733172], [7.668133974866911, 47.57416762444622], [7.669258632165119, 47.57392063685731], [7.67017619980229, 47.57359042723355], [7.671690914640328, 47.57371352122792], [7.672743846690985, 47.57406874474292], [7.673377538233299, 47.5740366193257], [7.674862740272941, 47.57398848235048], [7.675780248228754, 47.57380165997942], [7.676134729613497, 47.573912224834544], [7.676351967540875, 47.57397925184107], [7.676393257015881, 47.574005204221876], [7.676425289788499, 47.574029673562904], [7.676466934889689, 47.5740697722836], [7.676530642512235, 47.57415458752403], [7.676571389198227, 47.574198816152226], [7.676614478800111, 47.57423495463444], [7.676663002792757, 47.574267790285234], [7.676724392790406, 47.574300797443115], [7.676782621792898, 47.57432534796688], [7.676844393401582, 47.57434558322362], [7.676908988758947, 47.57436124386289], [7.676975676196328, 47.57437217848632], [7.677347956198099, 47.57434846316317], [7.677626434046674, 47.57455928828259], [7.677478704688715, 47.57523395730885], [7.67744842534433, 47.57543483976719], [7.677368492204991, 47.57568633272276], [7.677321110646408, 47.57596518059005], [7.677357980956973, 47.576499276470614], [7.677455080419151, 47.57701103417936], [7.67759353740259, 47.57730500546812], [7.677685622592516, 47.57764340176848], [7.677732967691825, 47.578126337569934], [7.677955317528638, 47.57858722958549], [7.678165221085496, 47.57891604746452], [7.678508069452522, 47.57936257903149], [7.678683683779324, 47.57977039516447], [7.67867657114305, 47.58014755096747], [7.679422295072081, 47.58039294935477], [7.680819654156106, 47.581131910392365], [7.681364962797205, 47.5809999427539]]], ""type"": ""Polygon""}";5;B;Bettingen
