geo_point_2d;geo_shape;id_df;standort;strasse;hausnummer;plz;ort;kanton;verfuegbar;bemerkung
47.54611598100515, 7.588405931729169;"{""coordinates"": [7.588405931729169, 47.54611598100515], ""type"": ""Point""}";184;SBB Immobilien, Basel, SBB;Güterstrasse;115;4053;Basel;BS;Passerelle 1. OG, Überwachungszentrale Securitrans AG;24/365
47.54823661995224, 7.588182424186357;"{""coordinates"": [7.588182424186357, 47.54823661995224], ""type"": ""Point""}";187;SBB Immobilien, Basel, SBB;Güterstrasse;115;4053;Basel;BS;Aufnahmegebäude Ost, Gesundheitszentrum EG, Haupteingang;Mo-Sa 0000-2200 & So 0600-1600
47.56211499503648, 7.585127902817031;"{""coordinates"": [7.585127902817031, 47.56211499503648], ""type"": ""Point""}";193;Sprachenzentrum und New Media Center;Totentanz;17;4051;Basel;BS;1. OG, neben 01.008.;Mo-Do 1100-1900 & Fr 100-1600, Abweichende Zeiten im Sommer
47.558772996631234, 7.5893704993552324;"{""coordinates"": [7.589370499355232, 47.558772996631234], ""type"": ""Point""}";201;Universität Basel, eikones, Seminar für Kulturwissenschaft und Europäische Ethnologie;Rheinsprung;11;4051;Basel;BS;Nach Gebäudeeingang / Holztür links;07:45-21:00 (Mo-Fr)
47.547685997586086, 7.594413602852723;"{""coordinates"": [7.594413602852723, 47.547685997586086], ""type"": ""Point""}";209;Lamprecht Transport AG;Peter Merian-Strasse;48;4052;Basel;BS;Gerät ist im EG beim Empfang stationiert;Mo-Fr 0730-1200 & 1330-1730
47.54130569435128, 7.621716405897008;"{""coordinates"": [7.621716405897008, 47.54130569435128], ""type"": ""Point""}";214;Elektro Datenbank Schweiz ELDAS;Birsstrasse;320;4052;Basel;BS;Im Office, 2 Stock;Werktags zu den Bürozeiten
47.55463448691735, 7.565606203766233;"{""coordinates"": [7.565606203766233, 47.55463448691735], ""type"": ""Point""}";440;Wohngenossenschaft Morgartenring, Morgartenring;Morgartenring;75/77;4054;Basel;BS;;24/365
47.556022034297854, 7.5919937078554165;"{""coordinates"": [7.591993707855416, 47.556022034297854], ""type"": ""Point""}";447;Bau- und Verkehrsdepartement Basel Münsterplatz;Münsterplatz;11;4001;Basel;BS;Beim Eingang innen rechts an der Wand;Mo-Fr 0800-1700 Uhr
47.550078998554746, 7.5936889992544;"{""coordinates"": [7.5936889992544, 47.550078998554746], ""type"": ""Point""}";449;Handelsschule KV Basel;Aeschengraben;15;4002;Basel;BS;Im EG innen links an der Wand;Mo-Fr 0700-2200 Uhr
47.560449794590696, 7.594061904709832;"{""coordinates"": [7.594061904709832, 47.560449794590696], ""type"": ""Point""}";491;LIDL Basel, Rebgasse Center;Rebgasse;20;4058;Basel;BS;In der Kassenzone neben dem Kaffeeautomaten;Mo-Fr 0700-2000, Sa 0700-1800
47.56584645567978, 7.60412001266359;"{""coordinates"": [7.60412001266359, 47.56584645567978], ""type"": ""Point""}";498;Amt für Wirtschaft und Arbeit Sandgrubenstrasse;Sandgrubenstrasse;44;4058;Basel;BS;3.OG, gegenüber Lift, an der Wand;MO-Fr 0800-1700
47.567051898672624, 7.563971441418159;"{""coordinates"": [7.563971441418159, 47.567051898672624], ""type"": ""Point""}";3;Amt für Sozialbeiträge - LIV (Leben in Vielfalt);Burgfelderstrasse;202;4055;Basel;BS;Im Tageszentrum;08:00-17:00 (Mo-Fr)
47.562475782050825, 7.595819397406407;"{""coordinates"": [7.595819397406407, 47.562475782050825], ""type"": ""Point""}";8;Arztpraxis Clara;Clarastrasse;15;4057;Basel;BS;In der Praxis;08:00 -12:00 & 14:00 - 18:00 (Mo-Fr)
47.55610789654784, 7.582921491638333;"{""coordinates"": [7.582921491638333, 47.55610789654784], ""type"": ""Point""}";12;Berufsfeuerwehr Basel;Kornhausgasse;18;4051;Basel;BS;Fahrzeughalle 5, EG, Durchgang Vorhalle, links an der Wand;24/365
47.53470190124575, 7.606249980439424;"{""coordinates"": [7.606249980439424, 47.53470190124575], ""type"": ""Point""}";19;BVD Tiefbauamt, Betrieb;Brüsselstrasse;22;4053;Basel;BS;2. OG Mehrzweckraum, nur während der Arbeitszeit;06:45 - 16:00, Areal sonst geschlossen
47.53470190124575, 7.606249980439424;"{""coordinates"": [7.606249980439424, 47.53470190124575], ""type"": ""Point""}";20;BVD Tiefbauamt, Betrieb;Brüsselstrasse;22;4053;Basel;BS;3. OG KSV, nur während der Arbeitszeit;06:45 - 16:00, Areal sonst geschlossen
47.5588373181222, 7.563716910125514;"{""coordinates"": [7.563716910125514, 47.5588373181222], ""type"": ""Point""}";24;BVD Tiefbauamt, Betrieb;Nidwaldnerstrasse;48;4055;Basel;BS;Aufenthaltsraum Büro, nur währende der Arbeitzeit;06:45 - 16:00, Areal sonst geschlossen
47.54964258172375, 7.574491191140559;"{""coordinates"": [7.574491191140559, 47.54964258172375], ""type"": ""Point""}";31;Eskamedia AG;Kluserstrasse;25;4054;Basel;BS;Büros Parterre rechts, an der Wand;08:00 - 17:00 (Mo-Fr)
