geo_point_2d;geo_shape;id_kj;ki_angebot;ju_angebot;traeger;angebot;strasse_nr;plz;ort;kanton;link
47.54713978539535, 7.562438291567102;"{""coordinates"": [7.562438291567102, 47.54713978539535], ""type"": ""Point""}";26;TRUE;FALSE;ev-ref. KG Stephanus;Kidstreff Stephanus;Furkastrasse 12;4054;Basel-Stadt;BS;https://www.erk-bs.ch/kg/baselwest/kids-traeff
47.57599333295529, 7.591346265573519;"{""coordinates"": [7.591346265573519, 47.57599333295529], ""type"": ""Point""}";71;TRUE;FALSE;Verein Raum frei für Kinder;Spielboden Klybeck;Gärtnerstrasse 46;4057;Basel-Stadt;BS;http://www.spielboden-klybeck.ch/
47.580071259441546, 7.589813414708462;"{""coordinates"": [7.589813414708462, 47.580071259441546], ""type"": ""Point""}";72;TRUE;FALSE;Evangelische Stadtmission;Spielbox: offener Spieltreffpunkt;Giessliweg 58;4057;Basel-Stadt;BS;http://www.stadtmission-bs.ch/?rub=78
47.55694963957328, 7.587505273984951;"{""coordinates"": [7.587505273984951, 47.55694963957328], ""type"": ""Point""}";93;FALSE;TRUE;Verein JuAr Basel / GGG Stadtbibliothek Basel;offene Jugendarbeit in der Bibiliothek Schmiedenhof;Im Schmiedenhof 10;4001;Basel-Stadt;BS;https://www.stadtbibliothekbasel.ch/de/jugendarbeit.html
47.57763345482941, 7.588825615618214;"{""coordinates"": [7.588825615618214, 47.57763345482941], ""type"": ""Point""}";53;TRUE;FALSE;Stiftung IdéeSport;OpenSunday Kleinbasel;Inselstrasse 45;4057;Basel-Stadt;BS;https://www.ideesportworknet.ch/de/magazine/standort/570031
47.58015876524549, 7.590989996116127;"{""coordinates"": [7.590989996116127, 47.58015876524549], ""type"": ""Point""}";113;FALSE;TRUE;Verein JuAr Basel;Jugendzentrum Kleinhüningen Chillout;Kleinhüningerstrasse 183;4057;Basel-Stadt;BS;https://www.jugi-chillout.ch/
47.5808679848765, 7.591280458495074;"{""coordinates"": [7.591280458495074, 47.5808679848765], ""type"": ""Point""}";79;TRUE;FALSE;Verein Haus für Kinder und Eltern;Spielwerkstatt Kleinhüningen;Kleinhüningerstrasse 205;4057;Basel-Stadt;BS;http://www.spielwerkstattbasel.ch/Spielwerkstatt-Kleinhueningen/Spielwerkstatt-Kleinhueningen-28
47.5638161462138, 7.591138698813642;"{""coordinates"": [7.591138698813642, 47.5638161462138], ""type"": ""Point""}";74;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Spiel-Estrich Kaserne;Klybeckstrasse 1b;4057;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.57151182000843, 7.635123163289194;"{""coordinates"": [7.635123163289194, 47.57151182000843], ""type"": ""Point""}";106;FALSE;TRUE;Trägerverein Midnight Sports Riehen;Midnight Sports Riehen;Niederholzschulhaus, Niederholzstrasse 95;4125;Riehen;BS;https://www.ideesportworknet.ch/de/magazine/standort/6358
47.55906846101669, 7.58329932074727;"{""coordinates"": [7.58329932074727, 47.55906846101669], ""type"": ""Point""}";29;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Kinderflohmarkt auf dem Peti's;Petersplatz;4051;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/kinderferienstaedte.php
47.570566679290366, 7.5870648139998815;"{""coordinates"": [7.587064813999882, 47.570566679290366], ""type"": ""Point""}";92;FALSE;TRUE;Verein JuAr Basel;Jugendzentrum Dreirosen: Mädchentreffpunkt;Unterer Rheinweg 168;4057;Basel-Stadt;BS;https://www.dreirosen-jugendzentrum.ch/oeffnungszeiten
47.563132104354494, 7.5610535378671635;"{""coordinates"": [7.561053537867163, 47.563132104354494], ""type"": ""Point""}";17;FALSE;TRUE;Verein JuAr Basel;Jugendzentrum Bachgraben;Bachgrabenpromenade;4055;Basel-Stadt;BS;https://www.bachgraben-juarbasel.ch/
47.56869976111844, 7.5911127803860055;"{""coordinates"": [7.591112780386005, 47.56869976111844], ""type"": ""Point""}";94;FALSE;TRUE;Verein JuAr Basel / GGG Stadtbibliothek Basel;offene Jugendarbeit in der Bibliothek Bläsi;Bläsiring 85;4057;Basel-Stadt;BS;https://www.stadtbibliothekbasel.ch/de/jugendarbeit.html
47.570035513850904, 7.635915085797352;"{""coordinates"": [7.635915085797352, 47.570035513850904], ""type"": ""Point""}";108;TRUE;TRUE;Freizeitzentrum Landauer;Freizeitzentrum Landauer;Bluttrainweg 12;4125;Riehen;BS;https://www.landauer.ch/
47.57017830679587, 7.6365667958392525;"{""coordinates"": [7.636566795839252, 47.57017830679587], ""type"": ""Point""}";109;FALSE;TRUE;Freizeitzentrum Landauer;Jugendarbeit Riehen: Jugendzentrum und mobile Jugendarbeit;Bluttrainweg 20;4125;Riehen;BS;www.jugendarbeitriehen.ch
47.563541354902, 7.594898345423289;"{""coordinates"": [7.594898345423289, 47.563541354902], ""type"": ""Point""}";31;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Kindertankstelle Claramatte;Claramatte;4057;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/kindertankstelle.php
47.57026827455944, 7.58832648008822;"{""coordinates"": [7.58832648008822, 47.57026827455944], ""type"": ""Point""}";48;TRUE;FALSE;Verein Allwäg;Mobile Spielanimation Dreirosenpark;Dreirosenpark;4057;Basel-Stadt;BS;http://www.allwäg.ch/index.php
47.5704806407528, 7.616407756402865;"{""coordinates"": [7.616407756402865, 47.5704806407528], ""type"": ""Point""}";14;FALSE;TRUE;Verein JuAr Basel;Jugendzentrum Eglisee;Egliseestrasse 90;4058;Basel-Stadt;BS;https://www.eglisee.ch/
47.56675083766113, 7.581884964692006;"{""coordinates"": [7.581884964692006, 47.56675083766113], ""type"": ""Point""}";18;FALSE;TRUE;Verein JuAr Basel;Jugendzentrum Badhüsli;Elsässerstrasse 2;4056;Basel-Stadt;BS;https://www.badhues.li/
47.569565963577894, 7.602304805520098;"{""coordinates"": [7.602304805520098, 47.569565963577894], ""type"": ""Point""}";81;TRUE;FALSE;Quartiertreffpunkt Rosental;Verkehrsgarten Erlenmatt;Erlenstr. 5;4058;Basel-Stadt;BS;http://www.gleis58.ch/programm/woechentliches_programm
47.57215913945849, 7.600159793926847;"{""coordinates"": [7.600159793926847, 47.57215913945849], ""type"": ""Point""}";30;TRUE;FALSE;Quartiertreffpunkt Rosental;Kindernachmittag;Erlkönigweg 30;4058;Basel-Stadt;BS;http://www.gleis58.ch/programm/woechentliches_programm
47.554411396621134, 7.581931594345509;"{""coordinates"": [7.581931594345509, 47.554411396621134], ""type"": ""Point""}";8;FALSE;TRUE;Verein Eulerstroos nüün;Jugendtreffpunkt Freestyle;Eulerstrasse 9;4051;Basel-Stadt;BS;https://www.e-9.ch/teens/freestyle/
47.554384333827315, 7.581997949000881;"{""coordinates"": [7.581997949000881, 47.554384333827315], ""type"": ""Point""}";37;FALSE;TRUE;Verein Eulerstroos nüün;Kingsnight (Jungentreffpunkt);Eulerstrasse 9;4051;Basel-Stadt;BS;https://www.e-9.ch/teens/kingsnight/
47.563797720620435, 7.560975334662282;"{""coordinates"": [7.560975334662282, 47.563797720620435], ""type"": ""Point""}";58;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Quartierspielplatz Robi Bachgraben;Felsplattenstrasse 11;4055;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.547076843324945, 7.5624248622853765;"{""coordinates"": [7.562424862285376, 47.547076843324945], ""type"": ""Point""}";54;FALSE;TRUE;ev-ref. KG Stephanus;Jugendtreff Pier12;Furkastrasse 12;4054;Basel-Stadt;BS;https://www.erk-bs.ch/kg/baselwest/jugendtreff
47.54713089308522, 7.56234262887827;"{""coordinates"": [7.56234262887827, 47.54713089308522], ""type"": ""Point""}";122;TRUE;FALSE;Verein Eulerstroos nüün;Villa YoYo Stephanus;Furkastrasse 12;4054;Basel-Stadt;BS;https://www.e-9.ch/kids/standort-stephanus
47.58007750327359, 7.58985330804386;"{""coordinates"": [7.58985330804386, 47.58007750327359], ""type"": ""Point""}";85;TRUE;FALSE;Evangelische Stadtmission;Spielbox: Mädchentreffpunkt;Giessliweg 58;4057;Basel-Stadt;BS;http://www.stadtmission-bs.ch/?rub=78
47.580097347846944, 7.589808171831552;"{""coordinates"": [7.589808171831552, 47.580097347846944], ""type"": ""Point""}";121;TRUE;FALSE;Evangelische Stadtmission;Spielbox: Tanzmodul;Giessliweg 58;4057;Basel-Stadt;BS;http://www.stadtmission-bs.ch/?rub=78
47.5427927737386, 7.594904055437949;"{""coordinates"": [7.594904055437949, 47.5427927737386], ""type"": ""Point""}";96;FALSE;TRUE;Verein JuAr Basel / GGG Stadtbibliothek Basel;offene Jugendarbeit in der Bibliothek Gundeldingen;Güterstrasse 211;4053;Basel-Stadt;BS;https://www.stadtbibliothekbasel.ch/de/jugendarbeit.html
47.563559365287745, 7.625420369116298;"{""coordinates"": [7.625420369116298, 47.563559365287745], ""type"": ""Point""}";2;TRUE;FALSE;Quartiertreffpunkt Hirzbrunnen;Bubentreffpunkt;Im Rheinacker 15;4058;Basel-Stadt;BS;http://www.quartiertreffpunktebasel.ch/quartier-treffpunkte-basel/quartiertreffpunkt-hirzbrunnen/offener-treffpunkt.php
47.563514269003186, 7.625499937680658;"{""coordinates"": [7.625499937680658, 47.563514269003186], ""type"": ""Point""}";41;TRUE;FALSE;Quartiertreffpunkt Hirzbrunnen;Mädchentreffpunkt;Im Rheinacker 15;4058;Basel-Stadt;BS;http://www.quartiertreffpunktebasel.ch/quartier-treffpunkte-basel/quartiertreffpunkt-hirzbrunnen/offener-treffpunkt.php
47.53923360465256, 7.593127182250885;"{""coordinates"": [7.593127182250885, 47.53923360465256], ""type"": ""Point""}";52;TRUE;FALSE;Stiftung IdéeSport;OpenSunday Gundeli;Ingelsteinweg 6;4053;Basel-Stadt;BS;https://www.ideesportworknet.ch/de/magazine/standort/164087
47.56287878737261, 7.570673158261308;"{""coordinates"": [7.570673158261308, 47.56287878737261], ""type"": ""Point""}";99;FALSE;TRUE;Verein Mobile Jugendarbeit Basel;Dini Halle: Spiel, Sport in der Turnhalle;Iselinschulhaus, Strassburgerallee 65;4055;Basel-Stadt;BS;https://www.mjabasel.ch/projekte/dini-halle
47.58087685665309, 7.59137352846196;"{""coordinates"": [7.59137352846196, 47.58087685665309], ""type"": ""Point""}";91;FALSE;TRUE;Verein Haus für Kinder und Eltern/Verein JuAr Basel;Tuesday Kitchen Club: jugi@moli;Kleinhüningerstrasse 205;4057;Basel-Stadt;BS;http://www.spielwerkstattbasel.ch/Spielwerkstatt-Kleinhueningen/Projekte/jugi-at-moli-58
47.55806822536884, 7.569717944185193;"{""coordinates"": [7.569717944185193, 47.55806822536884], ""type"": ""Point""}";33;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Kindertankstelle Ökolampadmatte;Ökolampadmatte;4055;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/robi_CMS/data/files/Wo_sind_wir.pdf
