"standort_beschreibung","adresse_beschreibung","lat","lon","anzahl_kameras_aussen","anzahl_kameras_innen","anzahl_kameras_gsa","bereich_detail_beschreibung","aufbewahrungsdauer","verantwortliche_da","rechtsgrundlage_url"
"Schulanlage Limmat (Schulhaus B/C)","Ausstellungsstrasse 77, 8005 Zürich, Switzerland","47.383107","8.534731","10","0","0","","7","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/4/410/410_200.html"
"Schulanlage Lachenzelg (Schulhaus und Turnhalle West) ","Imbisbühlstrasse 60, 8049 Zürich, Switzerland","47.404614","8.49068","26","0","0","","7","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/4/410/410_200.html"
"Schulanlage Lachenzelg ","Lachenzelgstrasse 15, 8049 Zürich, Switzerland","47.404893","8.491282","20","0","0","","7","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/4/410/410_200.html"
"Schulanlage Vogtsrain","Am Wettingertobel 36, 8049 Zürich, Switzerland","47.401779","8.496924","5","0","0","","7","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/4/410/410_200.html"
"Schulanlage Döltschi (Schultrakt, Turnhalle und Fachzimmertrakt)","Döltschiweg 178, 8055 Zürich, Switzerland","47.364442","8.499587","36","0","0","","7","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/4/410/410_200.html"
"Schulanlage Döltschi (Schulhaus Döltschihalde) ","Döltschiweg 190, 8055 Zürich, Switzerland","47.36343","8.499322","10","0","0","","7","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/4/410/410_200.html"
"Schulanlage Luchswiesen (Schultrakt, Turnhalle, Altbau und Neubau) ","Luchsweg 5, 8051 Zürich, Switzerland","47.403865","8.583749","42","0","0","","7","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/4/410/410_200.html"
"Schulanlage Leutschenbach","Saatlenfussweg 3, 8050 Zürich, Switzerland","47.413472","8.562536","10","0","0","","7","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/4/410/410_200.html"
"Schulanlage Schule für Sehbehinderte ","Hueberstrasse, 8304 Wallisellen, Switzerland","47.4154801","8.6035127","18","0","0","","7","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/4/410/410_200.html"
"Schulanlage Bachtobel (Schulhaus A und N, Saal)","Bachtobelstrasse 111, 8045 Zürich, Switzerland","47.359067","8.511925","31","0","0","","7","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/4/410/410_200.html"
"Schulanlage Küngenmatt (Schulhaus und ZüriModular Pavillon) ","Küngenmatt 66, 8055 Zürich, Switzerland","47.368408","8.502689","30","0","0","","7","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/4/410/410_200.html"
"Schulanlage Buchlern (Primarschulhaus, Oberstufenschulhaus, Turnhalle, Mehrzweckraum und Kindergarten)","Rautistrasse 203, 8048 Zürich, Switzerland","47.383783","8.478745","32","0","0","","7","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/4/410/410_200.html"
"Schulanlage Stettbach (Schulschwimmanlage und Turnhalle)","Dübendorfstrasse 150, 8051 Zürich, Switzerland","47.401529","8.580781","11","0","0","","7","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/4/410/410_200.html"
"Schulanlage Blumenfeld","Blumenfeldstrasse 50, 8046 Zürich, Switzerland","47.422983","8.504348","20","0","0","","7","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/4/410/410_200.html"
"Schulanlage Falletsche (Schulhaus und Klassentrakt)","Rebenstrasse 67, 8041 Zürich, Switzerland","47.333828","8.515636","29","0","0","","7","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/4/410/410_200.html"
"Poliklinik Crossline","Badenerstrasse 435, 8003 Zürich, Switzerland","47.380217","8.50501","2","8","0","Aussen-/ Innenbereich","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Betreute Jugendwohngruppe","Dorflindenstrasse 2, 8050 Zürich, Switzerland","47.407679","8.54906","0","1","0","Innenbereich Eingang","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Medizinisch-Soziales Ambulatorium","Kanonengasse 18, 8004 Zürich, Switzerland","47.377459","8.529712","1","5","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude (Dienstabteilung Verkehr, Bewilligungsstelle)","Mühlegasse 18, 8001 Zürich, Switzerland","47.374032","8.544235","0","2","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude  (Immobilien  Stadt Zürich)","Rütistrasse 17, 8952 Schlieren, Switzerland","47.401241","8.452912","0","3","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Verwaltungszentrum Werd","Werdstrasse 75, 8004 Zürich, Switzerland","47.371861","8.527195","3","40","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Stadt Zürich, Amtshaus 3","Lindenhofstrasse 21, 8001 Zürich, Switzerland","47.373999","8.540333","0","5","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Stadt Zürich, Amtshaus 5 / Haus der Industriellen Betriebe","Werdmühleplatz 3, 8001 Zürich, Switzerland","47.37535","8.540129","0","10","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Kreisbüro 5","Fabrikstrasse 3, 8005 Zürich, Switzerland","47.38736","8.529669","0","2","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude (Soziale Einrichtungen und Betriebe Stadt Zürich)","Strassburgstrasse 5, 8004 Zürich, Switzerland","47.372182","8.528979","0","2","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Amtshaus Werdplatz","Strassburgstrasse 9, 8004 Zürich, Switzerland","47.372267","8.528685","0","7","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude Kollerhof","Hohlstrasse 35, 8004 Zürich, Switzerland","47.377058","8.526448","0","1","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Stadt Zürich, Schul- und Sportdepartement","Parkring 4, 8002 Zürich, Switzerland","47.367337","8.531372","0","2","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Kreisbüro 10","Wipkingerplatz 5, 8037 Zürich, Switzerland","47.3925","8.522788","0","2","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Sozialzentrum Selnau","Selnaustrasse 17, 8001 Zürich, Switzerland","47.370025","8.53299","0","3","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Sozialzentrum Dorflinde","Schwamendingenstrasse 41, 8050 Zürich, Switzerland","47.407341","8.550272","0","2","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Sozialzentrum Albisriederhaus","Albisriederstrasse 330, 8047 Zürich, Switzerland","47.376123","8.487704","0","2","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Scancenter Steueramt Stadt Zürich","Badenerstrasse 230, 8004 Zürich, Switzerland","47.375798","8.517478","0","5","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude (Kreisschulpflege Glattal)","Oberwiesenstrasse 66, 8050 Zürich, Switzerland","47.411975","8.531805","0","1","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Stadt Zürich, Amtshaus Walche","Walchestrasse 31, 8006 Zürich, Switzerland","47.381871","8.540876","0","0","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Kreisbüro 2","Ulmbergstrasse 1, 8002 Zürich, Switzerland","47.36548","8.531266","0","2","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Stadthaus","Stadthausquai 17, 8001 Zürich, Switzerland","47.369246","8.541226","1","5","10","4 Gegensprechanlagen im Innenbereich, 6 Gegensprechanlagen im Aussenbereich (Fassaden)","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Stadtkasse","Stadthausquai 17, 8001 Zürich, Switzerland","47.369246","8.541226","0","2","3","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude (Stadtammann- und Betreibungsamt Zürich 6)","Beckenhofstrasse 59, 8006 Zürich, Switzerland","47.386781","8.539917","0","1","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude (Human Resources Management Stadt Zürich)","Gotthardstrasse 61, 8002 Zürich, Switzerland","47.364456","8.53265","0","1","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude (Psychiatrische Poliklinik Zürich)","Badenerstrasse 108, 8004 Zürich, Switzerland","47.374399","8.524888","0","1","1","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Stadt Zürich, Amtshaus Helvetiaplatz","Molkenstrasse 5, 8004 Zürich, Switzerland","47.376296","8.527173","0","8","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Sozialzentrum Hönggerstrasse","Hönggerstrasse 24, 8037 Zürich, Switzerland","47.391563","8.525937","0","2","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Kreisbüro 7","Gemeindestrasse 54, 8032 Zürich, Switzerland","47.369428","8.556229","0","1","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Kreisbüro 8","Feldeggstrasse 60, 8008 Zürich, Switzerland","47.360664","8.553686","0","1","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Kreisbüro 12","Schwamendingerplatz 1, 8051 Zürich, Switzerland","47.404879","8.571857","0","1","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude (Finanzkontrolle der Stadt Zürich)","Bäckerstrasse 7, 8004 Zürich, Switzerland","47.373933","8.52998","0","3","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude (Laufbahnzentrum Stadt Zürich)","Konradstrasse 58, 8005 Zürich, Switzerland","47.381624","8.534519","0","2","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude (Schul- und Büromaterialverwaltung Stadt Zürich)","Ernastrasse 25, 8004 Zürich, Switzerland","47.38055","8.516406","2","2","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude (Schulzahnklink Unterstrass)","Rotbuchstrasse 42, 8037 Zürich, Switzerland","47.392387","8.533384","0","1","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude","Stauffacherstrasse 5, 8004 Zürich, Switzerland","47.371681","8.529541","0","4","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Stadt Zürich, Amtshaus 4","Lindenhofstrasse 19, 8001 Zürich, Switzerland","47.374169","8.539896","0","5","2","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude (Stadtammann- und Betreibungsamt Zürich 9)","Hohlstrasse 550, 8048 Zürich, Switzerland","47.390616","8.490933","0","2","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude (Stadt Zürich Liegenschaftenverwaltung)","Morgartenstrasse 29, 8004 Zürich, Switzerland","47.371171","8.527558","0","3","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude (Pensionskasse Stadt Zürich)","Morgartenstrasse 30, 8004 Zürich, Switzerland","47.371587","8.527534","0","3","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Pavillon","Morgartenstrasse 40, 8004 Zürich, Switzerland","47.371811","8.526523","0","4","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Bürogebäude (Stadtammann- und Betreibungsamt Zürich 7)","Witikonerstrasse 15, 8032 Zürich, Switzerland","47.364119","8.567058","0","2","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Wohnhaus","Neufrankengasse, 8004 Zürich, Switzerland","47.3809587","8.5273599","2","19","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Verwaltungszentrum Eggbühl","Eggbühlstrasse, 8050 Zürich, Switzerland","47.4168447","8.5437685","0","37","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
"Werkhof Hardau","Bullingerstrasse 95, 8004 Zürich, Switzerland","47.382608","8.506096","0","5","0","","20","Immobilien Stadt Zürich","https://www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtliche_sammlung/inhaltsverzeichnis/2/236/860.html"
