geo_point_2d;geo_shape;id_entsorg;kategorie;name;beschreibu;adresse;plz;ortschaft;telefon;www_link;oeffnungsz;zustaendig
47.57698767597414, 7.569790734200395;"{""coordinates"": [7.569790734200395, 47.57698767597414], ""type"": ""Point""}";8019;Kleidercontainer;Lottner Recyclingpark;Diverse Abfälle und Wertstoffe in allen Mengen / Mo-Fr 6:30-11:45 und 12:45-16:15, Sa 8-14:45;Schlachthofstrasse 18;4056;Basel;+41 (0) 61 386 96 66;http://www.lottner.ch;;Amt für Umwelt und Energie Basel-Stadt
47.53358057181176, 7.587685589696601;"{""coordinates"": [7.587685589696601, 47.53358057181176], ""type"": ""Point""}";8005;Kleidercontainer;Kleidercontainer - Texaid;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Bruderholzallee  (Tramhaltstelle) 55;4059;Basel;;https://www.texaid.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.5404109237771, 7.603311352293705;"{""coordinates"": [7.603311352293705, 47.5404109237771], ""type"": ""Point""}";8014;Kleidercontainer;Kleidercontainer - OBI - Texaid;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Reinacherstrasse 29;4053;Basel;;https://www.texaid.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.56982290753675, 7.615555353344551;"{""coordinates"": [7.615555353344551, 47.56982290753675], ""type"": ""Point""}";8028;Kleidercontainer;Kleidercontainer - Migros - TellTex;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Riehenstrasse 315;4058;Basel;;https://www.tell-tex.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.57257582469026, 7.630334742966481;"{""coordinates"": [7.630334742966481, 47.57257582469026], ""type"": ""Point""}";8002;Kleidercontainer;Kleidercontainer - bei Büschen - Texaid;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Rauracherstrasse 7;4125;Riehen;;https://www.texaid.ch/;;Gemeinde Riehen
47.564387628595924, 7.621582515915428;"{""coordinates"": [7.621582515915428, 47.564387628595924], ""type"": ""Point""}";8013;Kleidercontainer;Kleidercontainer - Texaid;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Ormalingerweg 9;4058;Basel;;https://www.texaid.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.5342868002835, 7.593221511011169;"{""coordinates"": [7.593221511011169, 47.5342868002835], ""type"": ""Point""}";8029;Kleidercontainer;Kleidercontainer - COOP - TellTex;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Hauensteinstrasse 88;4059;Basel;;https://www.tell-tex.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.54956379700921, 7.606581286307504;"{""coordinates"": [7.606581286307504, 47.54956379700921], ""type"": ""Point""}";8031;Kleidercontainer;Kleidercontainer - COOP - TellTex;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Hardstrasse 95;4052;Basel;;https://www.tell-tex.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.555442308077176, 7.623723353319467;"{""coordinates"": [7.623723353319467, 47.555442308077176], ""type"": ""Point""}";8051;Kleidercontainer;Kleidercontainer - Texaid;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Chrischonastrasse 2;4127;Birsfelden;;https://www.texaid.ch/de/;;Amt für Umwelt und Energie Basel-Stadt
47.56270757643003, 7.597180909526731;"{""coordinates"": [7.597180909526731, 47.56270757643003], ""type"": ""Point""}";8052;Kleidercontainer;Kleider-Abgabe im Laden der Öko-Textilreinigung / Tell-Tex;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Clarastrasse 32;4058;Basel;;https://www.oekotextilreinigung.ch/;Während den Ladenöffnungszeiten gemäss Webseite;Amt für Umwelt und Energie Basel-Stadt
47.57274618935146, 7.64417850041543;"{""coordinates"": [7.64417850041543, 47.57274618935146], ""type"": ""Point""}";8038;Kleidercontainer;Kleiderabgabe - SOS Mütter;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Kornfeldstrasse 83;4125;Riehen;;;Öffnungszeiten beachten;Gemeinde Riehen
47.57023048974801, 7.609992595337849;"{""coordinates"": [7.609992595337849, 47.57023048974801], ""type"": ""Point""}";8033;Kleidercontainer;Kleidercontainer - COOP - TellTex;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe;Schorenweg 19;4058;Basel;;https://www.tell-tex.ch/;;Amt für Umwelt und Energie Basel-Stadt
47.57944155559146, 7.590605067745473;"{""coordinates"": [7.590605067745473, 47.57944155559146], ""type"": ""Point""}";8042;Kleidercontainer;Kleidereinwurf - Klappe des Roten Kreuz;Gut erhaltene und saubere Kleider, Heimtextilien, Wäsche, Gürtel, Taschen, Hüte und tragbare Schuhe - siehe auch Merkblatt des Roten Kreuz auf der Webseite;Kleinhüningerstrasse 165;4057;Basel;;https://www.srk-basel.ch/das-srk-basel-unterstuetzen/kleiderspenden;;Amt für Umwelt und Energie Basel-Stadt
