geo_point_2d;geo_shape;id_rs;name;status;adresse;plz;ort;webseite
47.55188729639784, 7.620934555779409;"{""coordinates"": [7.620934555779409, 47.55188729639784], ""type"": ""Point""}";20;Birsstrasse/Steg;1;Birsstrasse 90;4052;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.53908572962349, 7.602881084741981;"{""coordinates"": [7.602881084741981, 47.53908572962349], ""type"": ""Point""}";24;Dornacherstrasse;1;Dornacherstrasse 339;4053;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.53334205223872, 7.597223908917574;"{""coordinates"": [7.597223908917574, 47.53334205223872], ""type"": ""Point""}";29;Fritz Hauser-Strasse;1;Bruderholzallee 197;4059;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.58584702351798, 7.652069730946018;"{""coordinates"": [7.652069730946018, 47.58584702351798], ""type"": ""Point""}";64;Rössligasse;1;Rössligasse;4125;Riehen;http://www.riehen.ch/leben-und-wohnen/abfall-und-entsorgung/wertstoffsammelstellen
47.57782539253049, 7.645270633425615;"{""coordinates"": [7.645270633425615, 47.57782539253049], ""type"": ""Point""}";67;Mühlestiegstrasse;1;Mühlestiegstrasse;4125;Riehen;http://www.riehen.ch/leben-und-wohnen/abfall-und-entsorgung/wertstoffsammelstellen
47.543338781718425, 7.59863072955789;"{""coordinates"": [7.59863072955789, 47.543338781718425], ""type"": ""Point""}";22;Hochstrasse;1;Thiersteinerallee 12;4053;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.56541067714494, 7.602399551779232;"{""coordinates"": [7.602399551779232, 47.56541067714494], ""type"": ""Point""}";46;Mattenstrasse;1;Mattenstrasse 22;4058;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.571641830274956, 7.602786693339873;"{""coordinates"": [7.602786693339873, 47.571641830274956], ""type"": ""Point""}";56;Signalstrasse;1;Signalstrasse 25;4058;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
47.571619091671586, 7.662925649872103;"{""coordinates"": [7.662925649872103, 47.571619091671586], ""type"": ""Point""}";58;Bettingen;1;Brohegasse;4126;Bettingen;http://www.riehen.ch/leben-und-wohnen/abfall-und-entsorgung/wertstoffsammelstellen
47.54582114134855, 7.605428754777008;"{""coordinates"": [7.605428754777008, 47.54582114134855], ""type"": ""Point""}";18;St.Alban-Ring;1;St.Alban-Ring 282;4052;Basel;http://www.tiefbauamt.bs.ch/entsorgung-sauberkeit/abfallentsorgung/entsorgung-standorte.html
