geo_point_2d;geo_shape;objid;recnum;art
47.544228461635385, 7.5754304763118885;"{""coordinates"": [[[7.575192764308226, 47.54413787636169], [7.575431012188948, 47.54441018930711], [7.57566765243849, 47.54413731923735], [7.575192764308226, 47.54413787636169]]], ""type"": ""Polygon""}";163;83;Gefahr
47.554997319496486, 7.589054661889011;"{""coordinates"": [[[7.589033501798163, 47.55507477712292], [7.589039165401728, 47.55502899168134], [7.589245416973765, 47.55504045317955], [7.589253041695393, 47.55497877325475], [7.589046946748764, 47.55496623231933], [7.589053091230972, 47.554916659890296], [7.588848950596931, 47.55498479891862], [7.589033501798163, 47.55507477712292]]], ""type"": ""Polygon""}";1;1;Einbahn
47.55834872596045, 7.586767157664343;"{""coordinates"": [[[7.586651261664404, 47.55834165250192], [7.586719127585805, 47.55834121555479], [7.586721415990772, 47.558481325936], [7.586812838576898, 47.55848073309473], [7.586812170920355, 47.55834063864229], [7.58688565693314, 47.558340176466174], [7.586766485512337, 47.55820889361499], [7.586651261664404, 47.55834165250192]]], ""type"": ""Polygon""}";9;5;Einbahn
47.5522137030146, 7.607746733322783;"{""coordinates"": [[[7.607770179478455, 47.552290872241024], [7.607749980155228, 47.55224697608603], [7.60794746052923, 47.552205102048106], [7.607920238290122, 47.55214599870071], [7.607722329865612, 47.55218688400201], [7.607700431996164, 47.55213937481416], [7.607549175697198, 47.552254462497444], [7.607770179478455, 47.552290872241024]]], ""type"": ""Polygon""}";15;8;Einbahn
47.56162868683912, 7.594940861507603;"{""coordinates"": [[[7.594853132951954, 47.561576900065866], [7.594908512485143, 47.56160354615864], [7.594788809645586, 47.561717836909224], [7.59486329687832, 47.56175372094878], [7.594984290262843, 47.561640030970416], [7.595044207272809, 47.5616688563841], [7.59506162861986, 47.56151524725292], [7.594853132951954, 47.561576900065866]]], ""type"": ""Polygon""}";33;17;Einbahn
47.55473983031292, 7.588710002602327;"{""coordinates"": [[[7.588594363649682, 47.554731044604516], [7.588662214481818, 47.55473161383064], [7.588660004017809, 47.5548717121646], [7.588751437466604, 47.55487247582502], [7.588755255334497, 47.55473241139369], [7.58882875267979, 47.554733036205654], [7.588713831046212, 47.55460002291787], [7.588594363649682, 47.554731044604516]]], ""type"": ""Polygon""}";3;2;Einbahn
47.55881601132903, 7.5867929418097315;"{""coordinates"": [[[7.586677043654631, 47.55880892484686], [7.586744910198325, 47.55880849687842], [7.586747185355101, 47.55894858926502], [7.586838622057403, 47.55894800538032], [7.586837954376819, 47.55880792893898], [7.586911441036453, 47.558807466746565], [7.58679228181392, 47.55867619292078], [7.586677043654631, 47.55880892484686]]], ""type"": ""Polygon""}";7;4;Einbahn
47.57041019034763, 7.573075842573718;"{""coordinates"": [[[7.573180926005993, 47.57044408351314], [7.573117017611819, 47.5704284991847], [7.573186827316761, 47.57029661622601], [7.573100805247194, 47.57027565218214], [7.573029506036388, 47.57040717705801], [7.572960318600786, 47.57039031262652], [7.573004660137393, 47.570541445431466], [7.573180926005993, 47.57044408351314]]], ""type"": ""Polygon""}";11;6;Einbahn
47.55220898658627, 7.60683653161353;"{""coordinates"": [[[7.606813083477835, 47.55213179169518], [7.606833255554379, 47.55217573302237], [7.606635774297366, 47.5522175691859], [7.606662915263758, 47.5522766189864], [7.606860865005341, 47.552235834370144], [7.606882722308462, 47.55228334377277], [7.6070340998403, 47.55216830175679], [7.606813083477835, 47.55213179169518]]], ""type"": ""Polygon""}";17;9;Einbahn
47.557856239516184, 7.582026665129727;"{""coordinates"": [[[7.582080886102186, 47.55792595538116], [7.582043435209213, 47.557887580241626], [7.582215962709668, 47.55781018372996], [7.582165575139263, 47.55775853182693], [7.581992208454063, 47.55783509288013], [7.581951680047433, 47.55779354670735], [7.581853614533735, 47.55793257534536], [7.582080886102186, 47.55792595538116]]], ""type"": ""Polygon""}";21;11;Einbahn
47.587037838960924, 7.559206104780063;"{""coordinates"": [[[7.559115562987914, 47.58698830577063], [7.559172370324324, 47.58701355523684], [7.559058987212423, 47.587130760236825], [7.55913540913048, 47.58716471331681], [7.559250122783485, 47.58704807346814], [7.559311614304034, 47.58707540455066], [7.55932061224165, 47.586921469291326], [7.559115562987914, 47.58698830577063]]], ""type"": ""Polygon""}";23;12;Einbahn
47.560442105639474, 7.5964810369719755;"{""coordinates"": [[[7.596393313184141, 47.56039031612353], [7.596448692252369, 47.5604169614913], [7.596328995406527, 47.560531253882395], [7.596403482041731, 47.56056714594046], [7.596524456134216, 47.560453454322705], [7.596584385901322, 47.56048226994025], [7.596601789113727, 47.560328660529876], [7.596393313184141, 47.56039031612353]]], ""type"": ""Polygon""}";31;16;Einbahn
47.559789582600835, 7.5955178242655315;"{""coordinates"": [[[7.595595339727343, 47.55984836158322], [7.595545303135896, 47.55981724772213], [7.595685108715198, 47.55971394632692], [7.595617820949736, 47.55967209025409], [7.595476843949486, 47.559774655660675], [7.595422694314553, 47.559740966082366], [7.595377138616898, 47.55989193308325], [7.595595339727343, 47.55984836158322]]], ""type"": ""Polygon""}";35;18;Einbahn
47.5578560507283, 7.587210695783291;"{""coordinates"": [[[7.587111765984483, 47.55781456496973], [7.587172726601635, 47.557834768167716], [7.587082025504952, 47.557960705986886], [7.587164170915234, 47.55798791530492], [7.587256281609733, 47.557862479274156], [7.587322295804127, 47.557884357777404], [7.587302656490492, 47.55773084186696], [7.587111765984483, 47.55781456496973]]], ""type"": ""Polygon""}";43;22;Einbahn
47.5509356058876, 7.6202948678441125;"{""coordinates"": [[[7.62020938332821, 47.55088212704609], [7.620263599095656, 47.55090985117923], [7.62013917117895, 47.55102180170265], [7.620212137739067, 47.55105911994567], [7.620337803071994, 47.55094776100204], [7.6203964903597, 47.55097776250825], [7.620420292378065, 47.55082451663784], [7.62020938332821, 47.55088212704609]]], ""type"": ""Polygon""}";47;24;Einbahn
47.55154202800797, 7.617750317163694;"{""coordinates"": [[[7.617702815314558, 47.551470127071546], [7.617736519742937, 47.55151002549914], [7.617557090739441, 47.55157976017037], [7.617602452377112, 47.55163348211241], [7.617782694887842, 47.55156464549638], [7.617819187111812, 47.55160786729923], [7.617930194293516, 47.55147334765117], [7.617702815314558, 47.551470127071546]]], ""type"": ""Polygon""}";49;25;Einbahn
47.541322526907, 7.616917655222759;"{""coordinates"": [[[7.617028313480026, 47.54129824201979], [7.616966161349158, 47.54131668458397], [7.616882838806343, 47.54118840786044], [7.616799164333077, 47.54121321491853], [7.616880987183873, 47.54134189871784], [7.61681364674124, 47.54136187808843], [7.616999297472581, 47.54145093807792], [7.617028313480026, 47.54129824201979]]], ""type"": ""Polygon""}";55;28;Einbahn
47.54619567392806, 7.601841708503625;"{""coordinates"": [[[7.601904910669954, 47.54626180187461], [7.601862586108356, 47.54622586812632], [7.602024136788446, 47.54613833908403], [7.601967135945414, 47.54608997858027], [7.601804586511776, 47.546176672523075], [7.601758746191209, 47.54613776672295], [7.601679486862777, 47.54628219174149], [7.601904910669954, 47.54626180187461]]], ""type"": ""Polygon""}";63;32;Einbahn
47.54759517981151, 7.597981489857819;"{""coordinates"": [[[7.597865180732922, 47.5475929135747], [7.59793293156911, 47.547589700113704], [7.597947814475186, 47.5477294428706], [7.598038994573939, 47.54772505509678], [7.598025652203622, 47.54758526527443], [7.598098968002543, 47.54758174730776], [7.597968211742199, 47.547455644759275], [7.597865180732922, 47.5475929135747]]], ""type"": ""Polygon""}";67;35;Einbahn
47.55069951107138, 7.59425437340551;"{""coordinates"": [[[7.594343947445551, 47.550649228634256], [7.594296231736229, 47.55068191273737], [7.59414883263378, 47.5505836009651], [7.59408459720582, 47.550627567209766], [7.594230856151653, 47.550726672035196], [7.594179149607813, 47.5507620865257], [7.594400297126038, 47.550798422659774], [7.594343947445551, 47.550649228634256]]], ""type"": ""Polygon""}";77;40;Einbahn
47.55179589936989, 7.589974353161293;"{""coordinates"": [[[7.589910353072929, 47.55186170631379], [7.589941895395642, 47.551820968648315], [7.590125303702668, 47.55188592607488], [7.590167779261722, 47.5518311348919], [7.589985099102702, 47.55176524123583], [7.590019288826448, 47.55172117242199], [7.589792077979931, 47.5517301373168], [7.589910353072929, 47.55186170631379]]], ""type"": ""Polygon""}";85;44;Einbahn
47.554799632427624, 7.5923670655563535;"{""coordinates"": [[[7.592423307439658, 47.554730677763104], [7.592396512539172, 47.554772911753204], [7.592206198239779, 47.55471787817762], [7.592170185199339, 47.55477473909153], [7.592359878068039, 47.55483075386284], [7.592330901075681, 47.55487650726708], [7.592556349954855, 47.554855533101616], [7.592423307439658, 47.554730677763104]]], ""type"": ""Polygon""}";91;47;Einbahn
47.545011961840466, 7.585368927081156;"{""coordinates"": [[[7.585417496584726, 47.5450835750515], [7.585383196746275, 47.54504385678399], [7.585561579704807, 47.54497287804837], [7.585515407039548, 47.54491949525948], [7.585336211487896, 47.54498958456498], [7.585299086780204, 47.54494659609439], [7.585190111336908, 47.54508182860572], [7.585417496584726, 47.5450835750515]]], ""type"": ""Polygon""}";101;52;Einbahn
47.542812959222985, 7.5910219247311845;"{""coordinates"": [[[7.591069937904854, 47.54288472421855], [7.591035927165477, 47.54284489928744], [7.591214881635222, 47.542774621528736], [7.591169156236531, 47.54272104249914], [7.590989389115061, 47.54279043086712], [7.590952619738243, 47.54274735376933], [7.590842519762198, 47.54288218848032], [7.591069937904854, 47.54288472421855]]], ""type"": ""Polygon""}";103;53;Einbahn
47.54123841785644, 7.5956813648466115;"{""coordinates"": [[[7.595715081721645, 47.54131380667239], [7.595689083207712, 47.54127135508698], [7.595880041838885, 47.54121751250554], [7.595845061030534, 47.541160341257765], [7.595653475428793, 47.54121320430533], [7.595625301696422, 47.541167239066155], [7.595490147890427, 47.54129115762353], [7.595715081721645, 47.54131380667239]]], ""type"": ""Polygon""}";105;54;Einbahn
47.537992258358784, 7.599926797139046;"{""coordinates"": [[[7.599891448616042, 47.53791719768019], [7.599918377777256, 47.53795939525952], [7.599728596266829, 47.538015176623176], [7.599764826570266, 47.53807199427734], [7.599955222146756, 47.53801719232888], [7.599984393158066, 47.53806285839151], [7.600116854665626, 47.53793759807813], [7.599891448616042, 47.53791719768019]]], ""type"": ""Polygon""}";109;56;Einbahn
47.542523975317984, 7.585345978048109;"{""coordinates"": [[[7.585306565507692, 47.54244983381939], [7.585335781332738, 47.54249133931187], [7.585149102620465, 47.542551814474315], [7.585188425894873, 47.54260767935331], [7.585375731775055, 47.542548201648614], [7.585407374501932, 47.54259312170175], [7.585532952566529, 47.54246461326784], [7.585306565507692, 47.54244983381939]]], ""type"": ""Polygon""}";121;62;Einbahn
47.542523975317984, 7.585345978048109;"{""coordinates"": [[[7.585306565507692, 47.54244983381939], [7.585335781332738, 47.54249133931187], [7.585149102620465, 47.542551814474315], [7.585188425894873, 47.54260767935331], [7.585375731775055, 47.542548201648614], [7.585407374501932, 47.54259312170175], [7.585532952566529, 47.54246461326784], [7.585306565507692, 47.54244983381939]]], ""type"": ""Polygon""}";125;64;Einbahn
47.538524992600664, 7.590257797769311;"{""coordinates"": [[[7.590372634764571, 47.53853758876394], [7.590304877865562, 47.53853475400547], [7.590317217731876, 47.53839489345878], [7.590226029925407, 47.53839113581426], [7.590212109073982, 47.538530908469944], [7.590138746713278, 47.538527829080515], [7.590243858969719, 47.53866447893724], [7.590372634764571, 47.53853758876394]]], ""type"": ""Polygon""}";129;66;Einbahn
47.53875563282969, 7.5856186889376565;"{""coordinates"": [[[7.585504616844148, 47.53877114440137], [7.585569553145234, 47.538757688776705], [7.585630418796184, 47.5388915565393], [7.585717788260565, 47.53887344972475], [7.58565842225307, 47.53873922935715], [7.585728694587528, 47.53872466067448], [7.585559483741338, 47.53862170635981], [7.585504616844148, 47.53877114440137]]], ""type"": ""Polygon""}";131;67;Einbahn
47.538437607989515, 7.605306556788614;"{""coordinates"": [[[7.605343859260395, 47.53851222121893], [7.605315837497419, 47.5384703682316], [7.605504133558065, 47.538412349379406], [7.605466450614236, 47.53835598529028], [7.605277474301507, 47.53841302473231], [7.605247144130604, 47.53836770342518], [7.605117939088076, 47.53849449389427], [7.605343859260395, 47.53851222121893]]], ""type"": ""Polygon""}";141;72;Einbahn
47.559163235996984, 7.598646876543272;"{""coordinates"": [[[7.598409053557945, 47.55907268688879], [7.598647487663309, 47.559344968585194], [7.598884088408566, 47.55907205251696], [7.598409053557945, 47.55907268688879]]], ""type"": ""Polygon""}";143;73;Gefahr
47.52795083512843, 7.647842631253697;"{""coordinates"": [[[7.647604868680612, 47.52786039503902], [7.647843414811498, 47.52813256942453], [7.648079610268982, 47.52785954092175], [7.647604868680612, 47.52786039503902]]], ""type"": ""Polygon""}";149;76;Gefahr
47.5691853265234, 7.569589517814253;"{""coordinates"": [[[7.569351708385839, 47.569094724069245], [7.569590038375492, 47.56936705558753], [7.569826806681432, 47.56909419991344], [7.569351708385839, 47.569094724069245]]], ""type"": ""Polygon""}";159;81;Gefahr
47.55115772141933, 7.574985639258052;"{""coordinates"": [[[7.574747896979612, 47.551067135456016], [7.574986173682198, 47.551339448644775], [7.575222847112346, 47.551066580157226], [7.574747896979612, 47.551067135456016]]], ""type"": ""Polygon""}";161;82;Gefahr
47.53704730833626, 7.608558203547275;"{""coordinates"": [[[7.608320462758612, 47.53695678786063], [7.608558848339118, 47.537229042302], [7.608795299544096, 47.53695609484616], [7.608320462758612, 47.53695678786063]]], ""type"": ""Polygon""}";167;85;Gefahr
47.5750343014338, 7.600432797721889;"{""coordinates"": [[[7.600194909437595, 47.574943768492645], [7.600433410694935, 47.57521602697896], [7.600670073033134, 47.57494310882981], [7.600194909437595, 47.574943768492645]]], ""type"": ""Polygon""}";169;86;Gefahr
47.54440166551769, 7.59918462084282;"{""coordinates"": [[[7.598946880803847, 47.54431112300719], [7.599185238051891, 47.54458339605746], [7.599421743672722, 47.544310477488416], [7.598946880803847, 47.54431112300719]]], ""type"": ""Polygon""}";171;84;Gefahr
47.558596130327004, 7.5872138818066714;"{""coordinates"": [[[7.587227745772918, 47.55851792464586], [7.587226385443726, 47.55856384835337], [7.587019467690444, 47.558561269907955], [7.587017633355644, 47.55862315808152], [7.587224501231665, 47.55862682483506], [7.58722303192684, 47.55867656201998], [7.587420362106761, 47.55859979168937], [7.587227745772918, 47.55851792464586]]], ""type"": ""Polygon""}";173;4;Einbahn
