geo_point_2d;geo_shape;objid;recnum;art
47.555076193389276, 7.578108403563534;"{""coordinates"": [[[7.578147302389923, 47.55515045958642], [7.578118377242594, 47.55510885318713], [7.578305481704935, 47.555048991763805], [7.578266554624599, 47.554992971424824], [7.578078757001957, 47.55505188927309], [7.578047444930744, 47.55500686808887], [7.577920981017447, 47.55513496411212], [7.578147302389923, 47.55515045958642]]], ""type"": ""Polygon""}";99;51;Einbahn
47.53952200175976, 7.5947171345439;"{""coordinates"": [[[7.594681149045226, 47.53944706065814], [7.594708433183349, 47.539489169008505], [7.594519134331186, 47.539545687625704], [7.594555824516871, 47.539602353363236], [7.594745790507663, 47.53954682311031], [7.594775316194979, 47.53959239104885], [7.594906716520863, 47.539466634556156], [7.594681149045226, 47.53944706065814]]], ""type"": ""Polygon""}";111;57;Einbahn
47.54111359734119, 7.589568125171048;"{""coordinates"": [[[7.589526831455725, 47.54103995867015], [7.58955707155848, 47.54108112003113], [7.589372042451862, 47.541143776404056], [7.589412775633895, 47.54119914339848], [7.589598511504374, 47.541137430393476], [7.58963129813078, 47.541181961103426], [7.589753498326491, 47.541052058351106], [7.589526831455725, 47.54103995867015]]], ""type"": ""Polygon""}";113;58;Einbahn
47.54111359734119, 7.589568125171048;"{""coordinates"": [[[7.589526831455725, 47.54103995867015], [7.58955707155848, 47.54108112003113], [7.589372042451862, 47.541143776404056], [7.589412775633895, 47.54119914339848], [7.589598511504374, 47.541137430393476], [7.58963129813078, 47.541181961103426], [7.589753498326491, 47.541052058351106], [7.589526831455725, 47.54103995867015]]], ""type"": ""Polygon""}";115;59;Einbahn
47.54111359734119, 7.589568125171048;"{""coordinates"": [[[7.589526831455725, 47.54103995867015], [7.58955707155848, 47.54108112003113], [7.589372042451862, 47.541143776404056], [7.589412775633895, 47.54119914339848], [7.589598511504374, 47.541137430393476], [7.58963129813078, 47.541181961103426], [7.589753498326491, 47.541052058351106], [7.589526831455725, 47.54103995867015]]], ""type"": ""Polygon""}";117;60;Einbahn
47.54111359734119, 7.589568125171048;"{""coordinates"": [[[7.589526831455725, 47.54103995867015], [7.58955707155848, 47.54108112003113], [7.589372042451862, 47.541143776404056], [7.589412775633895, 47.54119914339848], [7.589598511504374, 47.541137430393476], [7.58963129813078, 47.541181961103426], [7.589753498326491, 47.541052058351106], [7.589526831455725, 47.54103995867015]]], ""type"": ""Polygon""}";119;61;Einbahn
47.542523975317984, 7.585345978048109;"{""coordinates"": [[[7.585306565507692, 47.54244983381939], [7.585335781332738, 47.54249133931187], [7.585149102620465, 47.542551814474315], [7.585188425894873, 47.54260767935331], [7.585375731775055, 47.542548201648614], [7.585407374501932, 47.54259312170175], [7.585532952566529, 47.54246461326784], [7.585306565507692, 47.54244983381939]]], ""type"": ""Polygon""}";123;63;Einbahn
47.542523975317984, 7.585345978048109;"{""coordinates"": [[[7.585306565507692, 47.54244983381939], [7.585335781332738, 47.54249133931187], [7.585149102620465, 47.542551814474315], [7.585188425894873, 47.54260767935331], [7.585375731775055, 47.542548201648614], [7.585407374501932, 47.54259312170175], [7.585532952566529, 47.54246461326784], [7.585306565507692, 47.54244983381939]]], ""type"": ""Polygon""}";127;65;Einbahn
47.536454304641154, 7.586664119234462;"{""coordinates"": [[[7.58655046659206, 47.536437433852775], [7.586617908895605, 47.5364428074576], [7.586594175923808, 47.53658194467023], [7.586684944968773, 47.53658916831774], [7.586710218566105, 47.53645012806059], [7.586783213396801, 47.53645588124631], [7.58668940630865, 47.536315553318154], [7.58655046659206, 47.536437433852775]]], ""type"": ""Polygon""}";133;68;Einbahn
47.537992498051594, 7.598788766907636;"{""coordinates"": [[[7.598676976004834, 47.53801435999701], [7.598740037766856, 47.53799726605823], [7.598817087697503, 47.53812729134853], [7.598901926823179, 47.53810437536521], [7.598826349727475, 47.5379739433835], [7.598894600220655, 47.53795545717882], [7.598713389499884, 47.537862368761736], [7.598676976004834, 47.53801435999701]]], ""type"": ""Polygon""}";137;70;Einbahn
47.543305929112364, 7.599161061684348;"{""coordinates"": [[[7.598923308891724, 47.54321538954055], [7.599161687664101, 47.543487662708664], [7.599398188497219, 47.54321473508787], [7.598923308891724, 47.54321538954055]]], ""type"": ""Polygon""}";147;75;Gefahr
47.55279040767273, 7.543359492076479;"{""coordinates"": [[[7.543121792059631, 47.552699759842994], [7.543359927091563, 47.55297213791363], [7.543596757078243, 47.5526993252616], [7.543121792059631, 47.552699759842994]]], ""type"": ""Polygon""}";155;79;Gefahr
47.551707350032736, 7.595338666233292;"{""coordinates"": [[[7.595100891192354, 47.55161680586915], [7.595339274778619, 47.551889077116165], [7.595575832728899, 47.55161616711291], [7.595100891192354, 47.55161680586915]]], ""type"": ""Polygon""}";165;84;Gefahr
