id_platz;typ;strasse;tarif;anzvelos;anschliess;gedeckt;zugang;infos;cargovelo;bikeride;velospot;geo_point_2d;geo_shape
747;Velos/Motorräder;Landauerstrasse;Gebührenfrei;7;teilweise anschliessbar;nein;;;;nein;;47.562814262651216, 7.627061100466682;"{""coordinates"": [7.627061100466682, 47.562814262651216], ""type"": ""Point""}"
750;Velos/Motorräder;Wollbacherstrasse;Gebührenfrei;4;teilweise anschliessbar;nein;;;;nein;;47.56641267537809, 7.618415257464047;"{""coordinates"": [7.618415257464047, 47.56641267537809], ""type"": ""Point""}"
751;Velos/Motorräder;Paracelsusstrasse;Gebührenfrei;4;anschliessbar;nein;;;;nein;;47.56415705333336, 7.614836677400254;"{""coordinates"": [7.614836677400254, 47.56415705333336], ""type"": ""Point""}"
752;Velos/Motorräder;Hirzbrunnenallee;Gebührenfrei;20;anschliessbar;nein;;;;nein;;47.56677581574828, 7.613253861867012;"{""coordinates"": [7.613253861867012, 47.56677581574828], ""type"": ""Point""}"
753;Velos/Motorräder;Alemannengasse;Gebührenfrei;10;teilweise anschliessbar;nein;;;;nein;;47.55803045887632, 7.5989318620432185;"{""coordinates"": [7.598931862043218, 47.55803045887632], ""type"": ""Point""}"
756;Velos/Motorräder;Römergasse;Gebührenfrei;7;anschliessbar;nein;;;;nein;;47.55879863261266, 7.599993027467757;"{""coordinates"": [7.599993027467757, 47.55879863261266], ""type"": ""Point""}"
757;Velos/Motorräder;Burgweg;Gebührenfrei;7;teilweise anschliessbar;nein;;;;nein;;47.557878427614476, 7.600823830394759;"{""coordinates"": [7.600823830394759, 47.557878427614476], ""type"": ""Point""}"
761;Velos/Motorräder;Maulbeerstrasse;Gebührenfrei;10;anschliessbar;nein;;;;nein;;47.56685266912081, 7.599959569434349;"{""coordinates"": [7.599959569434349, 47.56685266912081], ""type"": ""Point""}"
762;Velos/Motorräder;Klingentalstrasse;Gebührenfrei;6;anschliessbar;nein;;;;nein;;47.56483412920877, 7.597624415877977;"{""coordinates"": [7.597624415877977, 47.56483412920877], ""type"": ""Point""}"
765;Velos/Motorräder;Claragraben;Gebührenfrei;4;teilweise anschliessbar;nein;;;;nein;;47.56474993380649, 7.592584048838961;"{""coordinates"": [7.592584048838961, 47.56474993380649], ""type"": ""Point""}"
767;Velos/Motorräder;Haltingerstrasse;Gebührenfrei;12;nicht anschliessbar;nein;;;;nein;;47.56601535074947, 7.594739256185318;"{""coordinates"": [7.594739256185318, 47.56601535074947], ""type"": ""Point""}"
769;Velos/Motorräder;Bläsiring;Gebührenfrei;5;teilweise anschliessbar;nein;;;;nein;;47.5688431126894, 7.59612416636266;"{""coordinates"": [7.59612416636266, 47.5688431126894], ""type"": ""Point""}"
771;Velos/Motorräder;Müllheimerstrasse;Gebührenfrei;7;teilweise anschliessbar;nein;;;;nein;;47.565293337448175, 7.593605961979444;"{""coordinates"": [7.593605961979444, 47.565293337448175], ""type"": ""Point""}"
775;Velos/Motorräder;Hammerstrasse;Gebührenfrei;4;teilweise anschliessbar;nein;;;;nein;;47.56848111321662, 7.594863502302869;"{""coordinates"": [7.594863502302869, 47.56848111321662], ""type"": ""Point""}"
777;Velos/Motorräder;Müllheimerstrasse;Gebührenfrei;10;anschliessbar;nein;;;;nein;;47.56729361051277, 7.592409753516339;"{""coordinates"": [7.592409753516339, 47.56729361051277], ""type"": ""Point""}"
780;Velos/Motorräder;Erasmusplatz;Gebührenfrei;4;teilweise anschliessbar;nein;;;;nein;;47.56612955684295, 7.589191288116122;"{""coordinates"": [7.589191288116122, 47.56612955684295], ""type"": ""Point""}"
