geo_point_2d;geo_shape;objid;id;es_id;es_name
47.56267276430173, 7.6084446795544265;"{""coordinates"": [[[7.608799792189846, 47.56232637348389], [7.60823708790288, 47.563038930098], [7.608085526764306, 47.56298792245154], [7.607773000466646, 47.56337309190853], [7.607820832850324, 47.56338879742678], [7.608104600954168, 47.563031802034516], [7.608258846326033, 47.56308280574676], [7.60889692057094, 47.56227134287591], [7.608677701446801, 47.56219114232], [7.608849471469836, 47.56196317041981], [7.608799019804033, 47.561946632730034], [7.608607428872925, 47.562196740046694], [7.608796925844644, 47.56226504049743], [7.60875373619235, 47.56230082664037], [7.608799792189846, 47.56232637348389]]], ""type"": ""Polygon""}";56;76;1;Hundeverbot
47.56665746550452, 7.5811490779033734;"{""coordinates"": [[[7.581237695920551, 47.56672703317908], [7.581235697158859, 47.56667022242054], [7.581229879893966, 47.566616627080826], [7.581222984798706, 47.56656745795828], [7.581210797224118, 47.56650695424859], [7.581171141433274, 47.56655066713971], [7.581087166433221, 47.56663848530447], [7.580992526105441, 47.56673839496351], [7.581116539132077, 47.5667350507533], [7.581237695920551, 47.56672703317908]]], ""type"": ""Polygon""}";62;80;1;Hundeverbot
47.56679987064543, 7.581115620301267;"{""coordinates"": [[[7.581213381486249, 47.5668379102567], [7.581237919994382, 47.56681097110464], [7.581236941261919, 47.5667380333968], [7.581119409353759, 47.566744976291176], [7.580996448660132, 47.56674928154563], [7.580951680278054, 47.56679943109347], [7.581166037730404, 47.5668889893855], [7.581213381486249, 47.5668379102567]]], ""type"": ""Polygon""}";66;82;1;Hundeverbot
47.56613255413461, 7.58193737499019;"{""coordinates"": [[[7.581669442877005, 47.56640533939123], [7.581669442852925, 47.56640533039756], [7.581685389159557, 47.56640042725817], [7.581694877415953, 47.566395577007654], [7.581705488850337, 47.566388360034985], [7.581726243291638, 47.566372685530766], [7.581752745875198, 47.56634990793822], [7.581828208087806, 47.56627448406003], [7.581906574351351, 47.566196862099325], [7.581959395485466, 47.566147232901294], [7.582186608248006, 47.56594741015219], [7.582194996091014, 47.56592871091238], [7.582198710516981, 47.56591647490388], [7.582192588538679, 47.5659031088046], [7.58218734202404, 47.56589410357315], [7.582176244147376, 47.565883423721665], [7.58213702699558, 47.56591187410147], [7.582048717770334, 47.56597809544708], [7.58196965584772, 47.56604882918994], [7.58194336472772, 47.5660760404702], [7.581951601162445, 47.566065255892916], [7.581901344006931, 47.56611955866405], [7.581850921670097, 47.566171766082455], [7.581783818585963, 47.56624243104332], [7.581655222093944, 47.566384689307654], [7.58163400491885, 47.56641118378874], [7.58165418631286, 47.56640977401007], [7.581669442877005, 47.56640533939123]]], ""type"": ""Polygon""}";68;83;1;Hundeverbot
47.566473080526656, 7.582768109549726;"{""coordinates"": [[[7.582978486636507, 47.56647338262509], [7.583013329363583, 47.56643418091572], [7.582986710172311, 47.56642837695872], [7.582985083729962, 47.566441186002585], [7.582951936687006, 47.56646370228927], [7.58287235624401, 47.5664751058331], [7.582762102814342, 47.56645086922505], [7.582676123254458, 47.56642505561425], [7.582586310063355, 47.5663869163076], [7.582531021485955, 47.56635412156079], [7.582486224912696, 47.56631419083341], [7.582481518699346, 47.56630353910257], [7.582491285719042, 47.56629367895095], [7.582424758284806, 47.566306424133806], [7.582441450179933, 47.56631689920015], [7.58247079361211, 47.56635239712438], [7.582569475306129, 47.566412209388375], [7.582655972484101, 47.56645260122855], [7.582731157522659, 47.56647188977273], [7.582796105143949, 47.56648427476849], [7.582823997619996, 47.56649410637286], [7.582842270751619, 47.566509418036794], [7.582873505391674, 47.56650205853353], [7.582886756252352, 47.566493048441494], [7.582897805285128, 47.56648554301997], [7.582935645885044, 47.566488617014144], [7.582956120869575, 47.56650242398739], [7.582977394629414, 47.566516769590294], [7.58298846533683, 47.5665369557384], [7.582992044703151, 47.56656330285073], [7.582976212973515, 47.566708930459846], [7.582981834119235, 47.566743387361115], [7.58299410877903, 47.56677634307088], [7.583010687890957, 47.56676957727035], [7.582998424493434, 47.56673587507118], [7.582997232463221, 47.566702914635485], [7.583012416117543, 47.56654860890424], [7.583003533932382, 47.566526918100976], [7.582982541193433, 47.566498550975254], [7.582978935762579, 47.56648714243172], [7.582978378669127, 47.566487520856754], [7.582978486636507, 47.56647338262509]]], ""type"": ""Polygon""}";74;86;2;Leinenpflicht
47.566657370981076, 7.5824573750849185;"{""coordinates"": [[[7.582597748366943, 47.56661751866486], [7.582388920877504, 47.56654399196333], [7.58219399808192, 47.566467147079194], [7.582261977067939, 47.566406041111655], [7.582286030200979, 47.56638665703927], [7.582202766826038, 47.566352817349404], [7.582195337056019, 47.56636708151276], [7.582242616520815, 47.56639148616586], [7.582183982972197, 47.56645889419682], [7.582088407063179, 47.56641736197959], [7.582038221347355, 47.56647359836073], [7.582049598070877, 47.56647921442674], [7.58196506735149, 47.566572295230394], [7.582731785390044, 47.56688689430474], [7.582788236535235, 47.566828275549284], [7.582887023101192, 47.5668575717812], [7.582884580268106, 47.56686333077091], [7.582967813184413, 47.566880522665485], [7.583000878580799, 47.566822787150365], [7.582853995015846, 47.566796293587636], [7.582830787100397, 47.56676942213094], [7.582826356824561, 47.566772422511214], [7.582813360360723, 47.56676740210875], [7.582807579208451, 47.56674255066935], [7.582838476446388, 47.56669383855982], [7.582761900806084, 47.566661645845116], [7.582744776706942, 47.566673277875694], [7.582676538969006, 47.56664820680448], [7.582674591621125, 47.566635671991484], [7.582797811523968, 47.566594616374005], [7.582853613896039, 47.566556701881346], [7.582876269113386, 47.566541321613], [7.582832353466377, 47.566542365233126], [7.582788955521724, 47.56655797799185], [7.582718498641074, 47.566591989307696], [7.582642764986712, 47.56661571830334], [7.582597748366943, 47.56661751866486]]], ""type"": ""Polygon""}";76;88;1;Hundeverbot
47.5623440285226, 7.602659284503029;"{""coordinates"": [[[7.602908990157027, 47.56321577294802], [7.603486183286775, 47.563457832976425], [7.603581376521883, 47.563414825201285], [7.603498245460969, 47.56337510070625], [7.60359319275248, 47.56262486333651], [7.603509669215654, 47.56264695322077], [7.603523963839681, 47.56253423270696], [7.603676060281121, 47.56161715256231], [7.603679575598734, 47.56158949188866], [7.603691516717723, 47.56154518988614], [7.603090890693641, 47.561518473526476], [7.603087372607725, 47.56154533374515], [7.602830356534191, 47.56153209774744], [7.602563632028966, 47.56157654258181], [7.601962487262087, 47.56175367277977], [7.601314523293415, 47.56202980513204], [7.601447177988088, 47.56214533303158], [7.601264794778782, 47.5623152902295], [7.601169872298375, 47.562268268617046], [7.601087818699188, 47.56234563010085], [7.601741199168101, 47.56267942747644], [7.602908990157027, 47.56321577294802]]], ""type"": ""Polygon""}";78;92;1;Hundeverbot
47.57394097293453, 7.613494482532971;"{""coordinates"": [[[7.612364157464142, 47.57373135931524], [7.61247003588092, 47.573982565836474], [7.614706857895607, 47.57413163137312], [7.614608631816461, 47.57393119367414], [7.612364157464142, 47.57373135931524]]], ""type"": ""Polygon""}";80;97;1;Hundeverbot
47.52939083363924, 7.597851842107985;"{""coordinates"": [[[7.597591922782432, 47.52979642205092], [7.598537450861302, 47.52957973454499], [7.598523700975781, 47.52954671911366], [7.598554773972029, 47.52949778602529], [7.598542903543486, 47.52944495462207], [7.598529027135823, 47.529369659400516], [7.598487640456014, 47.52923362168169], [7.598434523486866, 47.52908702330216], [7.598409018218026, 47.52903949895612], [7.59799733734765, 47.529025520046076], [7.597915417413844, 47.529029598398346], [7.597336305334464, 47.52913345825813], [7.597227254475448, 47.52919967544481], [7.597182525581928, 47.52924730468069], [7.597155422168965, 47.529318689576684], [7.597157538893728, 47.529374187577545], [7.597181171124264, 47.529444181311774], [7.59724193472216, 47.52954187941147], [7.597285097842054, 47.529619779070586], [7.597330279848247, 47.52972013353396], [7.597353750020659, 47.52973992393254], [7.597482686216207, 47.529800537376644], [7.597523673838379, 47.52980312564579], [7.597591922782432, 47.52979642205092]]], ""type"": ""Polygon""}";84;101;1;Hundeverbot
47.55948744703797, 7.567165852072342;"{""coordinates"": [[[7.566968406926009, 47.55940631916625], [7.5672157273035, 47.559931900722475], [7.567236081438559, 47.55993688779419], [7.567441302785088, 47.55989534429841], [7.56745420188191, 47.55987780130014], [7.567273466076405, 47.55934964660231], [7.567139581306435, 47.5590643333998], [7.567111814853566, 47.559054344968075], [7.566895511219056, 47.55909965945316], [7.566873364658117, 47.55911721255701], [7.566878954500425, 47.559132234922906], [7.566968406926009, 47.55940631916625]]], ""type"": ""Polygon""}";90;104;1;Hundeverbot
