geo_point_2d;geo_shape;objid;id;es_id;es_name
47.58398798204839, 7.651515841790219;"{""coordinates"": [[[7.650973255085189, 47.58393234536963], [7.651045688657041, 47.58403255549098], [7.651137681172611, 47.58407730192624], [7.651251432777921, 47.58426822747879], [7.651398171913399, 47.58422782064475], [7.651443680583765, 47.584306099215084], [7.651834531811979, 47.58419931274408], [7.651811792528119, 47.58416400031131], [7.652000853116711, 47.5841130105979], [7.651989492995571, 47.584097742197386], [7.652005009322651, 47.5840919757994], [7.651774745545597, 47.58373211158287], [7.651702265152698, 47.58362043507028], [7.650973255085189, 47.58393234536963]]], ""type"": ""Polygon""}";470;325;1;Hundeverbot
47.56673937923067, 7.581109866173898;"{""coordinates"": [[[7.580974548015082, 47.566738884580026], [7.580996448660132, 47.56674928154563], [7.581119409353759, 47.566744976291176], [7.581236941261919, 47.5667380333968], [7.581238787425755, 47.56672772435926], [7.581116539132077, 47.5667350507533], [7.580974561303579, 47.566738884563804], [7.580974548015082, 47.566738884580026]]], ""type"": ""Polygon""}";482;332;2;Leinenpflicht
47.56659866616651, 7.581201822770947;"{""coordinates"": [[[7.581213207876678, 47.56651894889793], [7.581222984774701, 47.56656744896461], [7.581227418433279, 47.56659555785083], [7.581230805068429, 47.5666247022924], [7.581232734980731, 47.56665074568826], [7.581235697158859, 47.56667022242054], [7.581236459596866, 47.56669200422964], [7.581237048864697, 47.56670865084776], [7.581238787425755, 47.56672772435926], [7.581280799064246, 47.566725208705755], [7.581276678910819, 47.56668015530856], [7.581273533089106, 47.56664167511366], [7.581270772659706, 47.566618132982846], [7.581267972670731, 47.566599681334516], [7.58126375247008, 47.56657189596202], [7.581258260756385, 47.56653572102155], [7.581254122845506, 47.566518844906184], [7.581246553660781, 47.56649094670974], [7.581236635937012, 47.5664544084379], [7.581232207158547, 47.56643808129271], [7.581201991597642, 47.566468858704184], [7.581204836684234, 47.56647932389362], [7.58120773550177, 47.56649000486607], [7.581081376167843, 47.566624857927735], [7.581024490443046, 47.56668558091002], [7.580974534702624, 47.56673887560255], [7.580993575824803, 47.566738366701045], [7.581026608299878, 47.56670240553675], [7.581072603289617, 47.56665383735106], [7.581115657247668, 47.566608681351866], [7.581171141409276, 47.566550658146056], [7.581210797200116, 47.56650694525491], [7.581213207876678, 47.56651894889793]]], ""type"": ""Polygon""}";484;333;2;Leinenpflicht
47.555605180916736, 7.60745054425668;"{""coordinates"": [[[7.606852223520056, 47.555484055596466], [7.606853506556608, 47.555494900196344], [7.607266904745857, 47.55557037147969], [7.607956033395461, 47.555711706657654], [7.607985373278537, 47.55570486473214], [7.606852223520056, 47.555484055596466]]], ""type"": ""Polygon""}";504;391;2;Leinenpflicht
47.55030194622078, 7.567371888404649;"{""coordinates"": [[[7.567293868136529, 47.55039123398535], [7.567322027871069, 47.550406429346864], [7.567450848267913, 47.550208361723975], [7.567411463318481, 47.5501931787836], [7.567417119271543, 47.55020839896019], [7.567293868136529, 47.55039123398535]]], ""type"": ""Polygon""}";506;396;2;Leinenpflicht
47.549907855634764, 7.567626132199856;"{""coordinates"": [[[7.567652351116025, 47.549836067578106], [7.567561935114927, 47.54997807094311], [7.567588805315933, 47.549987421728524], [7.567691730790566, 47.54984364173011], [7.567652351116025, 47.549836067578106]]], ""type"": ""Polygon""}";510;399;2;Leinenpflicht
47.56961615091284, 7.601920127311307;"{""coordinates"": [[[7.601871563036616, 47.56993545667298], [7.601917091293396, 47.569930770127485], [7.602012639959755, 47.56989981481242], [7.601938299288816, 47.569044177885274], [7.601920426986614, 47.56907944023508], [7.601814707114454, 47.569960197013906], [7.601871563036616, 47.56993545667298]]], ""type"": ""Polygon""}";516;407;1;Hundeverbot
47.56956681991296, 7.602454168416704;"{""coordinates"": [[[7.60213913162852, 47.56978391552933], [7.602143713946477, 47.56976575083019], [7.602132605916535, 47.56980972759524], [7.602076803119627, 47.57003072697979], [7.602983895676121, 47.56953011220489], [7.602301797046341, 47.569139621645704], [7.60213913162852, 47.56978391552933]]], ""type"": ""Polygon""}";520;412;1;Hundeverbot
47.570630310267674, 7.601934088180725;"{""coordinates"": [[[7.602010579364962, 47.57026423316959], [7.601824121727473, 47.57099212906637], [7.601857109677552, 47.57099315311442], [7.602039492021883, 47.57029293647201], [7.602010579364962, 47.57026423316959]]], ""type"": ""Polygon""}";522;414;2;Leinenpflicht
47.56553657730783, 7.582243481468395;"{""coordinates"": [[[7.581830146212101, 47.565535127372016], [7.581840118386247, 47.56553736355233], [7.581829483007748, 47.5655355778716], [7.58230594059414, 47.565810199160325], [7.582311246223699, 47.56580659514224], [7.582340490080965, 47.56581015658881], [7.582364312159335, 47.56577415241691], [7.582385466875036, 47.565734554046465], [7.582584310668977, 47.56555623342265], [7.582626789271922, 47.56553999230992], [7.582658642144821, 47.56552556304658], [7.582661875682062, 47.5654927320328], [7.582145733554798, 47.56528471443915], [7.581830146212101, 47.565535127372016]]], ""type"": ""Polygon""}";528;425;5;nicht eingezäuntes Freilauf-Hundeareal
47.550517513856136, 7.584987778456967;"{""coordinates"": [[[7.58601011789742, 47.55100018242138], [7.586036577822789, 47.55096057645525], [7.585999281862465, 47.55092464860644], [7.585898200388677, 47.55088160634865], [7.585605594442216, 47.550756063130756], [7.585259773043076, 47.55060180611303], [7.585201400391766, 47.55063065953457], [7.584797090149717, 47.550462084655216], [7.584547028641362, 47.550347277898965], [7.58441932178497, 47.55028268266112], [7.584339458556602, 47.550225222491214], [7.584094575769738, 47.55006004325379], [7.58381242032574, 47.549866129901545], [7.583663304474495, 47.54974400044985], [7.583578343883138, 47.549765691134176], [7.583849831391764, 47.54994522834464], [7.584078683550303, 47.55007805059249], [7.584243762130856, 47.55020735456159], [7.584398135486254, 47.550307891666115], [7.584515234504046, 47.55037969520556], [7.584802541708273, 47.550512442836585], [7.585137713888938, 47.55065951960518], [7.58544624971242, 47.55078144644388], [7.585786719372519, 47.55092131965039], [7.58600483384661, 47.551010981604335], [7.585967478345078, 47.55095346881686], [7.58601011789742, 47.55100018242138]]], ""type"": ""Polygon""}";540;433;2;Leinenpflicht
47.55053736827006, 7.584584758773435;"{""coordinates"": [[[7.583408451734762, 47.54981986478491], [7.583626723625129, 47.54997068857847], [7.583978055411336, 47.55020049115947], [7.583813739954619, 47.55035179097931], [7.583824484779625, 47.55039494761253], [7.585303221532592, 47.550943514037435], [7.585648956187617, 47.551065393513966], [7.585707487531362, 47.55109409968055], [7.585808450329615, 47.5510939722455], [7.585920100298417, 47.55111541622183], [7.585941276277131, 47.55108660945763], [7.585739053536268, 47.550978939827885], [7.585430476352954, 47.55084262382442], [7.58521768720874, 47.55075655158958], [7.584983564762206, 47.55064172574007], [7.58482398383059, 47.5505807684691], [7.584547323386526, 47.55045520256983], [7.584270595608905, 47.55030445357981], [7.583983065770019, 47.5500889623624], [7.58372757683015, 47.549930990571085], [7.583535961123274, 47.54981251135181], [7.583488079274333, 47.549790985848965], [7.583445647664265, 47.549819818583885], [7.583408451734762, 47.54981986478491]]], ""type"": ""Polygon""}";550;432;2;Leinenpflicht
47.572375697356726, 7.600245353079851;"{""coordinates"": [[[7.600436821094413, 47.5722509044751], [7.60038151533598, 47.572288269070285], [7.599985143228554, 47.57235429255565], [7.599989611341001, 47.57242551635875], [7.600414980225383, 47.57245514542512], [7.600434638731679, 47.57245162858354], [7.600436685239564, 47.57225431327075], [7.600416565725218, 47.57227670849991], [7.600436821094413, 47.5722509044751]]], ""type"": ""Polygon""}";554;449;1;Hundeverbot
47.57269150771193, 7.600337275618915;"{""coordinates"": [[[7.600058756999053, 47.57305317977428], [7.600428182839146, 47.57304007633302], [7.600413584180427, 47.572608399758096], [7.600961223568997, 47.57263821676809], [7.601054569877413, 47.572532482856616], [7.600414980225383, 47.57245514542512], [7.599989611341001, 47.57242551635875], [7.599990512058868, 47.572459691115995], [7.600058756999053, 47.57305317977428]]], ""type"": ""Polygon""}";556;450;1;Hundeverbot
47.57207398750858, 7.600159871701017;"{""coordinates"": [[[7.599985143228554, 47.57235429255565], [7.60038151533598, 47.572288269070285], [7.600436685239564, 47.57225431327075], [7.600436821094413, 47.5722509044751], [7.600320493620379, 47.57192164517285], [7.600267544590923, 47.57178046376882], [7.599931209204026, 47.57183426232588], [7.599985143228554, 47.57235429255565]]], ""type"": ""Polygon""}";562;451;2;Leinenpflicht
47.571779568084295, 7.600170857907422;"{""coordinates"": [[[7.599931209204026, 47.57183426232588], [7.600391509240422, 47.57175326573884], [7.60038459419641, 47.571725520816486], [7.599924771137786, 47.571814754934685], [7.599931209204026, 47.57183426232588]]], ""type"": ""Polygon""}";564;452;2;Leinenpflicht
47.574169697173595, 7.600005687622486;"{""coordinates"": [[[7.599729164704871, 47.57393474683718], [7.599673445066268, 47.57396783064862], [7.599705830360485, 47.57412967213579], [7.60049329505925, 47.574351624409275], [7.600487847977569, 47.57430846231365], [7.600099431279944, 47.574197479462924], [7.599790834236146, 47.57411156726663], [7.599753534407562, 47.57408283906211], [7.5997533823625, 47.5740324746643], [7.599755745291676, 47.57393471009335], [7.599729164704871, 47.57393474683718]]], ""type"": ""Polygon""}";566;454;2;Leinenpflicht
47.57212663546067, 7.601327835335146;"{""coordinates"": [[[7.601664602788857, 47.57154342268882], [7.601602461939337, 47.571644184956945], [7.60128909585735, 47.57215225346646], [7.60108062259116, 47.57249023917802], [7.600961223568997, 47.57263821676809], [7.601031280037001, 47.572644144933385], [7.601111988798507, 47.572525765476776], [7.601712235858804, 47.571535576499066], [7.601664602788857, 47.57154342268882]]], ""type"": ""Polygon""}";568;455;2;Leinenpflicht
47.56838348669738, 7.582460951547983;"{""coordinates"": [[[7.582405634926618, 47.56831537007991], [7.582408270076712, 47.56833164541896], [7.582408646478592, 47.568348058447995], [7.582408372355064, 47.56836964365343], [7.582407788400786, 47.568399548408294], [7.582406967595643, 47.56844020091977], [7.582409585779731, 47.56844029662256], [7.582481310447928, 47.568422085878275], [7.582551012859552, 47.56842275535016], [7.582552184479076, 47.568379179453494], [7.582453178485764, 47.56837795254098], [7.582453755149544, 47.56834534968616], [7.582453007161237, 47.56831432236125], [7.582448043900485, 47.56829710555622], [7.582405634926618, 47.56831537007991]]], ""type"": ""Polygon""}";572;457;2;Leinenpflicht
47.56848198481655, 7.58149680966889;"{""coordinates"": [[[7.58170215342667, 47.56850199998565], [7.581663782831258, 47.56851490803366], [7.581625288235573, 47.56853114388771], [7.58158348942998, 47.568554129049495], [7.581560266251387, 47.568566298999585], [7.58154433634887, 47.56857261410698], [7.581527053488164, 47.568569937175994], [7.581513077231366, 47.56856141029032], [7.581510396587681, 47.56855286956517], [7.58149972453487, 47.56853759335933], [7.581464401810491, 47.56849761468626], [7.581424442439422, 47.56846303789553], [7.581395149109069, 47.56844148889143], [7.581393815649887, 47.5684397817218], [7.581394476250265, 47.56843834192207], [7.58139593466667, 47.56843708101962], [7.581398060653878, 47.56843698848019], [7.581400986139768, 47.568437704394455], [7.581460506971864, 47.568457417643145], [7.581523669072691, 47.56847217986807], [7.581563553914507, 47.56847887626394], [7.581576250741685, 47.56848106415749], [7.581582821800851, 47.56845362533573], [7.581535558735141, 47.56844585874417], [7.581483700061674, 47.568434005631474], [7.581435488651087, 47.568419449921365], [7.581390596491095, 47.568403765916386], [7.581343805929643, 47.56842360930991], [7.581386401372745, 47.5684500885774], [7.58141469563052, 47.56847073943736], [7.581447663880765, 47.56849992857625], [7.581487321135903, 47.56854574784614], [7.581503999074593, 47.568570684916665], [7.581509012502456, 47.56858192089222], [7.581524965267324, 47.568584149770935], [7.581539262928739, 47.568588629098954], [7.581548244406458, 47.568592890097705], [7.58158372919885, 47.56856923816148], [7.581624199121286, 47.56854625462906], [7.581662357892402, 47.568528670133205], [7.581691563463719, 47.56851739219357], [7.581707627907786, 47.56851170645928], [7.58170215342667, 47.56850199998565]]], ""type"": ""Polygon""}";574;459;2;Leinenpflicht
47.56853302011546, 7.582094141043016;"{""coordinates"": [[[7.581579378171217, 47.56857213946407], [7.581795220119086, 47.56866709993466], [7.58240165428237, 47.56867309918003], [7.582409585779731, 47.56844029662256], [7.582406967595643, 47.56844020091977], [7.582407788400786, 47.568399548408294], [7.582408372355064, 47.56836964365343], [7.582408646478592, 47.568348058447995], [7.582408270076712, 47.56833164541896], [7.582405634926618, 47.56831537007991], [7.582397508853811, 47.56830800526792], [7.582386997560641, 47.568303161630205], [7.582374366581997, 47.56830074890191], [7.582364000765424, 47.56830058180413], [7.582351647665317, 47.56830266557837], [7.582344213388892, 47.56830546278537], [7.582338707694429, 47.568308887174055], [7.582198939209023, 47.568369901667], [7.582107511570663, 47.56840465789534], [7.582066447454659, 47.56841904435703], [7.582047236138698, 47.56842567834914], [7.582022089860895, 47.568434253279705], [7.581995442071419, 47.5684428840128], [7.581967931265361, 47.56845180359856], [7.581930349420966, 47.56846147303588], [7.581892765392026, 47.568470333031094], [7.581800058192261, 47.56848892891838], [7.581754235221869, 47.56849788891938], [7.581707627907786, 47.56851170645928], [7.581662357892402, 47.568528670133205], [7.581624199121286, 47.56854625462906], [7.581599850823554, 47.56856008080634], [7.581579378171217, 47.56857213946407]]], ""type"": ""Polygon""}";580;474;1;Hundeverbot
47.56842186163379, 7.58195252093571;"{""coordinates"": [[[7.582338707694429, 47.568308887174055], [7.582301110943982, 47.568288247998716], [7.582206421420701, 47.56833549157323], [7.582094915462371, 47.56838059727078], [7.581999319809718, 47.56841219276025], [7.581942223316114, 47.56842935095631], [7.581877816671169, 47.56844606841857], [7.581786820077016, 47.568458321639795], [7.581679853843814, 47.568462050368986], [7.581582821800851, 47.56845362533573], [7.581576250741685, 47.56848106415749], [7.581646698943284, 47.5684872733751], [7.581697867364229, 47.56848945904016], [7.581709832223972, 47.56849124310075], [7.581712234229752, 47.56849497253696], [7.581710253656748, 47.568499741624734], [7.581706005532611, 47.56850136570136], [7.58170215342667, 47.56850199998565], [7.581707627907786, 47.56851170645928], [7.581754235221869, 47.56849788891938], [7.581800058192261, 47.56848892891838], [7.581892765392026, 47.568470333031094], [7.581930349420966, 47.56846147303588], [7.581967931265361, 47.56845180359856], [7.582027546875501, 47.5684324838059], [7.582115969313058, 47.568401931393986], [7.582198939209023, 47.568369901667], [7.582248713360653, 47.56834780582932], [7.582338707694429, 47.568308887174055]]], ""type"": ""Polygon""}";602;458;2;Leinenpflicht
47.56831272312786, 7.582681857933047;"{""coordinates"": [[[7.582551012859552, 47.56842275535016], [7.58269114860285, 47.568424102258916], [7.58281148328133, 47.56842525763205], [7.582817733507702, 47.56839243191245], [7.582831279374415, 47.568364534709644], [7.58285507638726, 47.56833371087043], [7.582878059873468, 47.56831658542974], [7.582889201896513, 47.568308927006605], [7.582901250475695, 47.56830234670427], [7.582917732195243, 47.568293782302874], [7.58293658103161, 47.56828584452862], [7.582955806543854, 47.568279606093505], [7.582966190211385, 47.56827654437966], [7.582971102236945, 47.56827473956095], [7.582974735248595, 47.56827172217635], [7.58297772516817, 47.56826677194316], [7.582977186564761, 47.568264164438226], [7.582975714337383, 47.56826029897154], [7.58297211904941, 47.568257605313036], [7.582965334674533, 47.56825500553849], [7.58291599212981, 47.56823995719001], [7.582875302921438, 47.56823065408254], [7.582842728920868, 47.568224668592855], [7.582804840837277, 47.56821922928562], [7.582767223635186, 47.56821567830722], [7.582737850387534, 47.56821391586878], [7.582700241441182, 47.56821342271484], [7.582650147508842, 47.56821537326552], [7.582623044767254, 47.56821783503077], [7.582586779006353, 47.56822264646174], [7.582549987742059, 47.56822970695368], [7.582508818892227, 47.56823965081719], [7.582470844685036, 47.56825156933875], [7.582452126258417, 47.568258607506884], [7.58244628774847, 47.56826180746883], [7.582442316218543, 47.56826743342588], [7.5824408912376, 47.568271230522406], [7.582439347407124, 47.56827530657006], [7.582440358601207, 47.56828070154013], [7.582444034231173, 47.56828856649065], [7.582448043900485, 47.56829710555622], [7.582453007161237, 47.56831432236125], [7.582453755149544, 47.56834534968616], [7.582453178485764, 47.56837795254098], [7.582552184479076, 47.568379179453494], [7.582551012859552, 47.56842275535016]]], ""type"": ""Polygon""}";604;476;1;Hundeverbot
47.567521765024594, 7.581443519529172;"{""coordinates"": [[[7.581442321495948, 47.56769459465984], [7.581485857139539, 47.567700162400925], [7.581487727846135, 47.56767915982748], [7.581490994709434, 47.56765847032298], [7.581498242173499, 47.567635527517744], [7.581510795495443, 47.567608980732736], [7.581635998255314, 47.56746852559692], [7.581581816736009, 47.56744739387752], [7.581567508573345, 47.56746370799486], [7.581577366145638, 47.56746768012076], [7.581578448569447, 47.56746993621208], [7.581563384845753, 47.567486961756984], [7.581560184101667, 47.56748764920073], [7.581550353056199, 47.5674836590535], [7.581535779533405, 47.56750013537847], [7.581533464775534, 47.56749919387661], [7.581498528028611, 47.56753869203069], [7.581453669151363, 47.567520273921275], [7.581451735157848, 47.56752257867623], [7.581435344339483, 47.56752537780016], [7.581405001074994, 47.56751353427694], [7.581400451167596, 47.56750165917275], [7.581407538813355, 47.567493493212424], [7.581348673760978, 47.56747012768728], [7.581345481065849, 47.56746885448922], [7.581381835057839, 47.567427591880865], [7.581397119939426, 47.56743363492297], [7.581436068130319, 47.56738851082496], [7.58139089174785, 47.567370569745144], [7.58138890806343, 47.567374169652474], [7.581385915111527, 47.56737304910386], [7.58126635120377, 47.56751034928334], [7.581478534888094, 47.56759575454869], [7.581477237281574, 47.56760744794426], [7.581474620422457, 47.567622740434395], [7.581469681642719, 47.567639384822805], [7.581462421540977, 47.56765760595084], [7.581455486438721, 47.56767312857123], [7.581448540512198, 47.56768460404082], [7.581442321495948, 47.56769459465984]]], ""type"": ""Polygon""}";606;477;2;Leinenpflicht
47.57350484526888, 7.600278936234476;"{""coordinates"": [[[7.599754291302527, 47.57399457403953], [7.600061669415827, 47.57403364893832], [7.600334899527064, 47.57385159781611], [7.600366817984543, 47.573858748470414], [7.600414504846817, 47.57380651893408], [7.600483696027853, 47.5738334039078], [7.600584341812886, 47.57371454750065], [7.600759040744995, 47.57347327393111], [7.600673879843923, 47.57343921637851], [7.600726827458015, 47.573368992025046], [7.600832673065531, 47.573212354679264], [7.600728818980475, 47.573149543393654], [7.600640787654337, 47.57304533907532], [7.600428182839146, 47.57304007633302], [7.600055064884383, 47.573062808129414], [7.600050081790716, 47.573172897713015], [7.599931335492985, 47.57349433444282], [7.599802769239083, 47.573816773896446], [7.599755745291676, 47.57393471009335], [7.599755745291676, 47.57393471009335], [7.599754291302527, 47.57399457403953]]], ""type"": ""Polygon""}";610;522;1;Hundeverbot
47.57282694594023, 7.60064894269255;"{""coordinates"": [[[7.600961223568997, 47.57263821676809], [7.600413584180427, 47.572608399758096], [7.600428182839146, 47.57304007633302], [7.600640787654337, 47.57304533907532], [7.600728818980475, 47.573149543393654], [7.600961223568997, 47.57263821676809]]], ""type"": ""Polygon""}";612;523;1;Hundeverbot
47.568178775387764, 7.580761871483586;"{""coordinates"": [[[7.580813380078069, 47.56823503882422], [7.580856922653616, 47.568183173056646], [7.58070713366843, 47.568124536858], [7.58066495536455, 47.5681697545682], [7.580694065510515, 47.56818255311642], [7.580755212864419, 47.56820945070974], [7.580771776933508, 47.56821673340385], [7.580813380078069, 47.56823503882422]]], ""type"": ""Polygon""}";618;480;1;Hundeverbot
47.56760295641888, 7.581243404660698;"{""coordinates"": [[[7.580970758698741, 47.56769067430004], [7.580983287029395, 47.567699526793795], [7.580992062019577, 47.567706162424706], [7.581017671009878, 47.56771669875569], [7.581039948233911, 47.56772364167067], [7.581064211581675, 47.567727884046775], [7.581089133974205, 47.56773010203113], [7.581122703049805, 47.56773568208225], [7.581152627924498, 47.56774508889811], [7.581167596365153, 47.567752040719945], [7.581186551435506, 47.56775898766685], [7.581210819612076, 47.567765028745676], [7.58123289154825, 47.56776972345035], [7.581256485091902, 47.5677719430235], [7.581297351018365, 47.567773017251945], [7.581330231079624, 47.56776937954686], [7.581376041235805, 47.567755832941], [7.581405563036848, 47.56773870877999], [7.581424778830632, 47.567718899121346], [7.581442321495948, 47.56769459465984], [7.581448540512198, 47.56768460404082], [7.581455486438721, 47.56767312857123], [7.581462421540977, 47.56765760595084], [7.581469681642719, 47.567639384822805], [7.581474620422457, 47.567622740434395], [7.581477237281574, 47.56760744794426], [7.581478534888094, 47.56759575454869], [7.58126635120377, 47.56751034928334], [7.581385915111527, 47.56737304910386], [7.58138890806343, 47.567374169652474], [7.58139089174785, 47.567370569745144], [7.581288990167021, 47.56732932342849], [7.580970758698741, 47.56769067430004]]], ""type"": ""Polygon""}";626;485;1;Hundeverbot
47.57123176360992, 7.600016407383147;"{""coordinates"": [[[7.599957959676111, 47.57080916959531], [7.59992647192112, 47.57177507243181], [7.599971878319565, 47.57176466683969], [7.600000843852317, 47.57167468985925], [7.600097963469669, 47.57126983935792], [7.600152892617577, 47.57097656895676], [7.600003549304258, 47.57081129194349], [7.599957959676111, 47.57080916959531]]], ""type"": ""Polygon""}";628;504;1;Hundeverbot
47.5735173265065, 7.599492765512379;"{""coordinates"": [[[7.600015212064377, 47.57306861927915], [7.599407041639954, 47.573125742305464], [7.599288996708205, 47.573204599810914], [7.599262757534627, 47.57331795637707], [7.599214940093176, 47.57332701595304], [7.599172411640811, 47.57332707454176], [7.599087776523648, 47.57346749253095], [7.598902151552437, 47.573613445575724], [7.59893719232818, 47.57377528364355], [7.598998462609139, 47.57382016775897], [7.599346900451987, 47.57389703345916], [7.599673445066268, 47.57396783064862], [7.599729164704871, 47.57393474683718], [7.599988073898893, 47.573235759485634], [7.600012070307913, 47.57308445251212], [7.600012070307913, 47.57308445251212], [7.600015212064377, 47.57306861927915]]], ""type"": ""Polygon""}";638;521;1;Hundeverbot
47.57049671194161, 7.663337438181877;"{""coordinates"": [[[7.663358002796618, 47.570269506959846], [7.663326093189539, 47.570265971108014], [7.663319151113246, 47.5705106134205], [7.663320084051526, 47.57073185686001], [7.663349320873539, 47.5707318003925], [7.663358002796618, 47.570269506959846]]], ""type"": ""Polygon""}";646;531;1;Hundeverbot
47.56776075360183, 7.5824461641409036;"{""coordinates"": [[[7.582830161142055, 47.56708887011872], [7.582813571046356, 47.56709653527596], [7.582800969949675, 47.56710509486919], [7.582791096650809, 47.56711500014381], [7.582779170897346, 47.567127606064254], [7.582759284113367, 47.56714471867233], [7.582738389752885, 47.567157785357516], [7.582700229292172, 47.56717424600796], [7.582663049084397, 47.56718463468839], [7.582610912508346, 47.56719256855642], [7.582544171164144, 47.567205242116906], [7.582474450142203, 47.56722174163602], [7.582407060032328, 47.56724026182148], [7.582311802464462, 47.56727320622256], [7.582260699878988, 47.56729507889088], [7.582201313001204, 47.56732483122144], [7.582160844260367, 47.567347814965636], [7.582115076328914, 47.56737687596155], [7.582082578293219, 47.567398950501016], [7.581995705311854, 47.56746156352801], [7.581963551457762, 47.56748813445893], [7.581931733407756, 47.56751605402258], [7.581907207825698, 47.56753789387251], [7.581890984647501, 47.567558599306366], [7.581873129308414, 47.56759009917913], [7.581861247239631, 47.56761911844607], [7.581856344752521, 47.567649253352066], [7.581854760825889, 47.567678035127535], [7.581856863854914, 47.567718953865345], [7.581867292253184, 47.56776728217721], [7.581887025821943, 47.56781672326951], [7.581914396856928, 47.56786480591991], [7.581946404540686, 47.56790748664755], [7.581982717861448, 47.56794521554046], [7.582032995951127, 47.56798719925644], [7.582079631158551, 47.56801861084471], [7.582144489074973, 47.56806126009766], [7.582379122165466, 47.568216112369164], [7.582393767754996, 47.56822643706538], [7.582402023314548, 47.56823254260087], [7.58241266361045, 47.568235947087004], [7.582420772243154, 47.56823683645909], [7.582424758178393, 47.56823656173361], [7.582430338293976, 47.56823610516838], [7.582437110291736, 47.56823411820494], [7.582470966155801, 47.56822265445885], [7.5825210946875, 47.5682088772337], [7.582570900665784, 47.56819869786303], [7.582624701162333, 47.56819143648975], [7.58267485630291, 47.56818755222993], [7.582736317277788, 47.56818747629885], [7.582816399649508, 47.56819367290014], [7.582866583920762, 47.56820058095579], [7.582908799137677, 47.56820907274586], [7.582951687316426, 47.56822071148114], [7.583006888989904, 47.56824020443998], [7.583046471409787, 47.56825791797697], [7.583078567692087, 47.56827396794602], [7.58308783564492, 47.568271114458184], [7.583076643092908, 47.5682109335195], [7.58306452200048, 47.56815136529977], [7.583045035251249, 47.56805112771279], [7.583010619070094, 47.567874875894574], [7.583004795099501, 47.56780967880461], [7.583005098391003, 47.56778422626736], [7.583005377705756, 47.56775973608507], [7.582743244021009, 47.56777492689959], [7.582712019083052, 47.567776314536765], [7.582693396632052, 47.56776959227074], [7.582664128632714, 47.56775748693231], [7.582629540298215, 47.56774358941671], [7.582557703512017, 47.56771489826775], [7.582660716694811, 47.567477787161586], [7.582730711202274, 47.56731626381375], [7.582830161142055, 47.56708887011872]]], ""type"": ""Polygon""}";650;487;1;Hundeverbot
47.57134026899523, 7.578549008806994;"{""coordinates"": [[[7.579122681596614, 47.571604468684455], [7.579120018922945, 47.57160267315471], [7.579125330078745, 47.57160086802112], [7.579188921938323, 47.571525244467594], [7.579236722236653, 47.57150899822746], [7.579244138967077, 47.571474057818676], [7.579156041625662, 47.57150951815599], [7.578917986065615, 47.57143492328872], [7.578946253051671, 47.571369055521615], [7.578794980593829, 47.57130987007966], [7.578731209177571, 47.57131714163769], [7.578707221788181, 47.57129198812899], [7.578667244428084, 47.57125066518006], [7.578356083659028, 47.57118088757161], [7.578212391379551, 47.57111810380612], [7.577872444968353, 47.57122103808599], [7.579122681596614, 47.571604468684455]]], ""type"": ""Polygon""}";658;491;2;Leinenpflicht
47.57150771591907, 7.577612639158513;"{""coordinates"": [[[7.57790879466916, 47.571232182835224], [7.577908635076443, 47.57123213805735], [7.577872444968353, 47.57122103808599], [7.577361497216472, 47.57172255005681], [7.577388207516775, 47.571772882912434], [7.57790879466916, 47.571232182835224]]], ""type"": ""Polygon""}";660;492;2;Leinenpflicht
47.57196129584493, 7.578032273929173;"{""coordinates"": [[[7.577388207516775, 47.571772882912434], [7.578709672285942, 47.57220120156677], [7.578738246020005, 47.572176029910594], [7.577422204137644, 47.57173757824032], [7.577388207516775, 47.571772882912434]]], ""type"": ""Polygon""}";662;493;2;Leinenpflicht
47.57068414800547, 7.60149243331108;"{""coordinates"": [[[7.600956024954416, 47.570247323781295], [7.600924841503236, 47.57048120321461], [7.601666810701097, 47.57148746086838], [7.601999206543932, 47.5703086060073], [7.602039492021883, 47.57029293647201], [7.602003527214478, 47.57029176375696], [7.600956024954416, 47.570247323781295]]], ""type"": ""Polygon""}";666;495;1;Hundeverbot
47.57034659064502, 7.600457486221179;"{""coordinates"": [[[7.600102703222413, 47.57020084268476], [7.600215128862647, 47.5704633026721], [7.60069900588653, 47.57050939795024], [7.600804468756767, 47.570228648034536], [7.60078856523817, 47.5702430600735], [7.600102703222413, 47.57020084268476]]], ""type"": ""Polygon""}";668;497;1;Hundeverbot
47.570759579460734, 7.6001041685213;"{""coordinates"": [[[7.600161066828686, 47.57060367920735], [7.60000207732651, 47.570763987168306], [7.600143408676296, 47.570916684123716], [7.600166398943699, 47.570609068031395], [7.600161066828686, 47.57060367920735]]], ""type"": ""Polygon""}";676;501;1;Hundeverbot
47.571596699389964, 7.600196458006428;"{""coordinates"": [[[7.600132536634691, 47.571276446781766], [7.600025013930023, 47.57175685869555], [7.600035683804807, 47.571769435081464], [7.60003131954732, 47.57179408382945], [7.600439528631538, 47.571714912948345], [7.600132552962932, 47.57128184297265], [7.600132536634691, 47.571276446781766]]], ""type"": ""Polygon""}";680;503;1;Hundeverbot
