id_angebot;name;kategorie;beschreibu;strassenr;plz;ort;link;zustaendig;bemerkung;baselinfo;geo_point_2d;geo_shape
141;Landauerhofstrasse;Tischtennistisch;Tischtennistisch;Landauerhofstrasse 1;4058;Basel;;Stadtgärtnerei;Adresse gesändert, Zuständigkeit aktualisiert;nein;47.56598001144535, 7.631875432208262;"{""coordinates"": [7.631875432208262, 47.56598001144535], ""type"": ""Point""}"
67;Spielplatz Lehenmattstrasse;Tischtennistisch;Tischtennistisch;Lehenmattstrasse 211;4052;Basel;;Stadtgärtnerei;i.O.;nein;47.549310991477306, 7.621420164814129;"{""coordinates"": [7.621420164814129, 47.549310991477306], ""type"": ""Point""}"
125;Kunsteisbahn Eglisee;Kunsteisbahn;Eishockey, Eislauf;Egliseestrasse 85;4058;Basel;https://www.jfs.bs.ch/fuer-sportlerinnen-und-sportler/sportanlagen/kunsteisbahnen/kunsteisbahn-eglisee.html;Sportamt BS;;ja;47.57057949253268, 7.6147427768222435;"{""coordinates"": [7.614742776822244, 47.57057949253268], ""type"": ""Point""}"
126;Claraschulhaus;Sporthalle;1-fach Sporthalle;Claragraben 59;4058;Basel;;Sportamt BS;;nein;47.561471643622575, 7.594955933862702;"{""coordinates"": [7.594955933862702, 47.561471643622575], ""type"": ""Point""}"
131;Rheinbad St. Johann;Gartenbad;Schwimmen;St. Johanns-Rheinweg 50;4056;Basel;https://www.rhybeli.ch/;Privat;;ja;47.564983493620275, 7.583985725001944;"{""coordinates"": [7.583985725001944, 47.564983493620275], ""type"": ""Point""}"
133;Gymnasium Kirschgarten;Sporthalle;2 1-fach Sporthallen;De Wette-Strasse 7;4051;Basel;;Sportamt BS;;nein;47.54996941630299, 7.592285322826132;"{""coordinates"": [7.592285322826132, 47.54996941630299], ""type"": ""Point""}"
134;Gymnasium Bäumlihof;Tischtennistisch;Tischtennistische;Zu den drei Linden 80;4058;Basel;;ED;nicht STG;nein;47.566204265993385, 7.626631968460981;"{""coordinates"": [7.626631968460981, 47.566204265993385], ""type"": ""Point""}"
147;Freizeithalle Dreirosen;Sporthalle;Klettern, Seilpark, Spielhalle;Unterer Rheinweg 168;4057;Basel;https://www.dreirosen-freizeithalle.ch/;juar Basel;;nein;47.57053494094325, 7.587762291277051;"{""coordinates"": [7.587762291277051, 47.57053494094325], ""type"": ""Point""}"
153;Sekundarschule Theobald Baerwart;Tischtennistisch;Tischtennistische;Offenburgerstrasse 1;4057;Basel;;ED;nicht STG;nein;47.5693173253072, 7.58737882015566;"{""coordinates"": [7.58737882015566, 47.5693173253072], ""type"": ""Point""}"
154;Wasgenring Schulareal;Tischtennistisch;Tischtennistisch;Welschmattstrasse 30;4055;Basel;;ED;nicht STG;nein;47.56160144279144, 7.562014157096445;"{""coordinates"": [7.562014157096445, 47.56160144279144], ""type"": ""Point""}"
