geo_point_2d;geo_shape;objid;id_verbot;geometry1
47.55931281332106, 7.593640385375922;"{""coordinates"": [[[7.593362978062704, 47.55918692639671], [7.593820465416056, 47.55951197194628], [7.593897183655019, 47.559420799291345], [7.593482466191471, 47.5591277958266], [7.593362978062704, 47.55918692639671]]], ""type"": ""Polygon""}";175;;
47.562208662003265, 7.584996853227898;"{""coordinates"": [[[7.585245760237521, 47.56240484024278], [7.585283655661532, 47.56236113709126], [7.585298271165002, 47.56234153039538], [7.584800745051071, 47.56200484589783], [7.584778095551211, 47.562011691527275], [7.584743848087244, 47.5620240918162], [7.584711425003531, 47.562037964778526], [7.584673820796868, 47.56205705158295], [7.584672414676504, 47.56205790774722], [7.585222896338491, 47.56243043812284], [7.585245760237521, 47.56240484024278]]], ""type"": ""Polygon""}";183;;
47.55935689308359, 7.586213462361791;"{""coordinates"": [[[7.586130979289827, 47.55930927246085], [7.585925098102552, 47.55933671179946], [7.585716084929403, 47.55936073710773], [7.585814149203443, 47.559436142643825], [7.585947067184881, 47.55942085631011], [7.585948674350235, 47.55942066541098], [7.586154170662191, 47.55939327148733], [7.586184043681407, 47.55939009487171], [7.586520643248448, 47.55938802250473], [7.586524535964366, 47.55938791863544], [7.586528441493781, 47.55938764386901], [7.58666482175292, 47.55937526628525], [7.586665072585244, 47.559355506753214], [7.586664964833731, 47.55931662701692], [7.58666625658718, 47.559288924703324], [7.586515543833919, 47.55930260657437], [7.586178253903492, 47.55930467980104], [7.586173643814142, 47.55930482054148], [7.586169060943893, 47.55930519508411], [7.586133396662699, 47.55930898160314], [7.586130979289827, 47.55930927246085]]], ""type"": ""Polygon""}";187;;
47.55966189478242, 7.5930999149133225;"{""coordinates"": [[[7.593309659948797, 47.559632285550855], [7.593501112352551, 47.55975257419873], [7.593647556846633, 47.55964184661985], [7.593619812799359, 47.55962309562652], [7.593367747850782, 47.559452828581655], [7.5933387125312, 47.5594790208835], [7.593282284875378, 47.55952985636344], [7.593011301838132, 47.559414961032246], [7.592994147663704, 47.559428393399386], [7.592993789755743, 47.559428681672664], [7.592611122386809, 47.559724721692405], [7.593100222579484, 47.56005552021272], [7.593172823081279, 47.5600007870928], [7.592938673566232, 47.55985989586546], [7.592909562833454, 47.559841740098925], [7.592906726178488, 47.55983946844149], [7.592903942566888, 47.559837160738915], [7.592901251858965, 47.559834816938405], [7.592888634063866, 47.55982263814866], [7.592886288319516, 47.55982012301038], [7.592884008905269, 47.55981757180943], [7.592881822446603, 47.559815002497935], [7.592879675744507, 47.55981239715889], [7.592877608711222, 47.55980977372689], [7.592875621320745, 47.559807123208266], [7.592873700312301, 47.55980445461434], [7.592871819112366, 47.55980176798021], [7.592870030816, 47.559799045248226], [7.59286828230215, 47.559796295482364], [7.592866653343294, 47.55979353656455], [7.592865090766422, 47.55979075957141], [7.592863567998021, 47.55978796453811], [7.592862124924316, 47.55978516040566], [7.5928607747801, 47.55978232916897], [7.592859477757052, 47.559779488868266], [7.592858260376722, 47.55977662148095], [7.592857122717015, 47.559773753988196], [7.592856051465199, 47.55977087741375], [7.592855046543346, 47.55976796477669], [7.592854134654802, 47.55976506101019], [7.592853302434882, 47.55976213915082], [7.592852523362048, 47.559759217221085], [7.592851837218583, 47.55975626818727], [7.592851217508918, 47.55975331906547], [7.592850664259011, 47.55975037884949], [7.592850217225188, 47.559747411511815], [7.592849823338379, 47.55974444410371], [7.592849509198039, 47.5597414855839], [7.592849274726229, 47.55973850897114], [7.592849106688142, 47.5597355322705], [7.592849044943988, 47.55973255542921], [7.592849036372765, 47.55972958751129], [7.592849080922517, 47.55972661052934], [7.592849231766157, 47.55972363340675], [7.592849475616941, 47.55972065616107], [7.592849772666575, 47.55971769683243], [7.592850149410613, 47.55971472840464], [7.592850605900987, 47.55971176886506], [7.59285111556421, 47.55970881824881], [7.59285174480797, 47.55970586747434], [7.592852413963802, 47.55970293463446], [7.592853176126677, 47.559700001671544], [7.592853991514309, 47.55969709561934], [7.592854926430467, 47.55969417142151], [7.592855901284631, 47.55969127415205], [7.592856969171762, 47.55968838575313], [7.592858076944925, 47.55968550629518], [7.592859304324486, 47.55968263567263], [7.592860584928743, 47.55967979196084], [7.592861932018439, 47.55967696614851], [7.592863372141038, 47.55967414920673], [7.592864852201579, 47.559671359193246], [7.592866438581725, 47.55966857803283], [7.592868078160555, 47.559665814789376], [7.592869770964016, 47.55966307845666], [7.592871570087062, 47.55966035097695], [7.592873435721444, 47.55965765039032], [7.592875354606432, 47.55965498570812], [7.592877326638097, 47.55965232095556], [7.592879405093206, 47.559649701030715], [7.592881536746941, 47.55964709902285], [7.592883721599283, 47.55964451493202], [7.592885973014903, 47.55964197572167], [7.592888290863878, 47.55963943642337], [7.592890675276111, 47.55963694200548], [7.592893139486344, 47.559634474463145], [7.592895656947132, 47.559632042825136], [7.592898240867238, 47.55962962009287], [7.592900864777152, 47.559627242276214], [7.592903581771766, 47.55962489131748], [7.592906352042895, 47.55962258525674], [7.592909175512598, 47.559620297113], [7.592912052258818, 47.55961805386728], [7.592914982229585, 47.55961583753219], [7.592917965450888, 47.55961365710144], [7.592921041782842, 47.55961151252225], [7.592924131531191, 47.559609412893884], [7.592927287790786, 47.55960734015852], [7.592930497326905, 47.55960531232113], [7.59293376011356, 47.55960332038811], [7.592937076150741, 47.55960136435936], [7.59294044546444, 47.559599453228614], [7.592943841429279, 47.559597569043625], [7.59294730395735, 47.559595729739094], [7.592950806501237, 47.55959394434376], [7.592954375582375, 47.559592194835176], [7.592957971314653, 47.55959047227235], [7.592961620349464, 47.55958880360115], [7.592965296113414, 47.559587188856796], [7.592969025127919, 47.559585610016754], [7.592972807392989, 47.55958406708091], [7.592976589813805, 47.559582578107154], [7.592980438823891, 47.559581143007414], [7.59298432777186, 47.559579734835815], [7.5929882301883, 47.55957838960231], [7.592992185829335, 47.55957707127938], [7.592996154938861, 47.55957581589455], [7.59300019058569, 47.55957459639638], [7.593004226388331, 47.559573430860176], [7.593008288894193, 47.5595723102571], [7.593012404702685, 47.559571243545655], [7.593014515753663, 47.55957071011945], [7.593018631795925, 47.55956972435099], [7.593022801140839, 47.55956879247413], [7.593027010397712, 47.55956787853167], [7.593031233123162, 47.55956702752733], [7.593035456004507, 47.55956623048494], [7.593039718901851, 47.55956548735178], [7.593043995241805, 47.55956479816298], [7.593048284972382, 47.55956414493116], [7.593052588171601, 47.559563554637414], [7.59305690478746, 47.559563009294415], [7.593061234819975, 47.559562508902076], [7.593065578295167, 47.559562062454106], [7.59306994852575, 47.55956167892659], [7.593074305599637, 47.55956134038503], [7.59307870268963, 47.55956105575255], [7.593083073336241, 47.55956081612366], [7.593087457425598, 47.55956063043907], [7.5930918549577, 47.5595604986989], [7.593096252645879, 47.559560420920675], [7.593100650490131, 47.559560397104434], [7.593105035177775, 47.55956041827412], [7.593109433308217, 47.55956049338817], [7.593113831568769, 47.55956061347046], [7.593118216724778, 47.55956079652607], [7.593122588750235, 47.5595610335613], [7.593126987479224, 47.559561315529585], [7.593131359764978, 47.55956164250136], [7.593135692372849, 47.559562032481665], [7.593140064970983, 47.559562467377404], [7.59314439786524, 47.55956295628797], [7.593148717629031, 47.55956349917815], [7.593153024236333, 47.55956408705425], [7.593157317713187, 47.55956472890995], [7.593161598059611, 47.55956542474523], [7.593165838702208, 47.559566174595375], [7.593170066162351, 47.559566960437735], [7.593174293778782, 47.55956780024212], [7.593178468404727, 47.559568694078955], [7.593182656447665, 47.55956963286644], [7.593186804812869, 47.559570634662514], [7.593190926682928, 47.559571663474735], [7.593195022161974, 47.55957275527789], [7.593199091223983, 47.559573901078295], [7.593203107243509, 47.55957508292379], [7.593207110106679, 47.55957630975526], [7.593211073266143, 47.559577590601585], [7.593215036555973, 47.55957891641619], [7.593218906969282, 47.55958028732253], [7.593222790799675, 47.55958170317954], [7.593226608352987, 47.55958317308673], [7.593230399411222, 47.55958467001009], [7.593234137505138, 47.55958622995967], [7.593237849130016, 47.55958782591913], [7.59324153431192, 47.55958946688219], [7.593309659948797, 47.559632285550855]]], ""type"": ""Polygon""}";191;;
47.5513363353889, 7.586356403189034;"{""coordinates"": [[[7.586600890342918, 47.55144848295403], [7.586662958844617, 47.55146370251277], [7.58671431321359, 47.55137107360084], [7.58665068943063, 47.551355469312995], [7.586424563377091, 47.55129999499533], [7.586070446340698, 47.551213096147734], [7.586066923760126, 47.55121231814704], [7.585981727784036, 47.55129847808537], [7.586022773374729, 47.55130663748576], [7.586374790489589, 47.55139299951353], [7.586600890342918, 47.55144848295403]]], ""type"": ""Polygon""}";193;;
47.55862359321954, 7.588245400906543;"{""coordinates"": [[[7.588189649003162, 47.558546985380026], [7.588185167190647, 47.558545462196435], [7.588138997211086, 47.55853142825057], [7.588134316809617, 47.558530157144105], [7.588091505382107, 47.55851981529394], [7.588002499008285, 47.558486481706495], [7.58789302937057, 47.55843809177247], [7.587892896380746, 47.558438046974096], [7.587888161063367, 47.55843613737322], [7.587886458869086, 47.55843559093534], [7.587861474469232, 47.55846678619051], [7.587858411467254, 47.55847375125716], [7.587855521891562, 47.558480967926116], [7.587825643019784, 47.55851037069282], [7.587935392062209, 47.55855886825632], [7.587939342637065, 47.55856047307354], [7.588034866351469, 47.55859626263719], [7.588039454531087, 47.55859781267142], [7.588044214755624, 47.55859911965431], [7.588089525778375, 47.55861006089663], [7.588131121342986, 47.55862269770719], [7.588171102198064, 47.558637558024934], [7.588211304096665, 47.55865543094386], [7.588213472385689, 47.55865635451544], [7.588435996378705, 47.55874685143962], [7.588558890021131, 47.55880120441997], [7.588563758336038, 47.55880314080332], [7.588568838427501, 47.55880478911477], [7.588574116882714, 47.55880610440298], [7.588690578522261, 47.55874166737438], [7.588620808176326, 47.558726503809524], [7.588504020832575, 47.55867488612961], [7.588502012152094, 47.55867402531437], [7.588279568146182, 47.55858355539338], [7.588238341912564, 47.558565216138504], [7.58823403219117, 47.55856346789278], [7.588189649003162, 47.558546985380026]]], ""type"": ""Polygon""}";216;;
47.559974837491005, 7.586492034532877;"{""coordinates"": [[[7.586636777780337, 47.55986110689175], [7.586345766120147, 47.55988378042055], [7.586291217117348, 47.55991023710812], [7.586306189389568, 47.5599335478609], [7.58630936666448, 47.55993897604484], [7.586335841203369, 47.559989613140004], [7.586338447549904, 47.55999518594595], [7.586359623837704, 47.5600469629565], [7.586361619269392, 47.560052635466846], [7.586374144834756, 47.56009444040365], [7.586379488501956, 47.56010009068291], [7.586670247293146, 47.560057667178924], [7.586636777780337, 47.55986110689175]]], ""type"": ""Polygon""}";189;;
