politische_gemeinde;bfs_nr;bezirk_bezeichnung;bezirk_nr;siedlung;einwohner_per_31_12_2021;plz;ortschaft;primarschulgemeinde;sekundarschulgemeinde;evang_kirchgemeinde;kath_kirchgemeinde
Aadorf;4551;Münchwilen;2014;Guggenbühl;x;8355;Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Guntershausen;1078;8357;Guntershausen b. Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Häuslenen;441;8522;Häuslenen;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Moos;15;8522;Häuslenen;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Schönengrund;13;9547;Wittenwil;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Schür;10;9547;Wittenwil;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Weiern;93;9547;Wittenwil;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Wittenwil;355;9547;Wittenwil;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Aadorf;4551;Münchwilen;2014;Wittershausen;14;8355;Aadorf;Aadorf;Aadorf;Aadorf-Aawangen;Aadorf-Tänikon
Affeltrangen;4711;Weinfelden;2015;Breite;11;9562;Märwil;Regio Märwil;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Brunnenwies;6;9562;Märwil;Regio Märwil;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Grossenegg;8;9556;Affeltrangen;Lauchetal;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Haghof;11;8514;Amlikon-Bissegg;Lauchetal;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Himmenreich;120;9562;Märwil;Regio Märwil;Affeltrangen;Affeltrangen-Braunau-Märwil;Tobel
Affeltrangen;4711;Weinfelden;2015;Meienhof;x;9562;Märwil;Regio Märwil;Affeltrangen;Affeltrangen-Braunau-Märwil;Bussnang
