geo_point_2d;geo_shape;objid;recnum
47.53945080773342, 7.58721312410858;"{""coordinates"": [[7.587278238865606, 47.539584569280805], [7.587141461551528, 47.539450079676875], [7.587291162010917, 47.539322006110446]], ""type"": ""LineString""}";549;164
47.53532214499192, 7.602409347810856;"{""coordinates"": [[7.602559229476957, 47.535403204297246], [7.602339083429582, 47.5353365551089], [7.602368454684006, 47.535174445437804]], ""type"": ""LineString""}";557;168
47.52080102132235, 7.5773249628831625;"{""coordinates"": [[7.577155174446535, 47.52074316811908], [7.577390640528197, 47.5207781978433], [7.577410434140562, 47.52094097187149]], ""type"": ""LineString""}";565;172
47.554206690996196, 7.588474805675524;"{""coordinates"": [[7.588592051841317, 47.5543145654239], [7.588403087433278, 47.55421302621481], [7.588490928856079, 47.55406089208501]], ""type"": ""LineString""}";581;180
47.550294247223675, 7.586649093777423;"{""coordinates"": [[7.586477301513418, 47.550382394496836], [7.586618414005573, 47.55024995327324], [7.586846918418307, 47.55030233934576]], ""type"": ""LineString""}";589;184
47.576547037109435, 7.636406521808282;"{""coordinates"": [[7.636443719107337, 47.57639906606389], [7.636477068310782, 47.576560796734874], [7.636258394852199, 47.576629915830665]], ""type"": ""LineString""}";601;190
47.57417048796784, 7.640263082931691;"{""coordinates"": [[7.640373436428082, 47.574039043438404], [7.640323816716559, 47.5741988573646], [7.640083462374802, 47.57421374440854]], ""type"": ""LineString""}";603;191
47.57417048796784, 7.640263082931691;"{""coordinates"": [[7.640373436428082, 47.574039043438404], [7.640323816716559, 47.5741988573646], [7.640083462374802, 47.57421374440854]], ""type"": ""LineString""}";605;192
47.565712990008535, 7.57450678776877;"{""coordinates"": [[7.574437122110291, 47.565856743605856], [7.574438846504661, 47.565693433964974], [7.574670009608572, 47.56564655027367]], ""type"": ""LineString""}";607;193
47.543242783234085, 7.5810031439713335;"{""coordinates"": [[7.580831658736973, 47.54333125596784], [7.580972234571823, 47.54319856112213], [7.581200901146651, 47.54325052652403]], ""type"": ""LineString""}";621;200
47.527362361843885, 7.575326846145389;"{""coordinates"": [[7.57517974777022, 47.52727856713399], [7.575397392193696, 47.52734885055214], [7.575362165369195, 47.52751043895178]], ""type"": ""LineString""}";625;202
47.527284977620965, 7.575536770901112;"{""coordinates"": [[7.575389671439004, 47.527201181004955], [7.575607315846183, 47.527271473024115], [7.575572102967449, 47.52743305248256]], ""type"": ""LineString""}";627;203
47.53896022990345, 7.612823867383363;"{""coordinates"": [[7.612718386786953, 47.53909358001099], [7.612762024334854, 47.53893297548641], [7.613001588848433, 47.53891400874792]], ""type"": ""LineString""}";639;209
47.53995603907035, 7.614638999317236;"{""coordinates"": [[7.614689295466254, 47.5400945393845], [7.614567315148146, 47.53995364715281], [7.61473035115065, 47.539833270536086]], ""type"": ""LineString""}";643;211
47.53995603907035, 7.614638999317236;"{""coordinates"": [[7.614689295466254, 47.5400945393845], [7.614567315148146, 47.53995364715281], [7.61473035115065, 47.539833270536086]], ""type"": ""LineString""}";645;212
47.57319546565095, 7.648167247180412;"{""coordinates"": [[7.648071854721282, 47.573074731318755], [7.648238976493812, 47.57319252667698], [7.648121706832295, 47.57333527890013]], ""type"": ""LineString""}";651;215
47.57319546565095, 7.648167247180412;"{""coordinates"": [[7.648071854721282, 47.573074731318755], [7.648238976493812, 47.57319252667698], [7.648121706832295, 47.57333527890013]], ""type"": ""LineString""}";653;216
47.57317327040621, 7.648404196594307;"{""coordinates"": [[7.648308797291381, 47.57305253994145], [7.648475932810158, 47.57317033493477], [7.64835865050977, 47.5733130784293]], ""type"": ""LineString""}";655;217
47.58295579588805, 7.654816735801458;"{""coordinates"": [[7.654858054891764, 47.58280810845921], [7.65488707930264, 47.58297022832062], [7.654666544666899, 47.58303665137546]], ""type"": ""LineString""}";661;220
47.583034389584746, 7.655025895528535;"{""coordinates"": [[7.655067214106469, 47.582886702075136], [7.655096239199619, 47.58304882187947], [7.654875704499045, 47.5831152453305]], ""type"": ""LineString""}";663;221
47.51955447454583, 7.597277934495824;"{""coordinates"": [[7.597187698776383, 47.519693053165], [7.597213026809195, 47.51953064363912], [7.597449671054463, 47.51949929230592]], ""type"": ""LineString""}";667;223
47.51955447454583, 7.597277934495824;"{""coordinates"": [[7.597187698776383, 47.519693053165], [7.597213026809195, 47.51953064363912], [7.597449671054463, 47.51949929230592]], ""type"": ""LineString""}";669;224
47.5194461963593, 7.597100292278395;"{""coordinates"": [[7.59701006651627, 47.519584775076936], [7.597035381763999, 47.51942236560189], [7.597272025631677, 47.51939101463078]], ""type"": ""LineString""}";671;225
47.532012493981554, 7.566973266702196;"{""coordinates"": [[7.567160281808659, 47.53204155342787], [7.566919250217876, 47.53204614481577], [7.566841909414792, 47.53189143742055]], ""type"": ""LineString""}";679;229
47.528767872681264, 7.562684436076621;"{""coordinates"": [[7.562787019952253, 47.52888469525046], [7.562612749677794, 47.52877184629281], [7.562720807848394, 47.52862583368338]], ""type"": ""LineString""}";695;237
47.53815776322026, 7.591802999185794;"{""coordinates"": [[7.591718119365823, 47.53829789784235], [7.591737163212472, 47.53813509414384], [7.591972593300591, 47.53809956481462]], ""type"": ""LineString""}";711;247
47.53805266686376, 7.591621168135632;"{""coordinates"": [[7.591536288061651, 47.53819280131263], [7.591555332428207, 47.53802999763794], [7.59179076217196, 47.53799446867718]], ""type"": ""LineString""}";715;249
47.53805266686376, 7.591621168135632;"{""coordinates"": [[7.591536288061651, 47.53819280131263], [7.591555332428207, 47.53802999763794], [7.59179076217196, 47.53799446867718]], ""type"": ""LineString""}";717;250
47.535856217187295, 7.579100698591112;"{""coordinates"": [[7.579035777159343, 47.53572237760323], [7.579172351922851, 47.53585696710541], [7.579022495371498, 47.53598495855591]], ""type"": ""LineString""}";729;256
47.53586033092549, 7.5793396610562445;"{""coordinates"": [[7.57927474898518, 47.53572648748195], [7.579411311107973, 47.53586108571183], [7.579261455097407, 47.53598906847772]], ""type"": ""LineString""}";731;257
47.53743862479072, 7.578592427399661;"{""coordinates"": [[7.578394113953023, 47.53745368099581], [7.578618009056417, 47.53739300103578], [7.578769482261442, 47.537520108197654]], ""type"": ""LineString""}";737;260
47.5372816579421, 7.578650825507325;"{""coordinates"": [[7.578452512594487, 47.53729671423588], [7.578676406969167, 47.53723603415953], [7.57882787986616, 47.53736314125202]], ""type"": ""LineString""}";739;261
47.5372816579421, 7.578650825507325;"{""coordinates"": [[7.578452512594487, 47.53729671423588], [7.578676406969167, 47.53723603415953], [7.57882787986616, 47.53736314125202]], ""type"": ""LineString""}";741;262
47.57383311280147, 7.6555620453702975;"{""coordinates"": [[7.655432657136338, 47.5737339529269], [7.655633629436231, 47.5738243696916], [7.65556497097614, 47.57398094304343]], ""type"": ""LineString""}";765;274
47.5791335140922, 7.651937455530591;"{""coordinates"": [[7.6517393053386, 47.57916179133401], [7.651953144412751, 47.57908605956198], [7.652122985017075, 47.57920211733987]], ""type"": ""LineString""}";767;275
47.5717558154152, 7.661803530358206;"{""coordinates"": [[7.661660666042295, 47.57166797591193], [7.661874510384204, 47.57174364354729], [7.661830476077358, 47.57190422968127]], ""type"": ""LineString""}";775;279
47.57718884587368, 7.6511858228044165;"{""coordinates"": [[7.650987673682931, 47.57721712157917], [7.651201505991354, 47.57714139114063], [7.651371352016373, 47.57725745007854]], ""type"": ""LineString""}";779;281
47.54865613637378, 7.617871954656889;"{""coordinates"": [[7.618062881532076, 47.5486759932361], [7.617822988889386, 47.54869291124943], [7.617728566395488, 47.548542626798444]], ""type"": ""LineString""}";789;286
47.57078115192019, 7.582931246517413;"{""coordinates"": [[7.582882958111717, 47.570642096101174], [7.583002973273912, 47.570783760051576], [7.58283813276396, 47.57090304940376]], ""type"": ""LineString""}";799;
47.51147376455612, 7.620863511171765;"{""coordinates"": [[7.621057665559261, 47.51142609514198], [7.620862868767547, 47.51152228426709], [7.62066987874143, 47.511424391196364]], ""type"": ""LineString""}";225;2
47.51545386637844, 7.619579793708818;"{""coordinates"": [[7.619382765252069, 47.5154569148231], [7.619613964499973, 47.51541065966667], [7.619747209882594, 47.515546781423886]], ""type"": ""LineString""}";227;3
47.51530127038529, 7.6196595395087625;"{""coordinates"": [[7.619462513492915, 47.515304317779915], [7.619693698731515, 47.51525806248242], [7.619826957211296, 47.51539418413433]], ""type"": ""LineString""}";231;5
47.59242215773447, 7.672348679968786;"{""coordinates"": [[7.672187558794547, 47.59235314979465], [7.672417185188614, 47.59240354774902], [7.672413461611883, 47.592566861744125]], ""type"": ""LineString""}";239;9
47.59221791549512, 7.672763120927938;"{""coordinates"": [[7.672601997089278, 47.59214890811246], [7.672831622992826, 47.59219930524954], [7.672827914001521, 47.59236261924348]], ""type"": ""LineString""}";247;13
47.5884881069489, 7.679541972200131;"{""coordinates"": [[7.679681004663624, 47.58857939540304], [7.679470715540019, 47.5884991937702], [7.679522265807793, 47.588339620538264]], ""type"": ""LineString""}";251;15
47.58307940627566, 7.6688389464988385;"{""coordinates"": [[7.668888956410073, 47.58293258305439], [7.66890872162441, 47.5830953293699], [7.668684589671162, 47.583155913386754]], ""type"": ""LineString""}";259;19
47.58307940627566, 7.6688389464988385;"{""coordinates"": [[7.668888956410073, 47.58293258305439], [7.66890872162441, 47.5830953293699], [7.668684589671162, 47.583155913386754]], ""type"": ""LineString""}";261;20
47.56960111235661, 7.673297424355896;"{""coordinates"": [[7.673418180933528, 47.569474370668814], [7.673355219955792, 47.56963202266933], [7.673114003917946, 47.56963762659805]], ""type"": ""LineString""}";263;21
47.569727043813046, 7.673447715733251;"{""coordinates"": [[7.673568466402866, 47.56960030302096], [7.673505505722253, 47.56975795509597], [7.673264302416977, 47.56976355931056]], ""type"": ""LineString""}";269;24
47.569870969903064, 7.67361946031915;"{""coordinates"": [[7.673740214538718, 47.56974423318752], [7.673677240908397, 47.56990188537449], [7.673436050216563, 47.56990748092591]], ""type"": ""LineString""}";271;25
47.569870969903064, 7.67361946031915;"{""coordinates"": [[7.673740214538718, 47.56974423318752], [7.673677240908397, 47.56990188537449], [7.673436050216563, 47.56990748092591]], ""type"": ""LineString""}";273;26
47.57038092270221, 7.678982531137897;"{""coordinates"": [[7.678878185855154, 47.57026505592824], [7.679054283464745, 47.57037670877513], [7.678948323929292, 47.570523462350195]], ""type"": ""LineString""}";279;29
47.57088439116615, 7.668262355216721;"{""coordinates"": [[7.66809186424912, 47.57082732876581], [7.668327914378849, 47.570861299844886], [7.668349307715602, 47.571023980789924]], ""type"": ""LineString""}";283;31
47.57088439116615, 7.668262355216721;"{""coordinates"": [[7.66809186424912, 47.57082732876581], [7.668327914378849, 47.570861299844886], [7.668349307715602, 47.571023980789924]], ""type"": ""LineString""}";285;32
47.57133691108711, 7.6601155542435455;"{""coordinates"": [[7.659952642192772, 47.57127008220404], [7.660183575175314, 47.571317489215176], [7.660184493489454, 47.57148082215106]], ""type"": ""LineString""}";293;36
47.57252693441402, 7.653660249918037;"{""coordinates"": [[7.653567276768122, 47.57240496091565], [7.653731982929209, 47.57252432675589], [7.653611774583912, 47.5726659568263]], ""type"": ""LineString""}";295;37
47.57138937521677, 7.64820698150467;"{""coordinates"": [[7.648283062298152, 47.571247002243325], [7.648274148907782, 47.57141020002809], [7.648041000089655, 47.57145239552062]], ""type"": ""LineString""}";305;42
47.56897610770525, 7.640972143522213;"{""coordinates"": [[7.641055036669829, 47.56883540976367], [7.641038352814608, 47.56899832381724], [7.640803315848722, 47.56903543562121]], ""type"": ""LineString""}";309;44
47.554691305936934, 7.598851575965087;"{""coordinates"": [[7.598912942527402, 47.554826376123295], [7.598779890863524, 47.554690150994], [7.598933159267793, 47.55456400083492]], ""type"": ""LineString""}";311;45
47.54789324731534, 7.624944697368518;"{""coordinates"": [[7.624746399436606, 47.54790744160542], [7.624970913804897, 47.54784777746752], [7.625121162132766, 47.54797555417211]], ""type"": ""LineString""}";321;50
47.54773655802538, 7.6250046371622835;"{""coordinates"": [[7.624806334029739, 47.54775075520472], [7.625030860951629, 47.54769109092607], [7.625181108948832, 47.547818858566266]], ""type"": ""LineString""}";323;51
47.538943847783266, 7.624703547053;"{""coordinates"": [[7.624528964142111, 47.53889275144535], [7.624767126147495, 47.53891843479795], [7.624800894398748, 47.53908017923453]], ""type"": ""LineString""}";337;58
47.53740604741364, 7.624810924857582;"{""coordinates"": [[7.62461429774674, 47.53740632635663], [7.624847021089748, 47.53736349444297], [7.624975932424049, 47.53750155884077]], ""type"": ""LineString""}";339;59
47.52991299409169, 7.588650131716285;"{""coordinates"": [[7.588461177851816, 47.529974505834346], [7.588639955444785, 47.52986491992788], [7.588847188216963, 47.529948457317445]], ""type"": ""LineString""}";349;64
47.54346762014763, 7.556285068874134;"{""coordinates"": [[7.556092117472435, 47.54345357652698], [7.556330541119795, 47.543429008238796], [7.556435320049181, 47.54357611257809]], ""type"": ""LineString""}";367;73
47.54346762014763, 7.556285068874134;"{""coordinates"": [[7.556092117472435, 47.54345357652698], [7.556330541119795, 47.543429008238796], [7.556435320049181, 47.54357611257809]], ""type"": ""LineString""}";369;74
47.54243332745245, 7.548060123149036;"{""coordinates"": [[7.547946289476696, 47.54256324225465], [7.548000382785942, 47.542404091795134], [7.548240983352055, 47.54239230927324]], ""type"": ""LineString""}";377;78
47.54411921092849, 7.55168500063366;"{""coordinates"": [[7.551677735064505, 47.54426730116475], [7.5516135253851, 47.54410989143677], [7.551816899605421, 47.544022041240915]], ""type"": ""LineString""}";385;82
47.54456300410432, 7.553622398829121;"{""coordinates"": [[7.553636000381108, 47.54470914138476], [7.553550700959073, 47.54455637631548], [7.553741308955356, 47.54445625882448]], ""type"": ""LineString""}";395;87
47.54456300410432, 7.553622398829121;"{""coordinates"": [[7.553636000381108, 47.54470914138476], [7.553550700959073, 47.54455637631548], [7.553741308955356, 47.54445625882448]], ""type"": ""LineString""}";397;88
47.54452044766242, 7.553391715059648;"{""coordinates"": [[7.553405315945807, 47.54466658501982], [7.553320017256032, 47.54451381977829], [7.553510625534588, 47.54441370266557]], ""type"": ""LineString""}";399;89
47.51753483159121, 7.555811805972625;"{""coordinates"": [[7.555983434968332, 47.51759012940847], [7.555746889776845, 47.5175586367579], [7.555721800960165, 47.51739618799971]], ""type"": ""LineString""}";411;95
47.52735400481751, 7.6199656467581764;"{""coordinates"": [[7.620017299610627, 47.527492104480245], [7.619893981549181, 47.52735176796836], [7.620055809101427, 47.52723066561584]], ""type"": ""LineString""}";421;100
47.5280189853226, 7.623676690245385;"{""coordinates"": [[7.623826080446104, 47.52790985842385], [7.623722618684192, 47.52805737802697], [7.623483995126123, 47.52803374383275]], ""type"": ""LineString""}";435;107
47.5281610628408, 7.623791226445154;"{""coordinates"": [[7.623940612377353, 47.52805194054071], [7.623837150625595, 47.52819945124508], [7.623598539688094, 47.52817582626086]], ""type"": ""LineString""}";439;109
47.5281610628408, 7.623791226445154;"{""coordinates"": [[7.623940612377353, 47.52805194054071], [7.623837150625595, 47.52819945124508], [7.623598539688094, 47.52817582626086]], ""type"": ""LineString""}";441;110
47.543246656246104, 7.549454112473965;"{""coordinates"": [[7.549389363799563, 47.54339132428133], [7.549385678837621, 47.54322803689712], [7.549615138368351, 47.54317764284252]], ""type"": ""LineString""}";445;112
47.542382391268504, 7.559029952730401;"{""coordinates"": [[7.558961434463741, 47.5425263639999], [7.558961917296915, 47.54236304556311], [7.559192645224837, 47.542315347311934]], ""type"": ""LineString""}";447;113
47.54228708126647, 7.558836697929113;"{""coordinates"": [[7.558768186320656, 47.54243105818847], [7.558768669727314, 47.54226773075318], [7.558999384132234, 47.542220032899166]], ""type"": ""LineString""}";451;115
47.540549438830645, 7.556187386735463;"{""coordinates"": [[7.556024941895616, 47.54064745152104], [7.556149405908052, 47.54050757195141], [7.556383467822954, 47.5405470166352]], ""type"": ""LineString""}";455;117
47.540549438830645, 7.556187386735463;"{""coordinates"": [[7.556024941895616, 47.54064745152104], [7.556149405908052, 47.54050757195141], [7.556383467822954, 47.5405470166352]], ""type"": ""LineString""}";457;118
47.54040041418572, 7.55609406790549;"{""coordinates"": [[7.555931627996587, 47.54049841946969], [7.556056091925223, 47.540358548986795], [7.556290139831841, 47.54039799387467]], ""type"": ""LineString""}";461;120
47.53844180799929, 7.556000498544936;"{""coordinates"": [[7.55580621796015, 47.53848936134846], [7.556001231523151, 47.53839329167118], [7.556194186997296, 47.53849129165397]], ""type"": ""LineString""}";465;122
47.531015076051666, 7.561795086802219;"{""coordinates"": [[7.561661440774122, 47.53113479983502], [7.561741919680906, 47.530980848831554], [7.561982880254643, 47.530987690432084]], ""type"": ""LineString""}";467;123
47.53088175455639, 7.561659521562172;"{""coordinates"": [[7.561525881628427, 47.53100147455915], [7.561606360726172, 47.53084752364273], [7.561847307418589, 47.530854374533554]], ""type"": ""LineString""}";471;125
47.53384983934917, 7.565334793849825;"{""coordinates"": [[7.565336052149457, 47.53399732755688], [7.565263212829149, 47.533841642994666], [7.565461559636136, 47.53374872838222]], ""type"": ""LineString""}";479;129
47.53384983934917, 7.565334793849825;"{""coordinates"": [[7.565336052149457, 47.53399732755688], [7.565263212829149, 47.533841642994666], [7.565461559636136, 47.53374872838222]], ""type"": ""LineString""}";481;130
47.533798817382724, 7.565107952633936;"{""coordinates"": [[7.565109209534303, 47.533946300067136], [7.565036370970405, 47.53379062435319], [7.565234717983774, 47.533697710127754]], ""type"": ""LineString""}";485;132
47.53516985237891, 7.567502656407404;"{""coordinates"": [[7.567419977796686, 47.53531057737306], [7.567436491757704, 47.53514764547532], [7.567671336316527, 47.53511043037455]], ""type"": ""LineString""}";489;134
47.553865835355914, 7.590950544252392;"{""coordinates"": [[7.590847012015359, 47.55374951533012], [7.591022272916312, 47.55386173507147], [7.590915318420685, 47.55400814911609]], ""type"": ""LineString""}";499;139
47.52912362934329, 7.587801625015346;"{""coordinates"": [[7.587712505127077, 47.52899980760826], [7.58787328302952, 47.5291215040245], [7.58774876981302, 47.52926137348185]], ""type"": ""LineString""}";507;143
47.5292393307518, 7.585798158566508;"{""coordinates"": [[7.585707867222103, 47.52911606430266], [7.585869820765653, 47.529237051495436], [7.585746658033242, 47.52937748369058]], ""type"": ""LineString""}";511;145
47.52925106935184, 7.5822631195227475;"{""coordinates"": [[7.582220926255711, 47.52911041220518], [7.582334809898067, 47.52925436182058], [7.582165095135615, 47.52937041138056]], ""type"": ""LineString""}";515;147
47.53231985702399, 7.587376493756035;"{""coordinates"": [[7.587199706755802, 47.53227217936408], [7.587438843438739, 47.532293135562924], [7.587479569849522, 47.53245412672724]], ""type"": ""LineString""}";519;149
47.53220208827516, 7.587540485723556;"{""coordinates"": [[7.587363691397107, 47.53215441203537], [7.587602840894201, 47.53217536787939], [7.587643567711897, 47.53233635899267]], ""type"": ""LineString""}";525;152
47.536541981182644, 7.588064973995458;"{""coordinates"": [[7.587915136558814, 47.53665078917996], [7.58801925957157, 47.53650348121964], [7.588257813528406, 47.536527584296785]], ""type"": ""LineString""}";531;155
47.538971019260885, 7.591328942341061;"{""coordinates"": [[7.591134678387141, 47.539018643056714], [7.591329629892133, 47.53892249591187], [7.591522652510253, 47.539020445979794]], ""type"": ""LineString""}";537;158
47.53880913834676, 7.591328493824481;"{""coordinates"": [[7.591134229559693, 47.53885675539987], [7.59132918049673, 47.538760617244016], [7.591522202525456, 47.53885856731835]], ""type"": ""LineString""}";541;160
47.53945080773342, 7.58721312410858;"{""coordinates"": [[7.587278238865606, 47.539584569280805], [7.587141461551528, 47.539450079676875], [7.587291162010917, 47.539322006110446]], ""type"": ""LineString""}";547;163
47.53532214499192, 7.602409347810856;"{""coordinates"": [[7.602559229476957, 47.535403204297246], [7.602339083429582, 47.5353365551089], [7.602368454684006, 47.535174445437804]], ""type"": ""LineString""}";555;167
47.54149329816275, 7.5871064467848095;"{""coordinates"": [[7.586961315179978, 47.54160558884366], [7.587058311838059, 47.54145606063358], [7.587297908909387, 47.541474876001544]], ""type"": ""LineString""}";559;169
47.54149329816275, 7.5871064467848095;"{""coordinates"": [[7.586961315179978, 47.54160558884366], [7.587058311838059, 47.54145606063358], [7.587297908909387, 47.541474876001544]], ""type"": ""LineString""}";561;170
47.52341692685751, 7.600318456230957;"{""coordinates"": [[7.600228225290368, 47.523555508043195], [7.600253545866413, 47.52339309807041], [7.600490192250472, 47.52336174058069]], ""type"": ""LineString""}";571;175
47.52341692685751, 7.600318456230957;"{""coordinates"": [[7.600228225290368, 47.523555508043195], [7.600253545866413, 47.52339309807041], [7.600490192250472, 47.52336174058069]], ""type"": ""LineString""}";573;176
47.52330865248537, 7.600140797465675;"{""coordinates"": [[7.600050560633541, 47.523447234786005], [7.600075881701316, 47.52328482484598], [7.600312540985401, 47.523253467699895]], ""type"": ""LineString""}";577;178
47.55425023772651, 7.588244478993448;"{""coordinates"": [[7.588361724806802, 47.554358112434656], [7.588172760684372, 47.554256572851344], [7.58826060283947, 47.55410443889855]], ""type"": ""LineString""}";583;181
47.55425023772651, 7.588244478993448;"{""coordinates"": [[7.588361724806802, 47.554358112434656], [7.588172760684372, 47.554256572851344], [7.58826060283947, 47.55410443889855]], ""type"": ""LineString""}";585;182
47.550294247223675, 7.586649093777423;"{""coordinates"": [[7.586477301513418, 47.550382394496836], [7.586618414005573, 47.55024995327324], [7.586846918418307, 47.55030233934576]], ""type"": ""LineString""}";587;183
47.55014050939022, 7.586574228107088;"{""coordinates"": [[7.586402443531083, 47.5502286602559], [7.58654355577641, 47.55009621012245], [7.58677204619397, 47.550148605356206]], ""type"": ""LineString""}";593;186
47.576547037109435, 7.636406521808282;"{""coordinates"": [[7.636443719107337, 47.57639906606389], [7.636477068310782, 47.576560796734874], [7.636258394852199, 47.576629915830665]], ""type"": ""LineString""}";599;189
47.565712990008535, 7.57450678776877;"{""coordinates"": [[7.574437122110291, 47.565856743605856], [7.574438846504661, 47.565693433964974], [7.574670009608572, 47.56564655027367]], ""type"": ""LineString""}";609;194
47.543571912040136, 7.581164817616663;"{""coordinates"": [[7.580993348876389, 47.54366039265997], [7.58113389858931, 47.543527688672185], [7.581362566740154, 47.54357965374876]], ""type"": ""LineString""}";613;196
47.54341831916105, 7.581089368634902;"{""coordinates"": [[7.58091789235254, 47.54350679916843], [7.581058455130085, 47.543374095248794], [7.581287122545443, 47.54342606047718]], ""type"": ""LineString""}";615;197
47.527362361843885, 7.575326846145389;"{""coordinates"": [[7.57517974777022, 47.52727856713399], [7.575397392193696, 47.52734885055214], [7.575362165369195, 47.52751043895178]], ""type"": ""LineString""}";623;201
47.52645055091448, 7.581175219089803;"{""coordinates"": [[7.581130975101066, 47.526310425506985], [7.581246892644454, 47.526453618354104], [7.581078873741736, 47.52657076161499]], ""type"": ""LineString""}";631;205
47.52645055091448, 7.581175219089803;"{""coordinates"": [[7.581130975101066, 47.526310425506985], [7.581246892644454, 47.526453618354104], [7.581078873741736, 47.52657076161499]], ""type"": ""LineString""}";633;206
47.52647088344303, 7.581412307166666;"{""coordinates"": [[7.581368062521026, 47.5263307581988], [7.581483980748119, 47.526473950807464], [7.581315962304087, 47.526591094411636]], ""type"": ""LineString""}";635;207
47.5399403232453, 7.614401056597617;"{""coordinates"": [[7.614451351889238, 47.540078818091686], [7.614329372268342, 47.539937934602335], [7.614492408762133, 47.539817558319946]], ""type"": ""LineString""}";647;213
47.5399403232453, 7.614401056597617;"{""coordinates"": [[7.614451351889238, 47.540078818091686], [7.614329372268342, 47.539937934602335], [7.614492408762133, 47.539817558319946]], ""type"": ""LineString""}";649;214
47.57317327040621, 7.648404196594307;"{""coordinates"": [[7.648308797291381, 47.57305253994145], [7.648475932810158, 47.57317033493477], [7.64835865050977, 47.5733130784293]], ""type"": ""LineString""}";657;218
47.58295579588805, 7.654816735801458;"{""coordinates"": [[7.654858054891764, 47.58280810845921], [7.65488707930264, 47.58297022832062], [7.654666544666899, 47.58303665137546]], ""type"": ""LineString""}";659;219
47.528003230044, 7.565819242424234;"{""coordinates"": [[7.566017548236704, 47.52798035502551], [7.565799502751401, 47.5280500432565], [7.565637028322284, 47.52792934334123]], ""type"": ""LineString""}";683;231
47.528162296509215, 7.565774909644269;"{""coordinates"": [[7.565973216963939, 47.528139414185546], [7.565755157509824, 47.528209111337496], [7.565592695973614, 47.528088411352215]], ""type"": ""LineString""}";687;233
47.528162296509215, 7.565774909644269;"{""coordinates"": [[7.565973216963939, 47.528139414185546], [7.565755157509824, 47.528209111337496], [7.565592695973614, 47.528088411352215]], ""type"": ""LineString""}";689;234
47.528738838156684, 7.562919557775877;"{""coordinates"": [[7.563022151212094, 47.528855664548395], [7.562847867233336, 47.52874280696392], [7.562955924698313, 47.5285967941335]], ""type"": ""LineString""}";693;236
47.55584199290687, 7.595782997980554;"{""coordinates"": [[7.59594314074201, 47.555741786263646], [7.595822603277204, 47.5558832315665], [7.595587416770995, 47.55584680017712]], ""type"": ""LineString""}";699;239
47.557030299955784, 7.596380391684924;"{""coordinates"": [[7.596230731050261, 47.55713928511307], [7.596334525448491, 47.556991872285145], [7.596573214363094, 47.55701569718043]], ""type"": ""LineString""}";703;241
47.557030299955784, 7.596380391684924;"{""coordinates"": [[7.596230731050261, 47.55713928511307], [7.596334525448491, 47.556991872285145], [7.596573214363094, 47.55701569718043]], ""type"": ""LineString""}";705;242
47.5700388244662, 7.572817318892062;"{""coordinates"": [[7.572781383716587, 47.57018687444404], [7.572746718047256, 47.57002526176185], [7.57296480671645, 47.56995532778891]], ""type"": ""LineString""}";707;243
47.5700388244662, 7.572817318892062;"{""coordinates"": [[7.572781383716587, 47.57018687444404], [7.572746718047256, 47.57002526176185], [7.57296480671645, 47.56995532778891]], ""type"": ""LineString""}";709;244
47.534730683708624, 7.578289278537019;"{""coordinates"": [[7.578126446925289, 47.53482831638723], [7.578251583544033, 47.53468870868042], [7.578485438492081, 47.534728675608115]], ""type"": ""LineString""}";721;252
47.534581442970975, 7.578196687156229;"{""coordinates"": [[7.578033864180446, 47.534679076067455], [7.578158987410457, 47.534539468469326], [7.578392841631454, 47.534579435586124]], ""type"": ""LineString""}";725;254
47.53586033092549, 7.5793396610562445;"{""coordinates"": [[7.57927474898518, 47.53572648748195], [7.579411311107973, 47.53586108571183], [7.579261455097407, 47.53598906847772]], ""type"": ""LineString""}";733;258
47.53743862479072, 7.578592427399661;"{""coordinates"": [[7.578394113953023, 47.53745368099581], [7.578618009056417, 47.53739300103578], [7.578769482261442, 47.537520108197654]], ""type"": ""LineString""}";735;259
47.56129971061326, 7.5863917753447865;"{""coordinates"": [[7.58658035228492, 47.561325491181584], [7.586339440627599, 47.56133449358608], [7.586255905770192, 47.561181265482574]], ""type"": ""LineString""}";743;263
47.56129971061326, 7.5863917753447865;"{""coordinates"": [[7.58658035228492, 47.561325491181584], [7.586339440627599, 47.56133449358608], [7.586255905770192, 47.561181265482574]], ""type"": ""LineString""}";745;264
47.56025321180762, 7.584934346980257;"{""coordinates"": [[7.58477824557765, 47.560357035985746], [7.584892145642375, 47.56021305656574], [7.585128951242003, 47.56024443513851]], ""type"": ""LineString""}";747;265
47.577415270397275, 7.6523224470652895;"{""coordinates"": [[7.65212625019504, 47.57741281866144], [7.652360469885294, 47.577373410149676], [7.652484998678443, 47.57751332096776]], ""type"": ""LineString""}";751;267
47.57726517153916, 7.652412019925575;"{""coordinates"": [[7.652215816377186, 47.5772627206298], [7.652450048629298, 47.57722331191042], [7.652574577306344, 47.57736322263984]], ""type"": ""LineString""}";755;269
47.57726517153916, 7.652412019925575;"{""coordinates"": [[7.652215816377186, 47.5772627206298], [7.652450048629298, 47.57722331191042], [7.652574577306344, 47.57736322263984]], ""type"": ""LineString""}";757;270
47.573889611728134, 7.655337871100457;"{""coordinates"": [[7.655208479699557, 47.57379045505592], [7.655409451794855, 47.57388086321406], [7.655340805926919, 47.5740374453987]], ""type"": ""LineString""}";761;272
