geo_point_2d;geo_shape;objid;recnum
47.52912362934329, 7.587801625015346;"{""coordinates"": [[7.587712505127077, 47.52899980760826], [7.58787328302952, 47.5291215040245], [7.58774876981302, 47.52926137348185]], ""type"": ""LineString""}";509;144
47.5292393307518, 7.585798158566508;"{""coordinates"": [[7.585707867222103, 47.52911606430266], [7.585869820765653, 47.529237051495436], [7.585746658033242, 47.52937748369058]], ""type"": ""LineString""}";513;146
47.53441276123615, 7.587473416319597;"{""coordinates"": [[7.587297643836353, 47.53449590840797], [7.587446532049961, 47.53436744870132], [7.587671626414599, 47.534426088405006]], ""type"": ""LineString""}";527;153
47.53441276123615, 7.587473416319597;"{""coordinates"": [[7.587297643836353, 47.53449590840797], [7.587446532049961, 47.53436744870132], [7.587671626414599, 47.534426088405006]], ""type"": ""LineString""}";529;154
47.539454764337734, 7.587452109563405;"{""coordinates"": [[7.587517228337417, 47.53958852723328], [7.587380450407708, 47.53945403791184], [7.587530136995012, 47.539325955059795]], ""type"": ""LineString""}";543;161
47.53524129871004, 7.6026164360915915;"{""coordinates"": [[7.602766319352146, 47.53532235507571], [7.602546173407657, 47.53525571527302], [7.602575543957434, 47.53509359655099]], ""type"": ""LineString""}";551;165
47.53524129871004, 7.6026164360915915;"{""coordinates"": [[7.602766319352146, 47.53532235507571], [7.602546173407657, 47.53525571527302], [7.602575543957434, 47.53509359655099]], ""type"": ""LineString""}";553;166
47.52080102132235, 7.5773249628831625;"{""coordinates"": [[7.577155174446535, 47.52074316811908], [7.577390640528197, 47.5207781978433], [7.577410434140562, 47.52094097187149]], ""type"": ""LineString""}";563;171
47.522037361550076, 7.57499810305041;"{""coordinates"": [[7.574846326559194, 47.52195825048216], [7.575068101867054, 47.52202227907682], [7.575042944007238, 47.52218471930494]], ""type"": ""LineString""}";567;173
47.522037361550076, 7.57499810305041;"{""coordinates"": [[7.574846326559194, 47.52195825048216], [7.575068101867054, 47.52202227907682], [7.575042944007238, 47.52218471930494]], ""type"": ""LineString""}";569;174
47.52330865248537, 7.600140797465675;"{""coordinates"": [[7.600050560633541, 47.523447234786005], [7.600075881701316, 47.52328482484598], [7.600312540985401, 47.523253467699895]], ""type"": ""LineString""}";575;177
47.554206690996196, 7.588474805675524;"{""coordinates"": [[7.588592051841317, 47.5543145654239], [7.588403087433278, 47.55421302621481], [7.588490928856079, 47.55406089208501]], ""type"": ""LineString""}";579;179
47.55014050939022, 7.586574228107088;"{""coordinates"": [[7.586402443531083, 47.5502286602559], [7.58654355577641, 47.55009621012245], [7.58677204619397, 47.550148605356206]], ""type"": ""LineString""}";591;185
47.543242783234085, 7.5810031439713335;"{""coordinates"": [[7.580831658736973, 47.54333125596784], [7.580972234571823, 47.54319856112213], [7.581200901146651, 47.54325052652403]], ""type"": ""LineString""}";619;199
47.527284977620965, 7.575536770901112;"{""coordinates"": [[7.575389671439004, 47.527201181004955], [7.575607315846183, 47.527271473024115], [7.575572102967449, 47.52743305248256]], ""type"": ""LineString""}";629;204
47.583034389584746, 7.655025895528535;"{""coordinates"": [[7.655067214106469, 47.582886702075136], [7.655096239199619, 47.58304882187947], [7.654875704499045, 47.5831152453305]], ""type"": ""LineString""}";665;222
47.5194461963593, 7.597100292278395;"{""coordinates"": [[7.59701006651627, 47.519584775076936], [7.597035381763999, 47.51942236560189], [7.597272025631677, 47.51939101463078]], ""type"": ""LineString""}";673;226
47.53187883675546, 7.567108106487477;"{""coordinates"": [[7.567295122672124, 47.53190789166651], [7.567054078419979, 47.531912483349984], [7.566976750720064, 47.53175778501672]], ""type"": ""LineString""}";677;228
47.532012493981554, 7.566973266702196;"{""coordinates"": [[7.567160281808659, 47.53204155342787], [7.566919250217876, 47.53204614481577], [7.566841909414792, 47.53189143742055]], ""type"": ""LineString""}";681;230
47.528003230044, 7.565819242424234;"{""coordinates"": [[7.566017548236704, 47.52798035502551], [7.565799502751401, 47.5280500432565], [7.565637028322284, 47.52792934334123]], ""type"": ""LineString""}";685;232
47.528738838156684, 7.562919557775877;"{""coordinates"": [[7.563022151212094, 47.528855664548395], [7.562847867233336, 47.52874280696392], [7.562955924698313, 47.5285967941335]], ""type"": ""LineString""}";691;235
47.528767872681264, 7.562684436076621;"{""coordinates"": [[7.562787019952253, 47.52888469525046], [7.562612749677794, 47.52877184629281], [7.562720807848394, 47.52862583368338]], ""type"": ""LineString""}";697;238
47.534730683708624, 7.578289278537019;"{""coordinates"": [[7.578126446925289, 47.53482831638723], [7.578251583544033, 47.53468870868042], [7.578485438492081, 47.534728675608115]], ""type"": ""LineString""}";719;251
47.534581442970975, 7.578196687156229;"{""coordinates"": [[7.578033864180446, 47.534679076067455], [7.578158987410457, 47.534539468469326], [7.578392841631454, 47.534579435586124]], ""type"": ""LineString""}";723;253
47.56025321180762, 7.584934346980257;"{""coordinates"": [[7.58477824557765, 47.560357035985746], [7.584892145642375, 47.56021305656574], [7.585128951242003, 47.56024443513851]], ""type"": ""LineString""}";749;266
