geo_point_2d;geo_shape;id_begegnu;regime;regimenr;name;umdatum;umjahr
47.54876087475862, 7.57390890449288;"{""coordinates"": [[[7.573940289765945, 47.54869137710015], [7.573845497740889, 47.54859267263344], [7.573844472032787, 47.54859154960298], [7.573843525914721, 47.5485903815115], [7.573842672738882, 47.548589195324716], [7.573841899198573, 47.548587982064355], [7.573841218554997, 47.54858673272121], [7.57384063087639, 47.54858547427659], [7.573840136139994, 47.54858419773666], [7.573839734345804, 47.54858290310146], [7.573839425493815, 47.54858159037101], [7.57383920962951, 47.54858027753277], [7.57383908673014, 47.548578955592966], [7.573839070102401, 47.54857763352996], [7.573839146462326, 47.54857631135916], [7.573839315809908, 47.548574989080564], [7.573839578167893, 47.54857367568786], [7.57383993355902, 47.548572380174846], [7.573840381937782, 47.548571084554005], [7.573840936656367, 47.54856981579114], [7.57384157112412, 47.548568564923364], [7.57384229864774, 47.548567340928955], [7.573843119204469, 47.54856613481421], [7.573844019533095, 47.54856495558823], [7.573844999656372, 47.54856381224476], [7.573846072858232, 47.5485627047684], [7.573847212570793, 47.5485616331899], [7.573848432077988, 47.54856059749395], [7.573849731402563, 47.548559606674196], [7.573851097260578, 47.54855866074611], [7.573852529652026, 47.548557759709624], [7.573854028599656, 47.54855691255852], [7.573855580796779, 47.548556110314436], [7.573857199550085, 47.54855536195567], [7.574144212392007, 47.54842921514139], [7.574183290078783, 47.548412036619645], [7.574498445071262, 47.54827349878231], [7.574480795778792, 47.548254569494574], [7.574445244129894, 47.5482164323989], [7.574443845485725, 47.54821492307634], [7.573795381495303, 47.54849978924096], [7.573782794686521, 47.54848655602338], [7.573638676642454, 47.54854957131907], [7.573652140829616, 47.5485630643552], [7.573306952811572, 47.54871455858242], [7.573202854827159, 47.54876032205421], [7.572968079668546, 47.548863517251434], [7.57296959804746, 47.54886510739737], [7.572957575737278, 47.5488703016476], [7.57295504133555, 47.548871437779724], [7.572952440287614, 47.548872484050946], [7.572949759354641, 47.54887345846408], [7.572947025059513, 47.54887434300106], [7.572944224118192, 47.548875137677165], [7.572941383098765, 47.54887584246182], [7.572938488739793, 47.54887646636396], [7.572935554280146, 47.54887699138095], [7.572932593026449, 47.54887742649112], [7.572929591672091, 47.54887776271609], [7.572926576807752, 47.548878009018964], [7.572923561717462, 47.54887816538449], [7.572920519810597, 47.548878222849496], [7.572917490939248, 47.548878181368075], [7.572914461842004, 47.5488780499493], [7.572911445780314, 47.548877819584106], [7.572972094291244, 47.54893865545686], [7.57297214756302, 47.54893870935805], [7.573005827906052, 47.548972487080015], [7.573004455873605, 47.54897098670359], [7.57300320328466, 47.54896944122077], [7.573002056855166, 47.54896785064679], [7.573001029914376, 47.54896623295395], [7.573000122417072, 47.54896457015466], [7.572999334431057, 47.5489628892302], [7.572998679217767, 47.54896118117147], [7.572998143515745, 47.548959454987575], [7.572997727347583, 47.548957719672195], [7.572997430668066, 47.548955957237865], [7.572997280113085, 47.54895419463519], [7.572997249114529, 47.548952431894854], [7.572997350956444, 47.54895066900138], [7.572997572377363, 47.54894891496395], [7.572997926638717, 47.548947160773515], [7.57299840050166, 47.54894542443272], [7.572999007272835, 47.548943714920135], [7.572999733622972, 47.54894201426354], [7.573000579619872, 47.54894034944405], [7.573001545240925, 47.54893871146804], [7.573002630486117, 47.548937100335515], [7.573003835400649, 47.54893553403381], [7.573005146700472, 47.548934012578336], [7.573006577669632, 47.548932535953746], [7.573008101740025, 47.54893110419064], [7.573009732218306, 47.548929726267495], [7.573011455820425, 47.54892840219949], [7.573013285853034, 47.54892714096517], [7.573015195748041, 47.54892594259509], [7.573017185505455, 47.54892480708925], [7.573019268431928, 47.54892374342606], [7.573021417936772, 47.54892274264241], [7.573400391236565, 47.54875615469687], [7.573493316314224, 47.54871531455843], [7.573701259326228, 47.54862390420754], [7.573702931355974, 47.54862320975184], [7.57370464337392, 47.5486225692123], [7.57370640866402, 47.548621982573586], [7.573708213965046, 47.548621458844806], [7.573710059277001, 47.54862099802596], [7.573711931315933, 47.54862060013243], [7.573713830081837, 47.54862026516421], [7.573715742290767, 47.54861999313666], [7.573717681203957, 47.54861977504073], [7.573719633605633, 47.54861963787293], [7.57372158614367, 47.54861955466749], [7.573723552147476, 47.54861954339646], [7.57372551831037, 47.548619595081504], [7.573727471348406, 47.54861970973807], [7.573729411261586, 47.54861988736604], [7.573731338072641, 47.54862013695923], [7.573733251758859, 47.54862044952389], [7.57373512575231, 47.54862082509081], [7.573736986598205, 47.54862125463544], [7.573738807774072, 47.548621756176125], [7.573740589234467, 47.54862231172521], [7.573742317718162, 47.548622930292055], [7.573744019770345, 47.54862360285198], [7.573745655539142, 47.54862432945122], [7.573747238308514, 47.54862511007437], [7.573748768078463, 47.54862594472145], [7.573750231542293, 47.548626824414114], [7.57375162872274, 47.54862775814611], [7.573752959597072, 47.548628736923675], [7.573754224165285, 47.54862976074682], [7.57375539583672, 47.54863082065262], [7.573756501179297, 47.54863191661028], [7.573886881819639, 47.548767688119455], [7.573948456274705, 47.54883182311903], [7.574009791082717, 47.54889568855007], [7.574077932189006, 47.54896665110987], [7.574185232105638, 47.549078372788784], [7.574235845452594, 47.54913108031221], [7.574286565469607, 47.549183904607396], [7.574313510479759, 47.54921195176571], [7.574392627574025, 47.54929434141934], [7.574506029122801, 47.54941241427086], [7.574522948915269, 47.54940550534096], [7.574579480995122, 47.54938246041226], [7.57459710409652, 47.54937526285145], [7.574593228137435, 47.549371229174355], [7.574531638993393, 47.54930709454546], [7.574484568155277, 47.549258079460806], [7.574428040668328, 47.54919922720615], [7.574375176115656, 47.54914418401164], [7.574320899839025, 47.5490876764524], [7.574262960861803, 47.549027350780314], [7.57420759263513, 47.548969702228874], [7.574153276749211, 47.54891314966525], [7.574098921013019, 47.54885655215264], [7.574044618642682, 47.548799999520384], [7.573990263160995, 47.54874341094821], [7.573940289765945, 47.54869137710015]]], ""type"": ""Polygon""}";1;Begegnungszone;20;Aescherstrasse / Benkenstrasse;;2004
47.54941071826745, 7.603910851680166;"{""coordinates"": [[[7.603009476362781, 47.54865520744734], [7.602981993010798, 47.54863404793004], [7.602963240443388, 47.54864412941558], [7.602906598016827, 47.54867455427153], [7.602888949124726, 47.54868500293251], [7.603209762846001, 47.54893208540635], [7.603332547162338, 47.54902665214182], [7.603446583397858, 47.54911446781467], [7.603508009216803, 47.549161778004624], [7.603569368558027, 47.54920903429292], [7.603630754660126, 47.54925631749142], [7.603692154155716, 47.54930360063779], [7.603790092625611, 47.54937901839275], [7.603811584543907, 47.54939557241123], [7.603965503761603, 47.54951410764582], [7.60411464317896, 47.54962895302735], [7.604228642121885, 47.549716758974036], [7.604307580030934, 47.54977755246], [7.604377742797333, 47.54983159507141], [7.604456681047945, 47.549892388453195], [7.604535659444036, 47.549953217698], [7.604591094871484, 47.54999590404849], [7.60483129397487, 47.55018088694521], [7.60483254586709, 47.550181901453584], [7.604833731449642, 47.55018295203154], [7.604834837438172, 47.550184038698156], [7.604835863832681, 47.55018516145336], [7.604836810633157, 47.550186320297165], [7.604837664527257, 47.550187506254794], [7.604838372041597, 47.55018861147746], [7.60485838401073, 47.550177628520885], [7.604914414750556, 47.550146852843916], [7.604933020930359, 47.55013663635069], [7.604781241641737, 47.55001974522815], [7.604685324632055, 47.549945881363435], [7.604513691962753, 47.54981368382633], [7.604274241329412, 47.54962927478678], [7.604186541708714, 47.54956173042142], [7.604098828971294, 47.54949416801952], [7.604011116512898, 47.54942662353697], [7.603923404249898, 47.54935906999261], [7.603835692237983, 47.54929152537393], [7.603756755564421, 47.54923072256202], [7.603669043976676, 47.549163177814016], [7.603581332584373, 47.549095624004195], [7.603493621443112, 47.54902807912007], [7.60339713544369, 47.54895377427829], [7.603309438055254, 47.54888622923246], [7.603009476362781, 47.54865520744734]]], ""type"": ""Polygon""}";4;Begegnungszone;51;Angensteinerstrasse;;2012
47.5394916842338, 7.590403932058022;"{""coordinates"": [[[7.590295202421745, 47.539566462331415], [7.590418928347471, 47.53953135135045], [7.590542707236236, 47.539496240167615], [7.590626009374724, 47.53947260377448], [7.590709298131777, 47.53944895834485], [7.59083302353539, 47.539413855913644], [7.590958089093291, 47.53937835587075], [7.591041390810545, 47.539354701190305], [7.591158745701953, 47.53932139650672], [7.591150892325847, 47.53930607237532], [7.59112735904467, 47.53926018988023], [7.591119465559467, 47.53924476686723], [7.590692592470949, 47.5393659225002], [7.590545390718269, 47.539407692810336], [7.590459686582395, 47.53943200681032], [7.590373916036325, 47.539456347814394], [7.590226713756653, 47.53949810872424], [7.590180756127142, 47.53951114654754], [7.590096962690058, 47.5395349181651], [7.59009450738864, 47.5395355599159], [7.590092423464422, 47.53953602130809], [7.590090299516639, 47.53953641979576], [7.590088148801488, 47.53953674636785], [7.590085984626151, 47.539537010000885], [7.590083806939661, 47.53953719270732], [7.590081615793, 47.53953731247469], [7.590079411160692, 47.539537360309254], [7.590077219631609, 47.5395373451702], [7.590075014591402, 47.539537249104576], [7.590072835936118, 47.539537090048086], [7.590070657076907, 47.53953685904151], [7.590068504577146, 47.539536556050315], [7.590066378436839, 47.5395361810745], [7.590064278681497, 47.539535743107876], [7.590062205311118, 47.53953524215036], [7.590060171581905, 47.53953466919095], [7.590058190801032, 47.5395340332062], [7.590056236405155, 47.53953333423061], [7.590054348264801, 47.53953258120612], [7.590052513047326, 47.53953175616254], [7.590050730803704, 47.53953087708735], [7.590049014815619, 47.539529943963245], [7.590047378364764, 47.53952895677306], [7.590045794913262, 47.53952792454505], [7.590044290973502, 47.539526829257106], [7.590042866621944, 47.53952569789063], [7.590041535114784, 47.53952452143447], [7.590040269888651, 47.539523299923275], [7.590039097532401, 47.53952204231622], [7.590038018020541, 47.53952073961954], [7.590037018122357, 47.53951940983805], [7.590036124401206, 47.539518052937176], [7.589990671029422, 47.53953095512276], [7.589905059361397, 47.539555250602795], [7.589873076075206, 47.539564330880204], [7.589815015066014, 47.53958080190741], [7.58977287936566, 47.53959276434821], [7.589813921968889, 47.539659184195955], [7.5898549113697, 47.539725541140214], [7.589992718578772, 47.53968642809275], [7.590023348278419, 47.53967773627443], [7.59011827635611, 47.53965078442197], [7.590117448809725, 47.53964934649165], [7.590116727440595, 47.539647881441965], [7.590116112248711, 47.53964638927282], [7.590115603285047, 47.539644887971846], [7.590115200524115, 47.539643368545136], [7.590114917247601, 47.5396418309755], [7.590114740224802, 47.53964029326778], [7.590114669430189, 47.53963874642812], [7.590114718196483, 47.539637208426825], [7.590114886472658, 47.53963566127632], [7.590115147771797, 47.5396341319925], [7.590115528631801, 47.539632611547006], [7.590116029052664, 47.539631099939875], [7.59011662249646, 47.53962960619939], [7.590117335552097, 47.53962813928471], [7.590118141656148, 47.53962669923043], [7.590119054090324, 47.539625286019266], [7.590120072854608, 47.53962389965122], [7.590121197974499, 47.53962254912006], [7.590122402912077, 47.53962124345403], [7.590123714205254, 47.53961997362487], [7.590125105341613, 47.53961875765463], [7.590126589551859, 47.539617577538515], [7.590128153630785, 47.53961646027506], [7.590129797527394, 47.53961538787669], [7.590131521267178, 47.53961436933726], [7.590133311593939, 47.53961341366776], [7.590135168507691, 47.53961252086815], [7.590137092008424, 47.53961169093842], [7.590139068814449, 47.53961092389595], [7.59014109892576, 47.53961021974058], [7.590143182367865, 47.539609587466146], [7.590211846887414, 47.53959010754862], [7.590295202421745, 47.539566462331415]]], ""type"": ""Polygon""}";5;Begegnungszone;41;Bachofenstrasse;;2010
47.56793584242693, 7.587661452710431;"{""coordinates"": [[[7.587671156692764, 47.5674368378606], [7.587647672325591, 47.56743568970416], [7.587641338959328, 47.56750428374578], [7.587632774457537, 47.567597190603536], [7.587624235349002, 47.567689683714946], [7.587615670812432, 47.567782599558875], [7.587607119509552, 47.567875506388404], [7.587600695977153, 47.56794516178819], [7.587587771511914, 47.56808532708154], [7.587581374029811, 47.5681548115614], [7.587555989258131, 47.56843013203218], [7.587555846189996, 47.56843124743317], [7.587579728484429, 47.5684319723963], [7.587651282299004, 47.568434129387725], [7.58767540379659, 47.56843485402536], [7.587700465269462, 47.56816295154614], [7.587728725181131, 47.567856329271855], [7.587735831645446, 47.567779082308135], [7.587751438859311, 47.56760996283608], [7.587766929213732, 47.56744185978886], [7.587766968200697, 47.56744154495957], [7.587714909170186, 47.56743899437258], [7.587671156692764, 47.5674368378606]]], ""type"": ""Polygon""}";6;Begegnungszone;1;Bärenfelserstrasse;;vor 2001
47.527272773312696, 7.593039503949506;"{""coordinates"": [[[7.593190876935908, 47.52770984247279], [7.593066885932834, 47.527257158705694], [7.592952495465167, 47.52683597639767], [7.592950388271605, 47.526828199526605], [7.592888453768153, 47.5268362501018], [7.593006206308139, 47.52726768997491], [7.593102661482146, 47.52762100155186], [7.593128993255263, 47.52771744341414], [7.593190876935908, 47.52770984247279]]], ""type"": ""Polygon""}";9;Begegnungszone;60;Beim Wasserturm;;2013
47.553950607589925, 7.57259712923113;"{""coordinates"": [[[7.572406652823485, 47.55356621104119], [7.572277713737435, 47.553372570706486], [7.57225632976746, 47.55337996107911], [7.572193269991252, 47.55340324614649], [7.572172112878381, 47.55341104995575], [7.572209824942618, 47.55346768533192], [7.572242589669275, 47.553516879544325], [7.572275901195996, 47.55356689155058], [7.572309226138183, 47.55361693051228], [7.572344444754072, 47.55366980931477], [7.572379663462642, 47.55372269709932], [7.572423070179849, 47.55378787891723], [7.572458355651589, 47.553840838549085], [7.572493494560176, 47.55389360047523], [7.57252884691434, 47.55394668591938], [7.57256586626728, 47.55400226969728], [7.572604645964841, 47.55406048660603], [7.572643412439581, 47.55411869452218], [7.572682178999362, 47.554176902424125], [7.57272095895211, 47.55423511929035], [7.572759738967362, 47.554293327148606], [7.572798505759712, 47.55435152601429], [7.572837272682236, 47.55440974285317], [7.572876039667231, 47.554467950684156], [7.572914846706551, 47.55452620342358], [7.572936870419925, 47.55451947773285], [7.573002237873258, 47.554499490314484], [7.573023903106489, 47.554492863951126], [7.573018422172762, 47.554484667977015], [7.572998218446031, 47.55445433738681], [7.572956384144392, 47.554391537328435], [7.572914563227147, 47.554328737238194], [7.572872969186287, 47.55426630561376], [7.572830841774206, 47.55420305615652], [7.572788927863192, 47.554140139205444], [7.572753015082651, 47.55408623605802], [7.572681149681523, 47.55397834882911], [7.572645223721902, 47.553924400691905], [7.572609297835315, 47.55387045254246], [7.572573878822319, 47.55381728625425], [7.572538486563434, 47.55376416489231], [7.5725016274362, 47.55370882374828], [7.572472636255613, 47.55366529133882], [7.572435723922259, 47.55360986928933], [7.572406652823485, 47.55356621104119]]], ""type"": ""Polygon""}";14;Begegnungszone;75;Blauenstrasse;;2015
47.52951919920389, 7.5993861108990926;"{""coordinates"": [[[7.599761414803713, 47.530174868459966], [7.599758597656562, 47.53016542884586], [7.599755634519101, 47.53015601641506], [7.599752525364288, 47.530146622173845], [7.59974927019219, 47.530137246122194], [7.599745869030009, 47.530127897253884], [7.599742335157142, 47.530118575550496], [7.599738642015008, 47.530109281048794], [7.599734816135205, 47.5301000047182], [7.599731058226554, 47.53009124993507], [7.599727167580215, 47.53008251332308], [7.599723157502699, 47.53007380385759], [7.599719014741853, 47.53006513055077], [7.599714752522812, 47.53005647539664], [7.59971035762056, 47.53004785640119], [7.599705843287337, 47.53003926455218], [7.599701196243888, 47.530030699867986], [7.599684973027849, 47.53000124955298], [7.599631109549575, 47.5299035162235], [7.59959165330593, 47.52983189000609], [7.599537803396274, 47.52973413862144], [7.599523489773829, 47.52970816625167], [7.599518683140146, 47.52969950284771], [7.599513810166104, 47.52969085752281], [7.599508870851746, 47.52968223027697], [7.59950386517, 47.529673612116426], [7.599498793175062, 47.529665021028705], [7.599493668092013, 47.52965643900791], [7.599488463416622, 47.529647884078244], [7.599483205653159, 47.529639338215475], [7.599477708107433, 47.52963054085664], [7.599472144194604, 47.529621752583004], [7.599466513968856, 47.5296129913821], [7.59946080412393, 47.52960424827851], [7.599455041245345, 47.52959553222931], [7.599449198720561, 47.529586825283666], [7.599443289910041, 47.52957815440447], [7.599437314732575, 47.52956949261049], [7.599426325655673, 47.529553885514304], [7.599415124307826, 47.52953834166683], [7.599403710743317, 47.52952287905562], [7.59939208490815, 47.52950747969299], [7.599387112153612, 47.52950096603606], [7.599335131893863, 47.52943297252724], [7.599298963069034, 47.52938565196738], [7.599422773254005, 47.52916780356225], [7.599222102139145, 47.52912031427036], [7.59918438965084, 47.52918666874304], [7.599078507015065, 47.529206115423136], [7.599089439420429, 47.52929575079572], [7.599179220370324, 47.5293268266264], [7.599225534409982, 47.52938741711115], [7.599263916218863, 47.529437630652325], [7.599333120942071, 47.52952815693274], [7.59933986699388, 47.52953705150777], [7.599348573422177, 47.529548713474284], [7.599357160449868, 47.52956041158023], [7.599365614824754, 47.52957215483767], [7.599373936519709, 47.529583934252905], [7.599382138840927, 47.52959575880142], [7.599390208509142, 47.52960762850155], [7.599398158776422, 47.52961953434119], [7.599405976363502, 47.52963147633869], [7.599413301080406, 47.529642906368274], [7.599420519702135, 47.52965438151287], [7.599427618895287, 47.52966588380343], [7.599434585380579, 47.52967741325822], [7.59944144577052, 47.52968898782811], [7.599448173452471, 47.52970058956238], [7.599454794984785, 47.52971221842422], [7.599461283836045, 47.529723883444184], [7.59946386083517, 47.52972856566653], [7.599524266501417, 47.529838188867025], [7.599578209961518, 47.52993611100788], [7.599632153593475, 47.53003402412641], [7.599638990035076, 47.530046435141806], [7.599644785624037, 47.53005716575135], [7.59965036890899, 47.530067950616996], [7.599655739862706, 47.53007878074508], [7.599660911764398, 47.530089656117205], [7.599665871334624, 47.53010057675185], [7.599670618573275, 47.53011154264892], [7.599675166732441, 47.530122544796384], [7.599679489280457, 47.53013359222477], [7.599683827034879, 47.530145278193174], [7.599687925898754, 47.5301570094609], [7.599691772538357, 47.53016876805873], [7.599695393566448, 47.53018057193753], [7.599696910132147, 47.53018587619438], [7.599761414803713, 47.530174868459966]]], ""type"": ""Polygon""}";16;Begegnungszone;68;Bürenfluhstrasse;;2014
47.570907357336665, 7.596403633975177;"{""coordinates"": [[[7.596404565939149, 47.571473568235575], [7.596530426292793, 47.571475799116165], [7.596523542038533, 47.57141733148401], [7.596518484339811, 47.571374321525674], [7.596453799956163, 47.57082478681173], [7.596439009299472, 47.570699129013775], [7.596424996230067, 47.57058024240471], [7.596397269131905, 47.57034466322215], [7.596397143520258, 47.57034263081797], [7.596397243828318, 47.570340598107904], [7.596397556819828, 47.570338583097374], [7.596398109073554, 47.5703365857504], [7.596398874037266, 47.57033461509653], [7.596399865080073, 47.57033269809877], [7.596401055623166, 47.57033083479311], [7.596402458982511, 47.57032903415526], [7.596404048632453, 47.5703273142084], [7.596405837862391, 47.57032567493457], [7.596407800173271, 47.57032414335075], [7.596409922222531, 47.57032270148751], [7.596412204089931, 47.570321376325914], [7.596414619223263, 47.57032017689558], [7.596417167622545, 47.57031910319645], [7.596419822709009, 47.57031815526454], [7.596227177334113, 47.57038062526466], [7.596229381436965, 47.570379965745005], [7.596231652252301, 47.57037939607201], [7.596233963201323, 47.57037891628164], [7.596236301047744, 47.57037854437912], [7.596238679001325, 47.57037825336554], [7.596241083852324, 47.5703780702398], [7.596243488995403, 47.57037798604428], [7.596245907719981, 47.570378000760925], [7.5962483134207, 47.570378105432056], [7.596250706150694, 47.570378318044966], [7.596253072594006, 47.57037862962394], [7.596255412724101, 47.57037903117542], [7.596257713278147, 47.570379531710934], [7.596259960940176, 47.57038012225488], [7.596262155710219, 47.57038080280722], [7.596264284298869, 47.5703815733859], [7.596266346706131, 47.570382433991014], [7.596268316300097, 47.57038336667111], [7.596270206423283, 47.57038438939558], [7.596271990443771, 47.57038548421303], [7.596273681650962, 47.57038665110556], [7.596275266728896, 47.57038788109741], [7.596276745677571, 47.57038917418862], [7.596278091918171, 47.57039053041516], [7.596279318713531, 47.57039194076539], [7.596280426010533, 47.57039338725193], [7.596281387283475, 47.570394887898175], [7.59628222903147, 47.57039641568714], [7.59628292470227, 47.57039797964848], [7.596283474269292, 47.57039957078847], [7.59628387770596, 47.570401180113485], [7.596284148301681, 47.57040280760559], [7.596300642802195, 47.570543059891406], [7.596313225227419, 47.570650112755764], [7.596325834282426, 47.57075716557859], [7.596339370192405, 47.570872041651846], [7.5963463628276, 47.57093130060422], [7.596359885191419, 47.57104605976837], [7.596371935263178, 47.57114827472294], [7.596408617319011, 47.5714594066871], [7.59640874232235, 47.571461232236466], [7.59640868124366, 47.57146304904407], [7.596408434109494, 47.5714648661035], [7.59640801418295, 47.57146667440318], [7.596407421384236, 47.57146844696212], [7.596406642450265, 47.57147019279187], [7.596405690644107, 47.57147190288093], [7.596404565939149, 47.571473568235575]]], ""type"": ""Polygon""}";21;Begegnungszone;32;Efringerstrasse;;2007
47.555268627889866, 7.587833168612414;"{""coordinates"": [[[7.588185329847313, 47.555414806515444], [7.588219592031772, 47.555314590294785], [7.588168594406548, 47.555307280866025], [7.588157828739021, 47.555305756747686], [7.588097069852771, 47.55526653203772], [7.588061061517418, 47.55525079419448], [7.588194167105129, 47.555159390993865], [7.588108652950218, 47.55510439605057], [7.587976299421655, 47.555075138191086], [7.587973261114613, 47.55508135675755], [7.587965816615871, 47.55507972943493], [7.587968841562684, 47.55507348390457], [7.587930302702058, 47.55506495324679], [7.587936718326539, 47.55507398373682], [7.587927414640803, 47.55507739528704], [7.58791896167476, 47.555066703564144], [7.587836236771154, 47.555049343644285], [7.58783345835406, 47.55504872663276], [7.587829614334704, 47.5550566370498], [7.587823525901346, 47.55505534075059], [7.587819604297143, 47.55505450035848], [7.58782332872261, 47.55504658110114], [7.587748712393512, 47.55503075766309], [7.587745014428727, 47.55503864090925], [7.58774106620566, 47.555037782561044], [7.587734990986884, 47.55503645925908], [7.587738542887119, 47.555028603181306], [7.587735166044517, 47.55502778007694], [7.587664192595774, 47.55501287827957], [7.587660507804878, 47.55502072553128], [7.587650471259958, 47.55501860684671], [7.587653850710156, 47.55501084092934], [7.587634920559648, 47.55500673700324], [7.587613317805086, 47.55505424256484], [7.587616441745055, 47.555054895114964], [7.587614144203319, 47.55505997052033], [7.587611007052757, 47.555059344968264], [7.587596640436415, 47.5550909493405], [7.587600003669251, 47.55509165554774], [7.587597837926745, 47.55509635304724], [7.587607342785132, 47.55509837348471], [7.587726160294189, 47.5551236558601], [7.587647654071699, 47.55529935899477], [7.587619662223314, 47.55536166741928], [7.587583707433121, 47.55538416174004], [7.587514518665168, 47.55537099336312], [7.58751403032983, 47.555372154179054], [7.587483125481991, 47.55536655457468], [7.587482003244292, 47.555369083248124], [7.587480735791628, 47.55537194487533], [7.587377007867042, 47.55535052829021], [7.587331955996511, 47.55544594637334], [7.587390870284624, 47.55545743714895], [7.587421433280451, 47.555464305331185], [7.587422014793722, 47.55546320735289], [7.587535479955974, 47.555488874490436], [7.587553359548717, 47.555492566062554], [7.587557414037864, 47.55549340629384], [7.587597298491701, 47.555536534263226], [7.58765081091199, 47.55543561908347], [7.587654643556518, 47.55542837422469], [7.587750319648005, 47.55539233987072], [7.587806734447392, 47.55536988227178], [7.58786165251343, 47.55534431472796], [7.587942038719616, 47.55536611153707], [7.587937879245152, 47.55538950058395], [7.588113463184659, 47.55541327982907], [7.588131445553357, 47.55541571205696], [7.588185329847313, 47.555414806515444]], [[7.587675443621984, 47.55533122425422], [7.587765881104959, 47.55513201419232], [7.587911257308334, 47.55516224492569], [7.587914647196468, 47.5551629780708], [7.587917997454129, 47.55516379221025], [7.587921308081325, 47.55516468734397], [7.58792456579247, 47.555165663489], [7.58792775730199, 47.55516672066245], [7.587930909155937, 47.55516784983647], [7.587933981522681, 47.555169060055874], [7.58793700094828, 47.555170342292925], [7.58793908920058, 47.55517120301695], [7.587941137746985, 47.55517211775425], [7.587943146537229, 47.55517306851734], [7.587945102310842, 47.555174064317036], [7.587947005067836, 47.55517510515334], [7.58794886806866, 47.555176182015416], [7.587950664767274, 47.55517730393114], [7.587952421709725, 47.555178461872735], [7.587983246155827, 47.55519809168746], [7.587903220723399, 47.5552577687214], [7.587896710954589, 47.55526259770155], [7.587890094698558, 47.55526735486776], [7.587883345358938, 47.555272031260344], [7.587876489532103, 47.555276635839], [7.587869527192922, 47.55528115960996], [7.587862445055772, 47.55528560259016], [7.587855256406288, 47.555289964762686], [7.587847961244464, 47.55529424612749], [7.587841753618974, 47.555297851569286], [7.587835466077875, 47.55530138516308], [7.587829098646303, 47.5553048559027], [7.587822638013509, 47.55530825481132], [7.587816110750778, 47.55531158185496], [7.587809490286843, 47.55531483706757], [7.587802816503741, 47.555318029391856], [7.587796049494358, 47.555321140891465], [7.587789176148847, 47.55532423453921], [7.587782262794951, 47.555327274275356], [7.587775282836292, 47.55533025114013], [7.58776823627288, 47.55533316513352], [7.587761149676012, 47.5553360162215], [7.587754009785169, 47.55533881341482], [7.58774681657527, 47.55534154771976], [7.587739570046316, 47.55534421913626], [7.587675443621984, 47.55533122425422]]], ""type"": ""Polygon""}";28;Begegnungszone;;Leonhardskirchplatz;;2015
47.55875488025174, 7.5868641507083225;"{""coordinates"": [[[7.587144268302412, 47.5586570470713], [7.587191715521195, 47.55853322393055], [7.587169185682724, 47.55854423398184], [7.587086631647964, 47.558547190154655], [7.586972816847326, 47.55855099548791], [7.586912454401226, 47.55855509248004], [7.586912292941578, 47.558554364193526], [7.586848787788123, 47.55856069559433], [7.586849709194835, 47.55856236725613], [7.586841526839128, 47.55856313313237], [7.586839707069871, 47.55856330632677], [7.586839505302663, 47.55856241620427], [7.586733746246208, 47.558610855923355], [7.586733804404276, 47.55861266358867], [7.586738773341019, 47.55861258532602], [7.586739033494576, 47.558620157713854], [7.586735924587057, 47.5586202066323], [7.586737163659426, 47.55865977745798], [7.586740432006925, 47.55865972833695], [7.586740692410328, 47.55866739066163], [7.586738858951701, 47.558667419972224], [7.586739768523119, 47.55869836623161], [7.586741548836894, 47.55869833698856], [7.586741823375018, 47.55870630508189], [7.58673880746784, 47.558706353882236], [7.586740417000406, 47.558750151287654], [7.586727662364222, 47.5587503113913], [7.58671399100967, 47.55875049064543], [7.586713646436325, 47.55875559952001], [7.586711999647416, 47.55877983071194], [7.586711769964854, 47.55878324861986], [7.58671016098929, 47.558806742277866], [7.586709931530879, 47.55881024112902], [7.586708271776188, 47.55883458925531], [7.58670813135893, 47.5588366579908], [7.586707991166048, 47.55883880766955], [7.586711312546007, 47.55883871351338], [7.586699018836764, 47.55901953900229], [7.586715136384433, 47.559019860291336], [7.586711904236361, 47.55906652384715], [7.586748307279843, 47.559065695146614], [7.586866930260976, 47.55906570625572], [7.586864442377089, 47.559064522247446], [7.586862126844387, 47.559063203114064], [7.586859983662881, 47.55906174885558], [7.586858039455623, 47.55906017742563], [7.586856294222621, 47.55905848882421], [7.586854787898446, 47.55905670998174], [7.586853507221471, 47.55905484990881], [7.586852478789774, 47.55905291756535], [7.586851689366682, 47.55905093095563], [7.586851165575205, 47.559048908033276], [7.58685090746525, 47.55904686678564], [7.586839168158648, 47.5587904705722], [7.586838078162859, 47.558670576583665], [7.586872948635559, 47.55865860656389], [7.587144268302412, 47.5586570470713]]], ""type"": ""Polygon""}";91;Begegnungszone;;Eisengasse / Marktplatz / Stadthausgasse;;2015
