politische_gemeinde;bfs_nr_gemeinde;bezirk_name;bezirk_nr;ortschaft;einwohner_total;einwohner_maenner;einwohner_frauen;einwohner_0_19;einwohner_20_39;einwohner_40_64;einwohner_65plus;einwohner_schweizer;einwohner_auslaender_total;einwohner_auslaender_deutsche;einwohner_evang;einwohner_kath;einwohner_uebrige
Märstetten;4941;Weinfelden;2015;Märstetten;2305;1160;1145;481;626;826;372;1914;391;159;921;551;833
Matzingen;4591;Frauenfeld;2012;Frauenfeld;88;46;42;20;23;26;19;x;x;x;48;18;22
Matzingen;4591;Frauenfeld;2012;Matzingen;2870;1468;1402;605;858;1001;406;x;x;x;845;959;1066
Müllheim;4831;Frauenfeld;2012;Müllheim Dorf;2995;1517;1478;613;726;1144;512;2478;517;140;1121;765;1109
Münchwilen;4746;Münchwilen;2014;Will;x;x;x;x;x;x;x;x;x;x;x;x;x
Münchwilen;4746;Münchwilen;2014;Eschlikon;85;42;43;26;19;29;11;x;x;x;39;27;19
Münchwilen;4746;Münchwilen;2014;St. Margarethen;1038;536;502;265;237;434;102;859;179;x;284;424;330
Münchwilen;4746;Münchwilen;2014;Münchwilen;4544;2246;2298;987;1269;1525;763;3546;998;158;1156;1741;1647
Münsterlingen;4691;Kreuzlingen;2013;Landschlacht;1455;706;749;x;321;566;x;991;464;283;490;471;494
Münsterlingen;4691;Kreuzlingen;2013;Münsterlingen;152;80;72;x;65;56;x;52;100;55;38;56;58
Münsterlingen;4691;Kreuzlingen;2013;Scherzingen;1888;944;944;369;473;717;329;1157;731;401;559;517;812
Neunforn;4601;Frauenfeld;2012;Oberneunforn;564;284;280;112;131;214;107;526;38;16;334;81;149
Neunforn;4601;Frauenfeld;2012;Wilen b. Neunforn;x;x;x;x;x;x;x;x;x;x;x;x;x
Neunforn;4601;Frauenfeld;2012;Niederneunforn;476;255;221;78;130;163;105;448;28;16;269;65;142
Pfyn;4841;Frauenfeld;2012;Dettighofen;441;214;227;85;112;174;70;390;51;14;174;103;164
Pfyn;4841;Frauenfeld;2012;Homburg;x;x;x;x;x;x;x;x;x;x;x;x;x
Pfyn;4841;Frauenfeld;2012;Pfyn;1624;812;812;371;368;631;254;1380;244;56;647;406;571
Raperswilen;4846;Kreuzlingen;2013;Raperswilen;413;212;201;81;95;158;79;369;44;23;227;72;114
Rickenbach;4751;Münchwilen;2014;Wilen b. Will;x;x;x;x;x;x;x;x;x;x;x;x;x
Rickenbach;4751;Münchwilen;2014;Schwarzenbach;x;x;x;x;x;x;x;x;x;x;x;x;x
Rickenbach;4751;Münchwilen;2014;Rickenbach b. Will;2798;1398;1400;539;843;937;479;1759;1039;110;418;1077;1303
Roggwil;4431;Arbon;2011;Freidorf;1287;654;633;312;295;495;185;1137;150;76;428;528;331
Roggwil;4431;Arbon;2011;Frasnacht;170;87;83;39;31;78;22;154;16;6;64;59;47
Roggwil;4431;Arbon;2011;Lömmenschwil;x;x;x;x;x;x;x;x;x;x;x;x;x
Roggwil;4431;Arbon;2011;Neukirch (Egnach);34;x;x;x;x;x;x;x;x;x;x;x;x
Roggwil;4431;Arbon;2011;Roggwil;1580;798;782;357;353;585;285;1426;154;62;636;521;423
Roggwil;4431;Arbon;2011;Stachen;x;x;x;x;x;x;x;x;x;x;x;x;x
Romanshorn;4436;Arbon;2011;Romanshorn;11236;5540;5696;2106;3048;3765;2317;7709;3527;784;2735;3303;5198
Salenstein;4851;Kreuzlingen;2013;Salenstein;508;250;258;95;70;248;95;368;140;120;195;130;183
Salenstein;4851;Kreuzlingen;2013;Fruthwilen;592;292;300;81;142;247;122;418;174;136;209;168;215
Salenstein;4851;Kreuzlingen;2013;Mannenbach-Salenstein;264;135;129;37;43;106;78;195;69;49;107;64;93
Salmsach;4441;Arbon;2011;Amriswil;x;x;x;x;x;x;x;x;x;x;x;x;x
Salmsach;4441;Arbon;2011;Salmsach;1435;736;699;291;393;515;236;1031;404;62;382;452;601
Salmsach;4441;Arbon;2011;Egnach;x;x;x;x;x;x;x;x;x;x;x;x;x
Schlatt;4546;Frauenfeld;2012;Schlatt;1771;870;901;371;399;698;303;1544;227;99;915;300;556
Schönholzerswilen;4756;Weinfelden;2015;Schönholzerswilen;846;440;406;228;218;295;105;783;63;28;400;276;170
Sirnach;4761;Münchwilen;2014;Busswil;833;425;408;186;168;366;113;746;87;21;196;419;218
Sirnach;4761;Münchwilen;2014;Littenheid;80;42;38;x;23;43;x;40;40;13;10;15;55
Sirnach;4761;Münchwilen;2014;Wiezikon b. Sirnach;617;322;295;x;159;234;x;579;38;10;191;233;193
Sirnach;4761;Münchwilen;2014;Sirnach;6253;3148;3105;1213;1821;2136;1083;4530;1723;209;1211;2470;2572
Sommeri;4446;Arbon;2011;Sommeri;608;304;304;129;180;197;102;509;99;40;177;265;166
Steckborn;4864;Frauenfeld;2012;Steckborn;3736;1912;1824;654;773;1409;900;2733;1003;449;1182;1093;1461
Stettfurt;4606;Frauenfeld;2012;Matzingen;x;x;x;x;x;x;x;x;x;x;x;x;x
Stettfurt;4606;Frauenfeld;2012;Stettfurt;1228;607;621;297;254;477;200;1126;102;44;561;308;359
Sulgen;4506;Weinfelden;2015;Kradolf;x;x;x;x;x;x;x;x;x;x;x;x;x
Sulgen;4506;Weinfelden;2015;Donzhausen;320;166;154;85;78;113;44;294;26;7;151;99;70
Sulgen;4506;Weinfelden;2015;Sulgen;3413;1716;1697;652;984;1178;599;2427;986;183;1036;971;1406
Sulgen;4506;Weinfelden;2015;Götighofen;168;85;83;31;31;72;34;146;22;14;78;45;45
Tägerwilen;4696;Kreuzlingen;2013;Kreuzlingen;60;29;31;13;12;24;11;35;25;16;12;23;25
Tägerwilen;4696;Kreuzlingen;2013;Tägerwilen;4705;2345;2360;1005;1153;1794;753;2971;1734;1155;1648;1311;1746
Thundorf;4611;Frauenfeld;2012;Frauenfeld;51;23;28;20;x;15;x;x;x;x;x;x;x
Thundorf;4611;Frauenfeld;2012;Lustdorf;202;108;94;43;65;59;35;188;14;9;139;20;43
Thundorf;4611;Frauenfeld;2012;Thundorf;1121;584;537;266;242;413;200;1028;93;35;572;267;282
Thundorf;4611;Frauenfeld;2012;Wetzikon;112;61;51;28;x;39;x;x;x;x;x;x;x
Tobel-Tägerschen;4776;Münchwilen;2014;Tobel;958;495;463;200;262;326;170;799;159;29;276;375;307
Tobel-Tägerschen;4776;Münchwilen;2014;Tägerschen;643;316;327;159;148;270;66;539;104;25;182;290;171
Uesslingen-Buch;4616;Frauenfeld;2012;Buch b. Frauenfeld;343;166;177;72;89;127;55;327;16;6;161;100;82
Uesslingen-Buch;4616;Frauenfeld;2012;Uesslingen;735;374;361;130;167;291;147;654;81;41;372;157;206
Uttwil;4451;Arbon;2011;Romanshorn;x;x;x;x;x;x;x;x;x;x;x;x;x
Uttwil;4451;Arbon;2011;Uttwil;1889;946;943;365;371;755;398;1545;344;192;681;531;677
Wagenhausen;4871;Frauenfeld;2012;Rheinklingen;136;74;62;39;21;44;32;130;6;x;95;9;32
Wagenhausen;4871;Frauenfeld;2012;Kaltenbach;689;333;356;151;152;271;115;564;125;60;315;119;255
Wagenhausen;4871;Frauenfeld;2012;Etzwilen;242;123;119;42;53;113;34;173;69;x;85;47;110
Wagenhausen;4871;Frauenfeld;2012;Wagenhausen;644;317;327;115;145;253;131;473;171;75;258;110;276
Wäldi;4701;Kreuzlingen;2013;Lipperswil;141;73;68;15;36;63;27;113;28;9;54;36;51
Wäldi;4701;Kreuzlingen;2013;Hattenhausen;69;35;34;19;11;24;15;x;x;x;53;8;8
Wäldi;4701;Kreuzlingen;2013;Hefenhausen;94;47;47;11;23;38;22;x;x;x;50;15;29
Wäldi;4701;Kreuzlingen;2013;Sonterswil;126;65;61;26;38;35;27;100;26;19;58;28;40
Wäldi;4701;Kreuzlingen;2013;Wäldi;332;177;155;76;71;131;54;270;62;40;130;75;127
Wäldi;4701;Kreuzlingen;2013;Engwilen;213;105;108;46;38;96;33;153;60;43;70;60;83
Wäldi;4701;Kreuzlingen;2013;Gunterswilen;74;34;40;18;11;33;12;63;11;8;31;12;31
Wäldi;4701;Kreuzlingen;2013;Raperswilen;x;x;x;x;x;x;x;x;x;x;x;x;x
Wängi;4781;Münchwilen;2014;Tuttwil;553;300;253;127;141;200;85;515;38;17;249;167;137
Wängi;4781;Münchwilen;2014;Wängi;4189;2151;2038;929;1011;1537;712;3537;652;135;1334;1636;1219
Warth-Weiningen;4621;Frauenfeld;2012;Warth;667;336;331;120;119;286;142;602;65;22;262;231;174
Warth-Weiningen;4621;Frauenfeld;2012;Weiningen;667;338;329;132;166;255;114;576;91;49;298;130;239
Weinfelden;4946;Weinfelden;2015;Bürglen;x;x;x;x;x;x;x;x;x;x;x;x;x
Weinfelden;4946;Weinfelden;2015;Weinfelden;11559;5867;5692;2220;3432;3650;2257;8899;2660;507;4088;3266;4205
Wigoltingen;4951;Weinfelden;2015;Engwang;124;67;57;31;27;49;17;116;8;6;58;15;51
Wigoltingen;4951;Weinfelden;2015;Märstetten;49;23;26;x;14;24;x;x;x;x;29;7;13
Wigoltingen;4951;Weinfelden;2015;Wigoltingen;1476;746;730;369;340;542;225;1217;259;67;631;414;431
Wigoltingen;4951;Weinfelden;2015;Bonau;281;154;127;64;65;112;40;246;35;10;130;53;98
Wigoltingen;4951;Weinfelden;2015;Müllheim-Wigoltingen;110;66;44;18;24;56;12;79;31;x;29;44;37
Wigoltingen;4951;Weinfelden;2015;Wagerswil;142;74;68;26;38;57;21;134;8;x;70;31;41
Wigoltingen;4951;Weinfelden;2015;Engwilen;x;x;x;x;x;x;x;x;x;x;x;x;x
Wigoltingen;4951;Weinfelden;2015;Illhart;219;111;108;23;42;96;58;174;45;36;86;52;81
Wigoltingen;4951;Weinfelden;2015;Lamperswil;55;29;26;x;15;17;x;x;x;x;23;11;21
Wilen;4786;Münchwilen;2014;Wilen b. Wil;2515;1276;1239;628;608;899;380;2193;322;83;581;1236;698
Wuppenau;4791;Weinfelden;2015;Hosenruck;431;219;212;94;85;183;69;408;23;11;137;210;84
Wuppenau;4791;Weinfelden;2015;Wuppenau;687;347;340;197;128;247;115;632;55;17;158;362;167
Zihlschlacht-Sitterdorf;4511;Weinfelden;2015;Muolen;27;11;16;8;x;11;x;x;x;x;11;10;6
Zihlschlacht-Sitterdorf;4511;Weinfelden;2015;Sitterdorf;925;472;453;182;261;316;166;762;163;49;290;327;308
Zihlschlacht-Sitterdorf;4511;Weinfelden;2015;Zihlschlacht;1341;706;635;324;359;464;194;1190;151;79;614;347;380
Zihlschlacht-Sitterdorf;4511;Weinfelden;2015;Bischofszell;143;77;66;28;x;55;x;x;x;x;60;42;41
