geo_point_2d;geo_shape;bezeichnug;strasse;eurokey;plz;ort;www_link;gebuehr;kategorie;typ;zusatz;status
47.56193952425803, 7.5937440231593785;"{""coordinates"": [7.593744023159378, 47.56193952425803], ""type"": ""Point""}";Claraplatz 1a;Claraplatz 1a;Ja;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.56192476432507, 7.593751713513805;"{""coordinates"": [7.593751713513805, 47.56192476432507], ""type"": ""Point""}";Claraplatz 1a;Claraplatz 1a;Nein;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nur Pissoir;-;in Sanierung
47.55827212334894, 7.581436626971323;"{""coordinates"": [7.581436626971323, 47.55827212334894], ""type"": ""Point""}";Spalenvorstadt;Spalenvorstadt;Nein;4051;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nur Pissoir;-;in Betrieb
47.55117864193171, 7.594380602354859;"{""coordinates"": [7.594380602354859, 47.55117864193171], ""type"": ""Point""}";Aeschengraben 3;Aeschengraben 3;Nein;4051;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nur Pissoir;-;in Betrieb
47.5478838820483, 7.5900233450027335;"{""coordinates"": [7.590023345002733, 47.5478838820483], ""type"": ""Point""}";Euroville Seite Bhf.;Euroville Seite Bhf.;Ja;4051;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.566325678939826, 7.591865209399954;"{""coordinates"": [7.591865209399954, 47.566325678939826], ""type"": ""Point""}";Feldbergstrasse 60;Feldbergstrasse 60;Nein;4057;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nur Pissoir;-;in Betrieb
47.55888011319137, 7.612916945041907;"{""coordinates"": [7.612916945041907, 47.55888011319137], ""type"": ""Point""}";Tinguely Museum;Grenzacherstrasse 204;Nein;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;Dusche;-;in Betrieb
47.53907179907641, 7.616194582248438;"{""coordinates"": [7.616194582248438, 47.53907179907641], ""type"": ""Point""}";Brüglingerstrasse 9;Brüglingerstrasse 9;Ja;4053;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.571637497507844, 7.583580714625221;"{""coordinates"": [7.583580714625221, 47.571637497507844], ""type"": ""Point""}";Rheinuferpromenade;Rheinuferpromenade (ehem. Elsässerrheinweg);Ja;4056;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenpflichtig;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.571244256404114, 7.578626680851374;"{""coordinates"": [7.578626680851374, 47.571244256404114], ""type"": ""Point""}";Voltamatte;Voltamatte / Elsässerstrasse.;Ja;4056;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenpflichtig;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.59046125551862, 7.655115869154612;"{""coordinates"": [7.655115869154612, 47.59046125551862], ""type"": ""Point""}";Gottesacker;Friedhofweg;Nein;4125;Riehen;;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.57502936987486, 7.6514364732574975;"{""coordinates"": [7.651436473257498, 47.57502936987486], ""type"": ""Point""}";Bettingerstrasse;Bettingerstrasse;Nein;4125;Riehen;;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.57277838316147, 7.629418775307784;"{""coordinates"": [7.629418775307784, 47.57277838316147], ""type"": ""Point""}";Rauracherstrasse;Rauracherstrasse 2;Nein;4125;Riehen;;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.56681895415869, 7.5817985325226065;"{""coordinates"": [7.581798532522606, 47.56681895415869], ""type"": ""Point""}";Elsässerstrasse 2;Elsässerstrasse 2;Ja;4056;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.57414552682176, 7.604344454606401;"{""coordinates"": [7.604344454606401, 47.57414552682176], ""type"": ""Point""}";Erlenparkweg;Erlenparkweg;Nein;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.5749691601343, 7.601047246562723;"{""coordinates"": [7.601047246562723, 47.5749691601343], ""type"": ""Point""}";Freiburgerstrasse 4;Freiburgerstrasse 4;Ja;4057;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.572405222419434, 7.594970780786621;"{""coordinates"": [7.594970780786621, 47.572405222419434], ""type"": ""Point""}";Gottesackerstrasse 27;Gottesackerstrasse 27;Nein;4057;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.56546175658717, 7.573609312094138;"{""coordinates"": [7.573609312094138, 47.56546175658717], ""type"": ""Point""}";Kannenfeldplatz 19;Kannenfeldplatz 19;Nein;4056;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.54701233335501, 7.597553157804826;"{""coordinates"": [7.597553157804826, 47.54701233335501], ""type"": ""Point""}";Lindenhofstrasse 43;Lindenhofstrasse 43;Nein;4052;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.56071016136573, 7.590591531189302;"{""coordinates"": [7.590591531189302, 47.56071016136573], ""type"": ""Point""}";Mittlere Rheinbrücke KB;Mittlere Rheinbrücke KB;Nein;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nur Pissoir;-;in Sanierung
47.55990214287054, 7.588343093241674;"{""coordinates"": [7.588343093241674, 47.55990214287054], ""type"": ""Point""}";Schifflände;Schifflände 4;Nein;4051;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;nicht rollstuhlgängig;-;in Betrieb
47.55724900378668, 7.589478891495758;"{""coordinates"": [7.589478891495758, 47.55724900378668], ""type"": ""Point""}";Schlüsselberg 1;Schlüsselberg 1;Nein;4001;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nur Pissoir;-;in Betrieb
47.543165064709484, 7.589226708669004;"{""coordinates"": [7.589226708669004, 47.543165064709484], ""type"": ""Point""}";Solothurnerstrasse 66;Solothurnerstrasse 66;Nein;4053;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.54900137682102, 7.558928518852331;"{""coordinates"": [7.558928518852331, 47.54900137682102], ""type"": ""Point""}";Steinbühlplatz 1;Steinbühlplatz 1;Nein;4054;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.56455576263471, 7.571560659950659;"{""coordinates"": [7.571560659950659, 47.56455576263471], ""type"": ""Point""}";Strassburgerallee 18;Strassburgerallee 18;Ja;4055;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.57809199586103, 7.623977150272822;"{""coordinates"": [7.623977150272822, 47.57809199586103], ""type"": ""Point""}";Wildschutzweg 30 (Schliessi);Wildschutzweg 30;Ja;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.55478101332114, 7.58903449474126;"{""coordinates"": [7.58903449474126, 47.55478101332114], ""type"": ""Point""}";Barfüsserplatz links;Barfüsserplatz links;Nein;4051;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenpflichtig;selbstreinigend;nicht rollstuhlgängig;-;in Betrieb
47.5636169738351, 7.596021329583649;"{""coordinates"": [7.596021329583649, 47.5636169738351], ""type"": ""Point""}";Hammerstrasse 81;Hammerstrasse 81;Ja;4057;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.551619979878794, 7.587212756434481;"{""coordinates"": [7.587212756434481, 47.551619979878794], ""type"": ""Point""}";Heuwaage;Heuwaage (Lohweg 2);Ja;4051;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.56322690639352, 7.591741471834984;"{""coordinates"": [7.591741471834984, 47.56322690639352], ""type"": ""Point""}";Klybeckstrasse;Klybeckstrasse;Ja;4057;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.56387902736567, 7.601696138388448;"{""coordinates"": [7.601696138388448, 47.56387902736567], ""type"": ""Point""}";Messeplatz;Messeplatz;Ja;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.559912627771524, 7.588330473566139;"{""coordinates"": [7.588330473566139, 47.559912627771524], ""type"": ""Point""}";Schifflände 4;Schifflände 4;Ja;4051;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.5582865147627, 7.6094221091113825;"{""coordinates"": [7.609422109111383, 47.5582865147627], ""type"": ""Point""}";Solitude;Grenzacherstrasse 204;Nein;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.5660879551703, 7.58680908261868;"{""coordinates"": [7.58680908261868, 47.5660879551703], ""type"": ""Point""}";Leuengasse;Unterer Rheinweg 86 / Leuengasse;Ja;4057;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.57044663360507, 7.586433057701938;"{""coordinates"": [7.586433057701938, 47.57044663360507], ""type"": ""Point""}";Unt. Rheinweg / Dreirosen;Unterer Rheinweg;Nein;4057;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;saisonale Anlage;in Betrieb
47.562455160476524, 7.626855855651848;"{""coordinates"": [7.626855855651848, 47.562455160476524], ""type"": ""Point""}";Grenzacherstrasse 488;Grenzacherstrasse 488;Nein;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;-;in Reparatur
