geo_point_2d;geo_shape;bezeichnug;strasse;eurokey;plz;ort;www_link;gebuehr;kategorie;typ;zusatz;status
47.55806230845399, 7.586451882929111;"{""coordinates"": [7.586451882929111, 47.55806230845399], ""type"": ""Point""}";Andreasplatz 3;Andreasplatz 3;Nein;4051;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.55478532989567, 7.589006939379867;"{""coordinates"": [7.589006939379867, 47.55478532989567], ""type"": ""Point""}";Barfüsserplatz mitte;Barfüsserplatz mitte;Nein;4051;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenpflichtig;selbstreinigend;nicht rollstuhlgängig;-;in Betrieb
47.547272622709094, 7.622421639549488;"{""coordinates"": [7.622421639549488, 47.547272622709094], ""type"": ""Point""}";Birsstrasse;Birsstrasse 202;Ja;4059;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.57046030352757, 7.589835240921761;"{""coordinates"": [7.589835240921761, 47.57046030352757], ""type"": ""Point""}";Dreirosen Kleinbasel;Dreirosenanlage;Ja;4057;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.52534493366174, 7.5917259456570765;"{""coordinates"": [7.591725945657076, 47.52534493366174], ""type"": ""Point""}";Auf der Alp 25;Auf der Alp 25;Nein;4059;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.567236964705, 7.592616774005753;"{""coordinates"": [7.592616774005753, 47.567236964705], ""type"": ""Point""}";Matthäuskirchplatz;Matthäuskirchplatz;Ja;4057;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.55506213551588, 7.603808180185949;"{""coordinates"": [7.603808180185949, 47.55506213551588], ""type"": ""Point""}";Mühlegraben 2;Mühlegraben 2;Ja;4052;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.55604105131322, 7.591627803309611;"{""coordinates"": [7.591627803309611, 47.55604105131322], ""type"": ""Point""}";Münsterplatz 14;Münsterplatz 14;Ja;4051;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.55734750171282, 7.596627247612966;"{""coordinates"": [7.596627247612966, 47.55734750171282], ""type"": ""Point""}";Oberer Rheinweg;Oberer Rheinweg;Ja;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.55279546242919, 7.573385838094108;"{""coordinates"": [7.573385838094108, 47.55279546242919], ""type"": ""Point""}";Schützenmattpark;Schützenmattpark;Ja;4054;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.565770062599306, 7.61859199230738;"{""coordinates"": [7.61859199230738, 47.565770062599306], ""type"": ""Point""}";Bäumlihofstrasse 151;Bäumlihofstrasse 151;Nein;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.55821062776366, 7.597811906855636;"{""coordinates"": [7.597811906855636, 47.55821062776366], ""type"": ""Point""}";Wettsteinplatz;Wettsteinplatz;Ja;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.57924532643765, 7.5911602739961905;"{""coordinates"": [7.591160273996191, 47.57924532643765], ""type"": ""Point""}";Giessliweg;Giessliweg 164;Ja;4057;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.56349714201055, 7.5939630120959905;"{""coordinates"": [7.59396301209599, 47.56349714201055], ""type"": ""Point""}";Claramatte;Claramatte;Ja;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.55302263979324, 7.590916666823951;"{""coordinates"": [7.590916666823951, 47.55302263979324], ""type"": ""Point""}";Elisabethenkirche;Elisabethenkirche;Nein;4051;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nur Pissoir;saisonale Anlage;in Betrieb
47.55829589483156, 7.5814577893535136;"{""coordinates"": [7.581457789353514, 47.55829589483156], ""type"": ""Point""}";Spalenvorstadt;Spalenvorstadt;Ja;4051;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.551170274210996, 7.594403427544212;"{""coordinates"": [7.594403427544212, 47.551170274210996], ""type"": ""Point""}";Aeschengraben 3;Aeschengraben 3;Ja;4051;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
47.532528486494435, 7.593645672263436;"{""coordinates"": [7.593645672263436, 47.532528486494435], ""type"": ""Point""}";Bruderholzallee 155;Bruderholzallee 155;Nein;4059;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
