geo_point_2d;geo_shape;objid;objectid;name;infos;zufahrt
47.552906172258766, 7.588370850681188;"{""coordinates"": [[[7.58833034516241, 47.554144992067634], [7.589076066458178, 47.5540314662291], [7.58905728127325, 47.55350793768732], [7.589317312046829, 47.55348873291627], [7.589214663744928, 47.55305282183879], [7.589112717548518, 47.55274764280394], [7.589065327464185, 47.55263831303708], [7.588715284573465, 47.55276736590122], [7.588468402715072, 47.55250004762384], [7.588105283098264, 47.552129251955485], [7.587762657107106, 47.55174063924944], [7.58730386052793, 47.55162375800189], [7.587137007657439, 47.55192137601556], [7.587399960205023, 47.552095213631226], [7.587298658199993, 47.55217463176933], [7.587228994340773, 47.55228046909219], [7.587344868619736, 47.55233887960114], [7.58736822691911, 47.5522828367354], [7.587416023111393, 47.55221976553565], [7.587487348403334, 47.55215729383025], [7.587590377453711, 47.552311440959876], [7.587722608764292, 47.55250413381623], [7.587878588491844, 47.55267559784186], [7.588156744544008, 47.55292034790709], [7.588339839375014, 47.553081451681294], [7.588443713140291, 47.55322262794089], [7.588508093483326, 47.553369574913454], [7.588558466366109, 47.55358567477238], [7.588322825824823, 47.55376579855141], [7.588316488607368, 47.553770492430246], [7.588310324349048, 47.55377527602406], [7.58830431978982, 47.553780158343656], [7.588298488214953, 47.55378513937198], [7.588292829599259, 47.55379021011533], [7.588287343917565, 47.553795361580065], [7.588282031195088, 47.55380060275989], [7.588276904691918, 47.55380592464401], [7.588271964408091, 47.5538113272326], [7.588267210318437, 47.55381680153178], [7.588262642423002, 47.55382234754172], [7.588258274032283, 47.55382797423906], [7.588254091785473, 47.55383365465974], [7.588250109018276, 47.55383940677409], [7.588246312420282, 47.55384522160552], [7.588242728562072, 47.55385109911996], [7.588239344108056, 47.55385702134706], [7.588236159083489, 47.55386299728057], [7.588233186773689, 47.55386902690334], [7.588230427128354, 47.55387509222805], [7.588227866912643, 47.5538812112592], [7.58822551933634, 47.55388735699866], [7.588223384449882, 47.55389354743372], [7.588221462202967, 47.55389976457705], [7.588219752595669, 47.55390600842868], [7.588218255653248, 47.55391228798232], [7.58821697130022, 47.55391857625687], [7.588215912872307, 47.55392489122261], [7.588215067033943, 47.5539312149093], [7.588214433810379, 47.553937556310565], [7.588214026461805, 47.55394390641566], [7.588213831677812, 47.553950256248], [7.588213849458485, 47.55395660580754], [7.588214093114384, 47.55396296407089], [7.588214549284736, 47.55396930407403], [7.588215231305277, 47.553975643787304], [7.588216125840426, 47.55398196524035], [7.588217232915438, 47.55398827742684], [7.588218565765324, 47.55399456234237], [7.588220097844738, 47.55400082901469], [7.588221855724361, 47.55400707740966], [7.588223826068586, 47.554013289557], [7.58822600887749, 47.55401946545657], [7.588228404151137, 47.55402560510848], [7.588231011889595, 47.554031708512646], [7.588233818807624, 47.554037775686105], [7.588236838140226, 47.554043788624426], [7.588240069912636, 47.554049756321234], [7.588243487529112, 47.55405566981694], [7.58824711756033, 47.55406152907742], [7.58825095998117, 47.55406732510898], [7.5882549749609, 47.5540730669564], [7.588259202305162, 47.554078736581104], [7.588263628753862, 47.554084342993875], [7.588268227711201, 47.55408987723503], [7.588273025747885, 47.55409533927053], [7.588278009578609, 47.55410072911727], [7.588283179153018, 47.55410602878792], [7.588288521211017, 47.55411124729321], [7.58829404903796, 47.554116384615966], [7.588299749323336, 47.55412143177963], [7.588305622067169, 47.55412638878413], [7.588311653984147, 47.554131255646475], [7.588317858334406, 47.5541360233559], [7.58831589054163, 47.55413546827098], [7.588313856649832, 47.554135030189535], [7.588311783254875, 47.55413471807122], [7.588309670331541, 47.55413452292219], [7.588307531190356, 47.554134453719236], [7.588305405662133, 47.55413450141741], [7.588303293797247, 47.554134684004126], [7.588301208830621, 47.55413498347492], [7.588299164072788, 47.554135408806424], [7.588297186044008, 47.554135941977144], [7.588295288080014, 47.554136600957364], [7.588293483390534, 47.55413735874896], [7.588291772000758, 47.55413822434564], [7.588290180456168, 47.55413918871958], [7.588288721991711, 47.55414023386632], [7.588287396632572, 47.554141368779526], [7.588286217613716, 47.55414257545479], [7.588285211480613, 47.55414384486425], [7.588284351637406, 47.55414516804833], [7.58828367791493, 47.55414653596215], [7.588283177002656, 47.55414793962906], [7.588282862135551, 47.55414936104457], [7.588282720028278, 47.55415080022575], [7.588282763941004, 47.554152248161834], [7.58828299379815, 47.55415367787169], [7.588283409624928, 47.554155098349064], [7.588283998060414, 47.55415648262979], [7.588284759104632, 47.554157830714004], [7.588285692707192, 47.55415912461414], [7.588286785582752, 47.554160364347325], [7.588288037680935, 47.554161531926106], [7.588289435716391, 47.55416262736766], [7.588290966353382, 47.55416363270144], [7.588292616306574, 47.554164547944545], [7.588294372265399, 47.5541653641204], [7.588296234204669, 47.554166072235205], [7.588298175528471, 47.55416666332947], [7.588300182976661, 47.55416714641379], [7.588302243238676, 47.55416751251167], [7.588304343003948, 47.554167752646414], [7.588306468987126, 47.55416786683503], [7.588308607902837, 47.55416785509462], [7.588310733205585, 47.554167726453024], [7.588312831584794, 47.55416747193351], [7.588314876469768, 47.554167091570356], [7.588316881171035, 47.55416659434008], [7.588318819117887, 47.554165980276856], [7.588320663764838, 47.55416525840855], [7.588322415137063, 47.55416443772879], [7.588324046638679, 47.554163509278055], [7.588325558320083, 47.55416249104377], [7.588326936921125, 47.554161392036704], [7.588328155871134, 47.554160212290974], [7.588329241765992, 47.554158960766216], [7.588330154800095, 47.554157655500944], [7.588330894998644, 47.554156305488995], [7.588331462386866, 47.55415491972399], [7.588331843679417, 47.554153498223044], [7.588332052212086, 47.55415205895646], [7.588332074749935, 47.55415061992881], [7.588331911292987, 47.55414918114], [7.588331575151805, 47.55414775156673], [7.588331039831335, 47.55414635822426], [7.58833034516241, 47.554144992067634]]], ""type"": ""Polygon""}";2;2;Kernzone mit eingeschränktem Motorfahrzeugverkehr;http://www.mobilitaet.bs.ch/gesamtverkehr/verkehrskonzepte/verkehrskonzept-innenstadt.html;http://www.polizei.bs.ch/verkehr/strassenverkehr/zufahrt-innenstadt.html
47.55256711897622, 7.593358332937908;"{""coordinates"": [[[7.592234657243625, 47.55374369242757], [7.592313484716785, 47.553699555129164], [7.592404435923121, 47.553644249535914], [7.592484323614235, 47.55357625031538], [7.592900086373223, 47.55315343532057], [7.593433310481811, 47.552598281666064], [7.593583692919444, 47.55245960504954], [7.593804685213941, 47.55226190717833], [7.594052659471978, 47.55207403902759], [7.594702074103293, 47.55158203127071], [7.594493473238371, 47.551462405787206], [7.593902603314644, 47.551903762539396], [7.593615324165931, 47.55212075046315], [7.593400913098953, 47.55231110933649], [7.593230810962781, 47.55247109109582], [7.592273770883573, 47.55345335876245], [7.59214563238498, 47.553586500148946], [7.592234657243625, 47.55374369242757]]], ""type"": ""Polygon""}";5;3;Kernzone mit eingeschränktem Motorfahrzeugverkehr;http://www.mobilitaet.bs.ch/gesamtverkehr/verkehrskonzepte/verkehrskonzept-innenstadt.html;http://www.polizei.bs.ch/verkehr/strassenverkehr/zufahrt-innenstadt.html
47.55780823734413, 7.589680595710025;"{""coordinates"": [[[7.588712113188725, 47.559766726516294], [7.590587656652268, 47.56069800690559], [7.590133958796541, 47.56110119239917], [7.589719706773355, 47.561505413167005], [7.589365366723769, 47.561869281064546], [7.58901967245597, 47.56223805623337], [7.588810592378038, 47.562468672822426], [7.588396983752008, 47.56297705299717], [7.588689781083977, 47.563078161534506], [7.589378310418787, 47.56223710734243], [7.590644907215331, 47.56264804019021], [7.590705188552815, 47.56272591008893], [7.590839017541052, 47.56277144147323], [7.590943080012795, 47.562802082035184], [7.59183883829085, 47.56307214054128], [7.59193592448512, 47.56291251836056], [7.591293363750177, 47.56272671514506], [7.591472622055777, 47.56247002443406], [7.591330545400757, 47.56242576370249], [7.591289038729172, 47.56249666157018], [7.5910097200818, 47.56241196448593], [7.591054416779007, 47.56234132336292], [7.591085219962861, 47.56225855887601], [7.591069516206002, 47.562170809733765], [7.591457504234958, 47.56225761267938], [7.591908524107341, 47.562379685751694], [7.592011742142816, 47.562227412262246], [7.592384407901762, 47.56233134730826], [7.592624358249298, 47.56242549153607], [7.592724581533498, 47.562345809655305], [7.592914932361968, 47.56220608328055], [7.593113094995786, 47.56204792709725], [7.593399786794011, 47.561787835153524], [7.59354792987627, 47.56188960012245], [7.594350448530965, 47.56215514940911], [7.59453361553815, 47.56190949294944], [7.593277208028621, 47.56152974322458], [7.593614164861338, 47.561197526303246], [7.59387895604481, 47.560938658370574], [7.593992051790297, 47.56083225583658], [7.592787381882517, 47.56050611523917], [7.593170315264311, 47.560181015652624], [7.593316863548526, 47.56006419062888], [7.593193669903124, 47.55998692710004], [7.593515930585021, 47.55973086164161], [7.593834761662871, 47.55948901890707], [7.593909105456806, 47.559394629651486], [7.594289494210419, 47.55911785290291], [7.594495554964569, 47.5589852707641], [7.594823026513404, 47.55888419250741], [7.595083657385064, 47.55883024027493], [7.595386879556558, 47.55878368597134], [7.595580298164619, 47.558781294119036], [7.595558443466549, 47.55871857430524], [7.595527108154583, 47.55866238770433], [7.59532059249732, 47.558457536585344], [7.59493546474158, 47.558110491078835], [7.595297321114801, 47.55794804605672], [7.595752528445892, 47.55775521914646], [7.596117325606822, 47.55761849863895], [7.596629211067492, 47.557436321162335], [7.596881277974989, 47.55733797439318], [7.597027681789275, 47.55728085412958], [7.597387002072767, 47.55718107430282], [7.597283920576894, 47.55704887189814], [7.597108052974667, 47.55709389102611], [7.596918571677586, 47.557145044119146], [7.596763407538789, 47.55719598844759], [7.596600332213807, 47.55724952449364], [7.596078691400947, 47.557434521083366], [7.595682164963796, 47.55757929766243], [7.595246352789374, 47.557752608828125], [7.594657834906709, 47.55801129352826], [7.594142113032556, 47.55825359044372], [7.593722875289141, 47.55846927014269], [7.593203364651265, 47.55875516046995], [7.59266098704974, 47.559079598787065], [7.592058213041297, 47.55947743988557], [7.591548760519393, 47.559858067303345], [7.591116211727642, 47.56020369619001], [7.590751915302327, 47.5605222891647], [7.58890198759874, 47.55960832725607], [7.588849333519389, 47.559528494872254], [7.588898315560754, 47.55949324828766], [7.588948036222269, 47.559451372353934], [7.589017702832941, 47.559391573153434], [7.589089319321104, 47.55933538687038], [7.589050669312373, 47.55926968362405], [7.589332060957044, 47.55907892298482], [7.589630939407532, 47.55883777412223], [7.58960229970401, 47.5588023399596], [7.589775030926708, 47.558691781058855], [7.59006756983294, 47.558423325297106], [7.590312306755322, 47.5582924451057], [7.590636815605056, 47.55809210973202], [7.590846639566251, 47.557949519113336], [7.590979554145471, 47.557864984262274], [7.591104294218759, 47.557793356959834], [7.591187561426523, 47.55774287411237], [7.591274735394691, 47.55768800614027], [7.591581414946151, 47.55750906951707], [7.591960398814082, 47.55728951120709], [7.592577525224321, 47.55706254125323], [7.592658475685797, 47.55707110425369], [7.592805352098402, 47.556992286822755], [7.593117539187412, 47.55679142105796], [7.593188995860571, 47.55672863098767], [7.593250763106695, 47.556650780227606], [7.593323119798046, 47.556550233175756], [7.593424412242629, 47.556476907656936], [7.593560607189792, 47.55639920067088], [7.593716282927526, 47.55634117287489], [7.593813000381679, 47.556316868961005], [7.593860654283195, 47.55629307102392], [7.593951043616364, 47.55623089380488], [7.594074592703894, 47.5561453335399], [7.594376590809845, 47.55593458478636], [7.595047415994252, 47.55564766742106], [7.595183927310755, 47.55555251921227], [7.594556765222046, 47.55474878009372], [7.594379547577836, 47.55461606260713], [7.592953993574802, 47.554186547340805], [7.592813646016421, 47.554144930195], [7.592325484274266, 47.55399142226972], [7.592189926138277, 47.55394716288303], [7.592086550111611, 47.55390457877008], [7.591861292457372, 47.55379637463985], [7.58997044031962, 47.554051398663475], [7.589935230734073, 47.553961102230545], [7.588437301022255, 47.55418591108336], [7.587945975290436, 47.554260137310855], [7.587940304297501, 47.55426081011221], [7.587934660051131, 47.55426154583523], [7.587929016005703, 47.554262353507674], [7.58792341196703, 47.55426321509101], [7.587917821414623, 47.554264148606734], [7.587912257633847, 47.55426515403791], [7.587906720574396, 47.55426621339697], [7.587901210286528, 47.55426734467144], [7.587895726719957, 47.554268529873845], [7.587890283210303, 47.55426978697466], [7.587884866447046, 47.554271106997156], [7.587879476405037, 47.55427248094764], [7.587874139705264, 47.554273926779494], [7.587868829726716, 47.554275426539334], [7.587863559804997, 47.55427699819758], [7.587858329889841, 47.55427862376683], [7.587853140006357, 47.55428031224076], [7.587847990129415, 47.554282054625695], [7.587842893594616, 47.55428386889211], [7.587837837041209, 47.55428572807573], [7.587832833804804, 47.55428765014713], [7.587827883885383, 47.55428963510623], [7.587822973972441, 47.55429167397635], [7.587818117376468, 47.55429377573422], [7.587813327332595, 47.554295922375445], [7.587808577320287, 47.554298131921406], [7.58780389388519, 47.5543003953444], [7.587799263741898, 47.554302712661475], [7.587794700150685, 47.55430507486187], [7.587790189876394, 47.55430749995009], [7.58778574617928, 47.55430997891537], [7.587781355748848, 47.55431250278101], [7.587777045180966, 47.55431508050674], [7.587772787879758, 47.55431770313285], [7.587768597155719, 47.554320379636096], [7.587764486269122, 47.554323101005735], [7.587760441934582, 47.55432586725877], [7.587756464177198, 47.55432868738891], [7.587752552971874, 47.55433155240252], [7.587748721603997, 47.554334462282554], [7.587744970048457, 47.55433740803532], [7.587741285070089, 47.55434040766524], [7.587737679904071, 47.554343443167895], [7.587734154575519, 47.554346523537006], [7.587730709059321, 47.554349639778906], [7.587727330095206, 47.55435280090429], [7.587724044228856, 47.55435599788541], [7.58772083817489, 47.5543592307393], [7.587717711958426, 47.55436250845976], [7.587714678814643, 47.55436581304227], [7.587711712197881, 47.55436915351457], [7.58770883867893, 47.55437252984272], [7.587706058257812, 47.55437594202663], [7.587703357624036, 47.55437938108972], [7.587700750088108, 47.55438285600863], [7.587698222339553, 47.55438635780661], [7.587695787663767, 47.55438988646676], [7.587693446085886, 47.55439345098281], [7.587691184270305, 47.55439703338421], [7.587689028812953, 47.55440064263084], [7.587686953143044, 47.55440427875657], [7.587684970520886, 47.55440793275077], [7.587683094282108, 47.554411622583864], [7.587681297780623, 47.55441532130868], [7.587277433916448, 47.55525109463009], [7.587380236496485, 47.555274266264625], [7.587376165310453, 47.55528173626256], [7.587371961166814, 47.555289170455026], [7.587367637351156, 47.55529656882508], [7.587363180602845, 47.55530394038333], [7.587358590871753, 47.55531126714239], [7.58735388146852, 47.555318558078966], [7.587349039107457, 47.55532581320999], [7.587344077074164, 47.555333032518554], [7.587338982057923, 47.555340207027854], [7.587333780655009, 47.55534734569764], [7.587328432958401, 47.555354430591386], [7.587322978900082, 47.55536148863933], [7.587317391833628, 47.55536849289424], [7.587311685069687, 47.55537545233281], [7.587305858608225, 47.555382366955065], [7.587299925734865, 47.555389236744034], [7.587293859853234, 47.55539605273993], [7.587287674273995, 47.55540282391943], [7.587281382282764, 47.555409550265566], [7.587274957283181, 47.555416222818565], [7.587268425846538, 47.55542284154448], [7.587261787972806, 47.55542940644329], [7.587255030376306, 47.555435917531916], [7.587248153082039, 47.55544238380408], [7.587241169325606, 47.55544878725535], [7.587234079106983, 47.55545512788573], [7.587226869190532, 47.55546142369961], [7.587219552811873, 47.55546765669251], [7.587212143281673, 47.5554738358413], [7.587204613978533, 47.55547994319232], [7.587196978263182, 47.555486005709795], [7.587189236060558, 47.555491996412556], [7.587181400681341, 47.55549792427736], [7.587173445579177, 47.55550379833178], [7.587165410561084, 47.555509600537526], [7.587157255795026, 47.55551533993915], [7.587149007852362, 47.55552101650275], [7.587140666733086, 47.55552663022828], [7.587132232412203, 47.55553217212204], [7.587123691604027, 47.55553764220094], [7.587115057619246, 47.55554304944166], [7.58710634371856, 47.55554838483368], [7.58709752335559, 47.55555365740446], [7.587088609766042, 47.55555884914964], [7.587079616285604, 47.5555639780397], [7.587070529578624, 47.55556902610414], [7.58706136298077, 47.55557401131342], [7.587052103156386, 47.55557891569707], [7.587042763416181, 47.55558374823178], [7.587033330474473, 47.55558850893449], [7.587023817591978, 47.555593188794525], [7.587014238079418, 47.5555977967887], [7.587004565365404, 47.55560233295085], [7.586994812685686, 47.555606779276566], [7.586984993400955, 47.55561116273001], [7.586975094150574, 47.55561545634708], [7.586965114959558, 47.55561966912133], [7.586955069138621, 47.55562381002962], [7.586944956662808, 47.55562787007822], [7.586934777507186, 47.55563184027337], [7.586924518436012, 47.5556357386194], [7.586914192710056, 47.55563955610567], [7.58690380030439, 47.55564328373847], [7.586893354529732, 47.55564693049457], [7.586176482203549, 47.55588298129828], [7.585786379645994, 47.55601650073776], [7.585402197473202, 47.55616337609086], [7.584673116232938, 47.556463036584866], [7.584202172155051, 47.55666428476576], [7.584197463500784, 47.55666717763332], [7.584192834733391, 47.55667013335712], [7.584188299138846, 47.556673151920506], [7.584183856717139, 47.55667623332357], [7.584179494157792, 47.556679368589094], [7.584175224746796, 47.55668255770062], [7.584171048508645, 47.55668580965174], [7.584166978704825, 47.556689115432256], [7.584162988738879, 47.55669246608166], [7.584159105231777, 47.55669587955412], [7.584155314848542, 47.5566993378789], [7.584151630899671, 47.55670285003307], [7.584148053360668, 47.556706407023], [7.584144568945571, 47.55671000886523], [7.584141190964862, 47.5567136645369], [7.584137932655546, 47.55671735603407], [7.584134767470174, 47.556721092383555], [7.584131721980724, 47.556724873552255], [7.584128782876745, 47.55672869056301], [7.584125950158231, 47.55673254341586], [7.584123223825211, 47.55673643211078], [7.584120617188196, 47.55674036562496], [7.584118130198209, 47.55674432597093], [7.584115762879772, 47.55674832214248], [7.584113501922416, 47.55675234516244], [7.584111360612161, 47.556756395014204], [7.584109325687524, 47.55676048070814], [7.584107423696036, 47.556764593217366], [7.584105641327231, 47.55676872356468], [7.584103965319615, 47.556772880760484], [7.584102422220739, 47.55677705577795], [7.584100998744627, 47.55678124863348], [7.584099694891303, 47.55678545932728], [7.584098510685286, 47.55678969685296], [7.584097459363624, 47.55679394320653], [7.58409651435434, 47.55679819842117], [7.584095702253967, 47.556802471457445], [7.584095023038048, 47.55680675332164], [7.584094450110089, 47.556811035053165], [7.584094010091139, 47.5568153346064], [7.584093702932235, 47.55681963399379], [7.584093515371899, 47.55682394222569], [7.584093447361171, 47.55682824131471], [7.584093498949063, 47.556832549248206], [7.584093683397128, 47.55683685701595], [7.584093987394898, 47.55684115564076], [7.584094424252906, 47.55684545409982], [7.584094980660684, 47.55684974341603], [7.58409565661824, 47.55685402358928], [7.584096465411646, 47.556858294603074], [7.584097393730413, 47.55686254748022], [7.584098441623544, 47.55686680020816], [7.584099609042097, 47.55687103479947], [7.584100909247632, 47.55687524224393], [7.584102329003122, 47.556879440545416], [7.584103868284121, 47.55688362071033], [7.584105527066152, 47.556887773744855], [7.584107305373739, 47.556891908642775], [7.584109203206907, 47.55689602540405], [7.584111220516696, 47.556900106041255], [7.584113357327627, 47.55690415954809], [7.584115600353682, 47.55690818594117], [7.584117976166959, 47.55691218518729], [7.584120458170917, 47.5569161483259], [7.584164195020595, 47.55698408635273], [7.584223387693187, 47.557082727649], [7.584321951969733, 47.55730969623742], [7.584360240461805, 47.55742088284716], [7.584398221009924, 47.557672354027126], [7.584438863459479, 47.55822233268888], [7.584457208963799, 47.55858140230296], [7.584490959581105, 47.55881117677866], [7.584557153728257, 47.5591615704414], [7.584637160833094, 47.559490280844706], [7.584781370223719, 47.5598139281692], [7.584879214195861, 47.560008024917565], [7.584964245364365, 47.560142113552956], [7.585164465596598, 47.5604327640027], [7.585230843776848, 47.560523481163344], [7.585451327870961, 47.56079413954077], [7.585787764495553, 47.561173394232696], [7.586015687622993, 47.56134026357548], [7.586112116051831, 47.5613366430764], [7.586211892020712, 47.561308681257316], [7.586336017554601, 47.561196965977125], [7.586600545086469, 47.561007591548304], [7.586775464049532, 47.560880944684016], [7.587010195617749, 47.560704728991915], [7.587039954950611, 47.560646043058185], [7.587020324910092, 47.56056767877455], [7.586982921392854, 47.56050526498481], [7.586854740708215, 47.56034204808505], [7.586791511976354, 47.56022367214788], [7.586731535198286, 47.55993147935373], [7.586667653065075, 47.55962021576928], [7.586648773270516, 47.55905948099068], [7.586911051960455, 47.55905499257781], [7.586921343435974, 47.5594453971028], [7.587022165895377, 47.56000120685178], [7.587650815467024, 47.559961426142884], [7.587560586246687, 47.560043060555635], [7.587434719084391, 47.56019543104976], [7.587242053734576, 47.560427543963776], [7.587490145136418, 47.56051237099585], [7.587644819569736, 47.56032210906425], [7.587739872688323, 47.560197784218126], [7.587842843774497, 47.560092282008895], [7.587974486877114, 47.56001032451683], [7.588113495210631, 47.560100964961535], [7.588260846638868, 47.56008670973383], [7.588712113188725, 47.559766726516294]]], ""type"": ""Polygon""}";8;4;Kernzone mit eingeschränktem Motorfahrzeugverkehr;http://www.mobilitaet.bs.ch/gesamtverkehr/verkehrskonzepte/verkehrskonzept-innenstadt.html;http://www.polizei.bs.ch/verkehr/strassenverkehr/zufahrt-innenstadt.html
47.562324144105084, 7.595707926972111;"{""coordinates"": [[[7.594647883042581, 47.56207197344228], [7.596647702513581, 47.56272392273625], [7.596749549658332, 47.562566268642705], [7.594759360012588, 47.56192515460059], [7.594647883042581, 47.56207197344228]]], ""type"": ""Polygon""}";11;5;Kernzone mit eingeschränktem Motorfahrzeugverkehr;http://www.mobilitaet.bs.ch/gesamtverkehr/verkehrskonzepte/verkehrskonzept-innenstadt.html;http://www.polizei.bs.ch/verkehr/strassenverkehr/zufahrt-innenstadt.html
47.56296957912512, 7.5976496228116535;"{""coordinates"": [[[7.596971742897133, 47.56263783574396], [7.596984638768568, 47.562617789214315], [7.596869553039172, 47.56279624596705], [7.598612936097924, 47.56336454382909], [7.598671629916348, 47.56328101055528], [7.597799920844929, 47.56300110590798], [7.597850293966721, 47.56292084013054], [7.596971742897133, 47.56263783574396]]], ""type"": ""Polygon""}";14;6;Kernzone mit eingeschränktem Motorfahrzeugverkehr;http://www.mobilitaet.bs.ch/gesamtverkehr/verkehrskonzepte/verkehrskonzept-innenstadt.html;http://www.polizei.bs.ch/verkehr/strassenverkehr/zufahrt-innenstadt.html
