,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
51,10053,10190,GR,3561,Poschiavo,Poschiavo,11,1,1000,20,01.01.1960,1968,24,31.12.2000,31.12.2000
52,10054,10190,GR,3551,Brusio,Brusio,11,1,1000,20,01.01.1960,1967,24,31.12.2000,31.12.2000
53,10055,10024,AG,4080,Villmergen,Villmergen,11,1,1000,20,01.01.1960,3168,26,31.12.2009,31.12.2009
54,10056,10189,GR,3540,Sur,Sur,11,1,1000,20,01.01.1960,1965,24,31.12.2000,31.12.2000
55,10057,10189,GR,3539,Savognin,Savognin,11,1,1000,20,01.01.1960,1964,24,31.12.2000,31.12.2000
56,10058,10189,GR,3538,Salouf,Salouf,11,1,1000,20,01.01.1960,1963,24,31.12.2000,31.12.2000
57,10059,10189,GR,3534,Mulegns,Mulegns,11,1,1000,20,01.01.1960,1961,24,31.12.2000,31.12.2000
58,10060,10193,GR,3581,Sagogn,Sagogn,11,1,1000,20,01.01.1960,1979,24,31.12.2000,31.12.2000
59,10061,10174,SG,3272,Gams,Gams,11,1,1000,20,01.01.1960,2206,24,31.12.2002,31.12.2002
60,10062,10192,SG,3405,Jonschwil,Jonschwil,11,1,1000,20,01.01.1960,2254,24,31.12.2002,31.12.2002
61,10063,10194,SG,3311,Amden,Amden,11,1,1000,20,01.01.1960,2219,24,31.12.2002,31.12.2002
62,10064,10161,SG,3298,Walenstadt,Walenstadt,11,1,1000,20,01.01.1960,2218,24,31.12.2002,31.12.2002
63,10065,10039,VD,5863,Vinzel,Vinzel,11,1,1000,20,01.01.1960,2665,24,31.08.2006,31.08.2006
64,10066,10161,SG,3296,Sargans,Sargans,11,1,1000,20,01.01.1960,2216,24,31.12.2002,31.12.2002
65,10067,10161,SG,3295,Quarten,Quarten,11,1,1000,20,01.01.1960,2215,24,31.12.2002,31.12.2002
66,10068,10161,SG,3294,Pfäfers,Pfäfers,11,1,1000,20,01.01.1960,2214,24,31.12.2002,31.12.2002
67,10069,10161,SG,3293,Mels,Mels,11,1,1000,20,01.01.1960,2213,24,31.12.2002,31.12.2002
68,10070,10161,SG,3292,Flums,Flums,11,1,1000,20,01.01.1960,2212,24,31.12.2002,31.12.2002
69,10071,10161,SG,3291,Bad Ragaz,Bad Ragaz,11,1,1000,20,01.01.1960,2211,24,31.12.2002,31.12.2002
70,10072,10174,SG,3276,Wartau,Wartau,11,1,1000,20,01.01.1960,2210,24,31.12.2002,31.12.2002
71,10073,10174,SG,3275,Sevelen,Sevelen,11,1,1000,20,01.01.1960,2209,24,31.12.2002,31.12.2002
72,10074,10194,SG,3313,Kaltbrunn,Kaltbrunn,11,1,1000,20,01.01.1960,2221,24,31.12.2002,31.12.2002
73,10075,10174,SG,3273,Grabs,Grabs,11,1,1000,20,01.01.1960,2207,24,31.12.2002,31.12.2002
74,10076,10194,SG,3314,Rieden,Rieden,11,1,1000,20,01.01.1960,2222,24,31.12.2002,31.12.2002
75,10077,10174,SG,3271,Buchs (SG),Buchs (SG),11,1,1000,20,01.01.1960,2205,24,31.12.2002,31.12.2002
76,10078,10013,VS,6158,Vionnaz,Vionnaz,11,1,1000,20,01.01.1960,,,,01.01.1960
77,10079,10173,SG,3255,Rebstein,Rebstein,11,1,1000,20,01.01.1960,2203,24,31.12.2002,31.12.2002
78,10080,10173,SG,3254,Oberriet (SG),Oberriet (SG),11,1,1000,20,01.01.1960,2202,24,31.12.2002,31.12.2002
79,10081,10173,SG,3253,Marbach (SG),Marbach (SG),11,1,1000,20,01.01.1960,2201,24,31.12.2002,31.12.2002
80,10082,10173,SG,3252,Eichberg,Eichberg,11,1,1000,20,01.01.1960,2200,24,31.12.2002,31.12.2002
81,10083,10173,SG,3251,Altstätten,Altstätten,11,1,1000,20,01.01.1960,2199,24,31.12.2002,31.12.2002
